
[00:00:00.000 --> 00:00:02.000]  今日和大家講的題目是
[00:00:02.000 --> 00:00:04.000]  此十教可換 共而冠冕
[00:00:04.000 --> 00:00:06.000]  我曾經用了一大段
[00:00:06.000 --> 00:00:08.000]  很多時間去想
[00:00:08.000 --> 00:00:10.000]  因為很多時候在路上
[00:00:10.000 --> 00:00:12.000]  都很累
[00:00:12.000 --> 00:00:14.000]  例如坐飛機坐得久
[00:00:14.000 --> 00:00:16.000]  十四小時我又不能睡覺
[00:00:16.000 --> 00:00:18.000]  亦不想看電視
[00:00:18.000 --> 00:00:20.000]  那些時間用來做什麼呢?
[00:00:20.000 --> 00:00:22.000]  平時唸了聖經就用來
[00:00:22.000 --> 00:00:24.000]  著個字去看 著個字去解釋
[00:00:24.000 --> 00:00:26.000]  為了主耶穌
[00:00:26.000 --> 00:00:28.000]  釘十字架
[00:00:28.000 --> 00:00:30.000]  每逢我累的時候
[00:00:30.000 --> 00:00:32.000]  每逢我覺得辛苦的時候
[00:00:32.000 --> 00:00:34.000]  我就想起主耶穌在十字架上
[00:00:34.000 --> 00:00:36.000]  不會舒服得過我
[00:00:36.000 --> 00:00:38.000]  因為很多文
[00:00:38.000 --> 00:00:40.000]  很多時候去到中學講道
[00:00:40.000 --> 00:00:42.000]  中學生問一些問題
[00:00:42.000 --> 00:00:44.000]  其實我記住
[00:00:44.000 --> 00:00:46.000]  我不會忽略他們
[00:00:46.000 --> 00:00:48.000]  大答題目給我
[00:00:48.000 --> 00:00:50.000]  我以後
[00:00:50.000 --> 00:00:52.000]  報道會的題目就用那些
[00:00:52.000 --> 00:00:54.000]  就是他當日問的
[00:00:54.000 --> 00:00:56.000]  中學生裏面有些人就問
[00:00:56.000 --> 00:00:58.000]  耶穌在十字架上
[00:00:58.000 --> 00:01:00.000]  有沒有死?
[00:01:00.000 --> 00:01:02.000]  有個伊斯蘭教的朋友
[00:01:02.000 --> 00:01:04.000]  告訴我
[00:01:04.000 --> 00:01:06.000]  可蘭經寫著
[00:01:06.000 --> 00:01:08.000]  耶穌沒有死
[00:01:08.000 --> 00:01:10.000]  放了下來 走了去印度
[00:01:10.000 --> 00:01:12.000]  還不知道去哪個地方
[00:01:12.000 --> 00:01:14.000]  我不要理他講什麼
[00:01:14.000 --> 00:01:16.000]  總之
[00:01:16.000 --> 00:01:18.000]  我知道耶穌一定死
[00:01:18.000 --> 00:01:20.000]  如果耶穌沒有死我們就很麻煩
[00:01:20.000 --> 00:01:22.000]  我們不會復活
[00:01:22.000 --> 00:01:24.000]  聖經說耶穌基督復活
[00:01:24.000 --> 00:01:26.000]  第一人初熟的果子
[00:01:26.000 --> 00:01:28.000]  即是第一個
[00:01:28.000 --> 00:01:30.000]  到季節時候芒果熟了
[00:01:30.000 --> 00:01:32.000]  芒果園的芒果開始結果子
[00:01:32.000 --> 00:01:34.000]  第一顆果子
[00:01:34.000 --> 00:01:36.000]  那個叫初熟的果子
[00:01:36.000 --> 00:01:38.000]  耶穌復活
[00:01:38.000 --> 00:01:40.000]  是第一個復活有榮耀身體的
[00:01:40.000 --> 00:01:42.000]  以前有人復活過
[00:01:42.000 --> 00:01:44.000]  拉薩路被耶穌叫他復活
[00:01:44.000 --> 00:01:46.000]  艾魯的女兒是復活
[00:01:46.000 --> 00:01:48.000]  那因城裏面有個寡婦
[00:01:48.000 --> 00:01:50.000]  的獨生子
[00:01:50.000 --> 00:01:52.000]  一個少年人死了
[00:01:52.000 --> 00:01:54.000]  那個少年人復活
[00:01:54.000 --> 00:01:56.000]  以利亞在一個貧窮的寡婦的家裏
[00:01:56.000 --> 00:01:58.000]  行了一個神蹟
[00:01:58.000 --> 00:02:00.000]  有了很多油
[00:02:00.000 --> 00:02:02.000]  可以在街市賣錢
[00:02:02.000 --> 00:02:04.000]  變銀紙
[00:02:04.000 --> 00:02:06.000]  但兒子死了
[00:02:06.000 --> 00:02:08.000]  以利亞聽了寡婦的要求
[00:02:08.000 --> 00:02:10.000]  將孩子的屍體抱上閣樓
[00:02:10.000 --> 00:02:12.000]  向神祈禱三次
[00:02:12.000 --> 00:02:14.000]  要求神求你將孩子的靈魂
[00:02:14.000 --> 00:02:16.000]  放回孩子的身上
[00:02:16.000 --> 00:02:18.000]  孩子就活了
[00:02:18.000 --> 00:02:20.000]  這些復活的人仍然在那個身體
[00:02:20.000 --> 00:02:22.000]  這個復活在身上是沒有用的
[00:02:22.000 --> 00:02:24.000]  仍然在死
[00:02:24.000 --> 00:02:26.000]  唯有耶穌的身體是不會死的
[00:02:26.000 --> 00:02:28.000]  是一個榮耀的身體
[00:02:28.000 --> 00:02:30.000]  而且不是受時間
[00:02:30.000 --> 00:02:32.000]  和空間的限制
[00:02:32.000 --> 00:02:34.000]  因為主耶穌是曾經同時
[00:02:34.000 --> 00:02:36.000]  向五百人顯現
[00:02:36.000 --> 00:02:38.000]  門徒關上門祈禱的時候
[00:02:38.000 --> 00:02:40.000]  耶穌可以隨時進出
[00:02:40.000 --> 00:02:42.000]  這個就是我們要看的
[00:02:42.000 --> 00:02:44.000]  復活身體
[00:02:44.000 --> 00:02:46.000]  我們不知道我們不會解釋什麼叫復活
[00:02:46.000 --> 00:02:48.000]  以為一個人死了
[00:02:48.000 --> 00:02:50.000]  就行神蹟將靈魂放回孩子身上
[00:02:50.000 --> 00:02:52.000]  孩子就活了
[00:02:52.000 --> 00:02:54.000]  我們將來的復活不是這樣的
[00:02:54.000 --> 00:02:56.000]  這個身體是臭皮囊
[00:02:56.000 --> 00:02:58.000]  拿回這個身體是沒有用的
[00:02:58.000 --> 00:03:00.000]  會扭壞的
[00:03:00.000 --> 00:03:02.000]  我想研究一下
[00:03:02.000 --> 00:03:04.000]  耶穌是怎麼死的
[00:03:04.000 --> 00:03:06.000]  其實十字架的刑罰
[00:03:06.000 --> 00:03:08.000]  是一個最殘酷
[00:03:08.000 --> 00:03:10.000]  在人類歷史裡面最殘酷
[00:03:10.000 --> 00:03:12.000]  的刑罰
[00:03:12.000 --> 00:03:14.000]  受十字架刑罰的犯人
[00:03:14.000 --> 00:03:16.000]  他未上十字架之師
[00:03:16.000 --> 00:03:18.000]  要經過三十九邊
[00:03:18.000 --> 00:03:20.000]  最少
[00:03:20.000 --> 00:03:22.000]  如果身體強壯的可能不止三十九邊
[00:03:22.000 --> 00:03:24.000]  一邊下去的時候
[00:03:24.000 --> 00:03:26.000]  那條邊有四條尾
[00:03:26.000 --> 00:03:28.000]  每條尾有個勾
[00:03:28.000 --> 00:03:30.000]  一粒銅的波子
[00:03:30.000 --> 00:03:32.000]  一邊下去一扯的時候
[00:03:32.000 --> 00:03:34.000]  是連皮帶肉扯出來的
[00:03:34.000 --> 00:03:36.000]  那些人在地上頂住
[00:03:36.000 --> 00:03:38.000]  在柱子上頂住
[00:03:38.000 --> 00:03:40.000]  耶穌基督一樣
[00:03:40.000 --> 00:03:42.000]  因為他百分百是人
[00:03:42.000 --> 00:03:44.000]  為什麼耶穌是百分百人呢
[00:03:44.000 --> 00:03:46.000]  耶穌是誰的時候
