
[00:00:00.000 --> 00:00:01.360]  我侍奉了這麼多年
[00:00:01.360 --> 00:00:03.120]  當然我不是一個好的牧師
[00:00:03.120 --> 00:00:04.720]  我都有很多不足的地方
[00:00:04.720 --> 00:00:06.460]  但至少我不會懶
[00:00:06.460 --> 00:00:08.580]  都挺拼命的
[00:00:08.580 --> 00:00:10.540]  那些人說牧師你都這麼多年了
[00:00:10.540 --> 00:00:14.600]  怎麼可以維持住這種心態呢?
[00:00:14.600 --> 00:00:17.600]  我1975年讀神學
[00:00:17.600 --> 00:00:18.960]  你算一下條數
[00:00:18.960 --> 00:00:20.200]  讀了四年
[00:00:20.200 --> 00:00:23.240]  應該1979年出來做傳道人到現在
[00:00:23.240 --> 00:00:24.800]  已經過了四十多年了
[00:00:24.800 --> 00:00:27.720]  其實很簡單的秘訣
[00:00:27.720 --> 00:00:30.120]  就是做一個敏感的事情
[00:00:30.120 --> 00:00:31.280]  什麼敏感呢?
[00:00:31.280 --> 00:00:36.040]  敏銳於神的恩典和人給你的祝福而感恩
[00:00:36.040 --> 00:00:38.200]  那你就能夠懂得怎樣呢?
[00:00:38.200 --> 00:00:40.200]  就是很大動力了
[00:00:40.200 --> 00:00:42.720]  我剛才已經說了
[00:00:42.720 --> 00:00:45.680]  原來在美國有人半夜起床
[00:00:45.680 --> 00:00:47.160]  聽完第一堂道
[00:00:47.160 --> 00:00:48.960]  然後睡一會兒又第二堂道
[00:00:48.960 --> 00:00:49.640]  現在又出現
[00:00:49.640 --> 00:00:50.920]  這個已經是鼓勵了
[00:00:50.920 --> 00:00:52.800]  第二就是
[00:00:52.800 --> 00:00:55.200]  我剛才聽這首歌《君尊濟私》
[00:00:55.200 --> 00:00:57.320]  不過最後那句好像沒有了詩字
[00:00:57.320 --> 00:00:59.440]  《君尊的濟》就沒有了詩了
[00:00:59.440 --> 00:01:00.560]  這樣的時候
[00:01:00.560 --> 00:01:03.160]  我不知道究竟Samuel
[00:01:03.160 --> 00:01:05.920]  有沒有預先將我的PowerPoint
[00:01:05.920 --> 00:01:10.200]  給負責去想詩歌的人有沒有呢?
[00:01:10.200 --> 00:01:12.000]  有的
[00:01:12.000 --> 00:01:16.160]  應該都會傳給他們
[00:01:16.160 --> 00:01:19.320]  我更加要欣賞
