
[00:00:00.000 --> 00:00:03.000]  請問你們平安嗎?
[00:00:03.000 --> 00:00:08.000]  你們的心靈平不平靜?
[00:00:08.000 --> 00:00:12.000]  還是因為昨晚整晚沒睡?
[00:00:12.000 --> 00:00:15.000]  怕球還沒下?
[00:00:15.000 --> 00:00:21.000]  或者因為昨晚突然打好風球
[00:00:21.000 --> 00:00:24.000]  打斷了打亂了你的計劃
[00:00:24.000 --> 00:00:26.000]  心裡面現在有很多記掛
[00:00:26.000 --> 00:00:27.000]  怎麼辦呢?
[00:00:27.000 --> 00:00:30.000]  重辦完回家完成了
[00:00:30.000 --> 00:00:31.000]  會不會有這樣的感覺?
[00:00:31.000 --> 00:00:34.000]  或者有沒有這樣的思想?
[00:00:34.000 --> 00:00:35.000]  但願我們每一個頂始夢
[00:00:35.000 --> 00:00:37.000]  我們每一個主日來的時候
[00:00:37.000 --> 00:00:40.000]  我們真的學習放下一切的憂慮
[00:00:40.000 --> 00:00:43.000]  重擔今天是主所定的日子
[00:00:43.000 --> 00:00:47.000]  你和我不是勉勉強強
[00:00:47.000 --> 00:00:49.000]  而是高興歡喜
[00:00:49.000 --> 00:00:52.000]  專心去敬拜上主
[00:00:52.000 --> 00:00:55.000]  今天有詩歌給我們很大的提醒
[00:00:55.000 --> 00:00:59.000]  打風球真是打得精彩
[00:00:59.000 --> 00:01:02.000]  想著去下球又沒下
[00:01:02.000 --> 00:01:05.000]  想著沒可能升上去又會升上來
[00:01:05.000 --> 00:01:07.000]  香港真的很感恩
[00:01:07.000 --> 00:01:12.000]  生活真是多姿多彩
[00:01:12.000 --> 00:01:15.000]  美食更加不在話下
[00:01:15.000 --> 00:01:16.000]  但同時間香港
[00:01:16.000 --> 00:01:19.000]  大家都認同我們活在一個彈丸之地
[00:01:19.000 --> 00:01:21.000]  地少人多
[00:01:21.000 --> 00:01:23.000]  以前都沒那麼多劏房
[00:01:23.000 --> 00:01:24.000]  現在很多
[00:01:24.000 --> 00:01:25.000]  大家住的地方
[00:01:25.000 --> 00:01:27.000]  你根本不想進去睡
[00:01:27.000 --> 00:01:29.000]  壓迫感很大
[00:01:29.000 --> 00:01:30.000]  生活很艱難
[00:01:30.000 --> 00:01:31.000]  大家很忙
[00:01:31.000 --> 00:01:33.000]  為了生活
[00:01:33.000 --> 00:01:34.000]  努力工作
[00:01:34.000 --> 00:01:35.000]  日做夜做
[00:01:35.000 --> 00:01:37.000]  做到天黑才回家
[00:01:37.000 --> 00:01:38.000]  做都不要緊
[00:01:38.000 --> 00:01:41.000]  最慘現在做慢一點都被人罵
[00:01:41.000 --> 00:01:43.000]  節奏很快
[00:01:43.000 --> 00:01:44.000]  開車不要開太慢
[00:01:44.000 --> 00:01:46.000]  不是安全第一
[00:01:46.000 --> 00:01:47.000]  最重要快
[00:01:47.000 --> 00:01:49.000]  所以生活在香港
[00:01:49.000 --> 00:01:51.000]  根本沒可能慢
[00:01:51.000 --> 00:01:53.000]  沒可能靜
[00:01:53.000 --> 00:01:55.000]  想著去吃東西
[00:01:55.000 --> 00:01:57.000]  享受食物
[00:01:57.000 --> 00:01:59.000]  喝一些想喝的東西
[00:01:59.000 --> 00:02:01.000]  但只要繁忙時間
[00:02:01.000 --> 00:02:03.000]  基本上不用坐久一點
[00:02:03.000 --> 00:02:07.000]  伙計會找辦法請你走
[00:02:07.000 --> 00:02:09.000]  今日科技趨勢
[00:02:09.000 --> 00:02:12.000]  是傾向快和有果效
[00:02:12.000 --> 00:02:17.000]  遲早我們做慢一點都會被淘汰
[00:02:17.000 --> 00:02:20.000]  隨科技發展是很方便
[00:02:20.000 --> 00:02:23.000]  今日手機不是用來打電話
[00:02:23.000 --> 00:02:29.000]  今日手機成為我們被通緝的工具
[00:02:29.000 --> 00:02:32.000]  被人知道行蹤的工具
[00:02:32.000 --> 00:02:33.000]  只要我們不回覆
[00:02:33.000 --> 00:02:37.000]  就有人問我們為何不回覆電話
[00:02:37.000 --> 00:02:42.000]  有時短訊會響
[00:02:42.000 --> 00:02:46.000]  我不知道鼎姐妹你喜不喜歡這樣
[00:02:46.000 --> 00:02:51.000]  有時為了不讓短訊錯失
[00:02:51.000 --> 00:02:54.000]  我們會容許手機響
[00:02:54.000 --> 00:02:57.000]  你每天就會聽到很多響聲
[00:02:57.000 --> 00:03:00.000]  你自己可能都受到很大的騷擾
[00:03:00.000 --> 00:03:03.000]  而你身邊的人都會受到你的影響
[00:03:03.000 --> 00:03:04.000]  但沒辦法
[00:03:04.000 --> 00:03:06.000]  可能工作的需要
[00:03:06.000 --> 00:03:08.000]  事實上有些人是需要這樣
[00:03:08.000 --> 00:03:11.000]  每一個訊息都不可以錯失
