
[00:00:00.000 --> 00:00:05.000]  陳雅婷,再一次感謝你,因為你能夠笑著歡迎我們回來
[00:00:05.000 --> 00:00:08.000]  還有我們很期待這個笑容
[00:00:08.000 --> 00:00:11.000]  我們很期待有一天我們回到天家
[00:00:11.000 --> 00:00:18.000]  你是笑著,伸開你的膀胱,擁抱著我們
[00:00:18.000 --> 00:00:21.000]  然後跟我們說一句話
[00:00:21.000 --> 00:00:24.000]  我明白你的難處
[00:00:24.000 --> 00:00:28.000]  你是一位又忠心又良善的人
[00:00:29.000 --> 00:00:31.000]  主耶穌求你繼續幫助我們
[00:00:31.000 --> 00:00:34.000]  能夠直到主耶穌基督再回來那一天
[00:00:34.000 --> 00:00:40.000]  我們仍然被你的愛血吸引來侍奉你
[00:00:40.000 --> 00:00:44.000]  聽我們的禱告,奉主命求,Amen
[00:00:44.000 --> 00:00:46.000]  請坐
[00:00:46.000 --> 00:00:53.000]  我形容馬福音今天是第八章第27節至第38節
[00:00:54.000 --> 00:01:00.000]  上一次我提到當耶穌去到一個地方叫做八塞大
[00:01:00.000 --> 00:01:04.000]  當他去到八塞大地方,他就醫好了一個盲的人
[00:01:04.000 --> 00:01:07.000]  當時我就提到這段聖經
[00:01:07.000 --> 00:01:11.000]  就是說藉著這段聖經,耶穌基督提醒我們做基督徒
[00:01:11.000 --> 00:01:15.000]  我們要去認識耶穌基督更深
[00:01:15.000 --> 00:01:19.000]  當我們說要認識耶穌基督更深,是有兩個條件
[00:01:19.000 --> 00:01:23.000]  第一個條件就是說我們必須要有一個廣闊的心胸
[00:01:24.000 --> 00:01:28.000]  換言之今天我們人去認識耶穌
[00:01:28.000 --> 00:01:31.000]  很多時候是被人的限制
[00:01:31.000 --> 00:01:35.000]  以至我們認識耶穌都是有它的限制在當中
[00:01:35.000 --> 00:01:38.000]  所以在神學院那邊,每一個聖經學者
[00:01:38.000 --> 00:01:42.000]  他們看聖經可能都有不同的角度不同的方向
[00:01:42.000 --> 00:01:46.000]  但如果我們能夠有一個廣闊的心胸
[00:01:46.000 --> 00:01:49.000]  去容納不同的學者對聖經的教導的時候
[00:01:49.000 --> 00:01:53.000]  我們對我們的耶穌的認識一定會更深
[00:01:54.000 --> 00:01:57.000]  換言之,今天我們香港所面對的問題
[00:01:57.000 --> 00:02:01.000]  就是我們很多時候一聽你說的觀點和我不同
[00:02:01.000 --> 00:02:04.000]  我們就會有一個割席的機會
[00:02:04.000 --> 00:02:07.000]  所以我們經常說香港現在是一個割裂的社會
[00:02:07.000 --> 00:02:10.000]  因為你不聽我的話,所以我和你割裂
[00:02:10.000 --> 00:02:12.000]  第一,我們認識神不可以這樣
[00:02:12.000 --> 00:02:15.000]  我們認識神就是要有一個廣闊的心胸
[00:02:15.000 --> 00:02:20.000]  去容納不同的學者對我們的教導,關於聖經的教導
[00:02:21.000 --> 00:02:25.000]  第二,條件就是我們必須要覺得我們自己認識耶穌
[00:02:25.000 --> 00:02:28.000]  永遠都不夠,因為我們讀聖經我們很明白
[00:02:28.000 --> 00:02:32.000]  我們今天讀一段聖經,就算明天讀同一段聖經
[00:02:32.000 --> 00:02:38.000]  我們可能都在神那邊所領受的有不同的認知
[00:02:38.000 --> 00:02:41.000]  所以變成我們的聖經的豐富就是
[00:02:41.000 --> 00:02:44.000]  我們這本聖經在這個世界上已經二千年了
[00:02:44.000 --> 00:02:48.000]  但我們仍然拿著這本聖經,沒有加多沒有減少
[00:02:49.000 --> 00:02:51.000]  我們每一年仍然都是讀同一本聖經
[00:02:51.000 --> 00:02:54.000]  但我們對神的認識,因著我們每一年的中毒
[00:02:54.000 --> 00:02:57.000]  能夠對祂的認識越來越多
[00:02:57.000 --> 00:03:02.000]  所以換言之我們一定要有一個心胸,也要有一個謙卑
[00:03:02.000 --> 00:03:06.000]  我們認識耶穌是不夠的,這是我們的條件
[00:03:06.000 --> 00:03:11.000]  但今天我上一次都提到,耶穌基督醫好這個盲的人
[00:03:11.000 --> 00:03:17.000]  他是醫了他兩次,耶穌行神蹟從來都沒有兩次醫一個人
[00:03:18.000 --> 00:03:23.000]  就是他第一次用口水吐在眼睛上,然後他就開始看到東西
[00:03:23.000 --> 00:03:27.000]  聖經說他看到人,但好像樹一樣
[00:03:27.000 --> 00:03:32.000]  你從來看人不會當他是一棵樹,你看他旁邊,他是人,不是一棵樹
[00:03:32.000 --> 00:03:36.000]  但很明顯他的眼睛還未醫好,還未百分之百醫好
