
[00:00:00.000 --> 00:00:03.440]  看完節目我們繼續思想復活的大能訊息的系列
[00:00:03.440 --> 00:00:06.080]  今天講的主題是「復活的盼望」
[00:00:06.080 --> 00:00:08.680]  接下來還有兩個主日就是復活節
[00:00:08.680 --> 00:00:12.640]  我們希望這篇訊息能幫助我們看到復活的盼望
[00:00:12.640 --> 00:00:15.440]  福利學秘書三章七至十四節
[00:00:15.440 --> 00:00:18.440]  我會看和收本的經文請聽我讀出
[00:00:30.000 --> 00:00:33.000]  認識我主基督耶穌為至寶
[00:00:33.000 --> 00:00:38.200]  我為他已經凋棄萬事看作糞土為要贏得基督
[00:00:38.200 --> 00:00:41.920]  並且得以在他裡面不是有自己因律法而得的義
[00:00:41.920 --> 00:00:44.200]  而是有因信基督的義
[00:00:44.200 --> 00:00:47.280]  而是基於信從上帝而來的義
[00:00:47.280 --> 00:00:50.480]  使我認識基督知道他復活的大能
[00:00:50.480 --> 00:00:54.480]  並且知道和他一同受苦效法他的死
[00:00:54.480 --> 00:00:58.640]  或者我也得以從死人中復活
[00:00:58.640 --> 00:01:00.880]  而不是說我已經得著了
[00:01:00.880 --> 00:01:02.320]  我已經完全了
[00:01:02.320 --> 00:01:03.840]  而是竭力追求
[00:01:03.840 --> 00:01:08.120]  或許可以得著基督耶穌所要我得著的
[00:01:08.120 --> 00:01:08.920]  頂門
[00:01:08.920 --> 00:01:11.400]  我不是以為自己已經得著了
[00:01:11.400 --> 00:01:12.600]  我只有一件事
[00:01:12.600 --> 00:01:16.920]  就是忘記背後努力面前的向著標竿直跑
[00:01:16.920 --> 00:01:22.320]  要得上帝在基督耶穌裡從上面召我來的獎賞
[00:01:22.320 --> 00:01:24.720]  頂尖的這段經文大家也很熟
[00:01:24.720 --> 00:01:31.000]  也嘗試聽到那句金句「忘記背後努力面前」
[00:01:31.000 --> 00:01:35.800]  因為信耶穌不單止是給我們一張天堂入場券
[00:01:35.800 --> 00:01:37.200]  兩星期前
[00:01:37.200 --> 00:01:41.480]  我們在網上的互動崇拜裡面
[00:01:41.480 --> 00:01:42.960]  也有頂尖的提出
[00:01:42.960 --> 00:01:47.320]  信耶穌不應該只是說上天堂
[00:01:47.320 --> 00:01:50.800]  因為我們信耶穌還有很多很多的東西
[00:01:50.800 --> 00:01:53.920]  我們在當中能夠去領受的
[00:01:53.920 --> 00:01:58.880]  基督徒我們去慶祝很多不同的節日
[00:01:58.880 --> 00:02:02.320]  特別是基督徒最喜歡慶祝的聖誕節
[00:02:02.320 --> 00:02:05.320]  聖誕節是很和諧的
[00:02:05.320 --> 00:02:09.760]  年尾的時候大家一家人走在一起
[00:02:09.760 --> 00:02:11.320]  都可以去慶祝
[00:02:11.320 --> 00:02:12.840]  聖誕節是很重要的
[00:02:12.840 --> 00:02:18.480]  但是你也知道在世界上很多不同的宗教信仰
[00:02:18.480 --> 00:02:22.440]  都會慶祝他們的信仰主角
[00:02:22.440 --> 00:02:25.040]  我們稱之為「教主」的出生
[00:02:25.040 --> 00:02:27.520]  但是重要的宗教
[00:02:27.520 --> 00:02:36.120]  只有基督徒會慶祝死後復活的信仰主角
[00:02:36.120 --> 00:02:41.520]  因為基督徒在我們信仰裡面是最重要的
[00:02:41.520 --> 00:02:45.600]  試想想我們很多其他宗教裡面
[00:02:45.600 --> 00:02:48.600]  無論是釋迦牟尼也好
[00:02:48.600 --> 00:02:54.040]  摩罕默德也好,甚至是一些異端的羅素
[00:02:54.040 --> 00:02:56.520]  或者是約翰史密夫等等
[00:02:56.520 --> 00:03:00.280]  他們死了之後就沒有復活這回事
[00:03:00.280 --> 00:03:04.800]  如果耶穌只是在十字架上重傷被救下來
[00:03:04.800 --> 00:03:06.440]  我們就不會有復活節
[00:03:06.440 --> 00:03:08.280]  我們只會有復康節
[00:03:08.280 --> 00:03:10.360]  所以復活節是一個很重要
[00:03:10.360 --> 00:03:12.000]  不應該是次要
[00:03:12.000 --> 00:03:15.840]  而是我們信仰裡面最重要的一個節日
[00:03:15.840 --> 00:03:17.040]  為甚麼呢?
[00:03:17.040 --> 00:03:19.640]  因為在聖經裡也告訴我們
[00:03:19.640 --> 00:03:20.640]  很重要的就是
[00:03:20.640 --> 00:03:25.120]  耶穌的大門徒彼得在《彼得傳書》一章三節裡說
[00:03:25.120 --> 00:03:29.120]  「藉著耶穌基督從死人復活當中重生了我們」
[00:03:29.120 --> 00:03:33.840]  我們的信仰不僅是信耶穌上天堂
[00:03:33.840 --> 00:03:37.960]  更加是因著耶穌基督的復活重生了我們
[00:03:37.960 --> 00:03:41.240]  使我們有活、滴、盤、亡
[00:03:41.240 --> 00:03:43.280]  所以我們今天會看看
[00:03:43.280 --> 00:03:46.560]  在我們每一個信耶穌的人裡面
[00:03:46.560 --> 00:03:49.320]  我們有甚麼活、盤、亡
[00:03:49.320 --> 00:03:50.320]  大家都知道
[00:03:50.320 --> 00:03:54.040]  《弗勒比書》是保羅在羅馬獄中寫的
[00:03:54.040 --> 00:03:58.040]  在監獄裡失去了自由、失去了朋友
[00:03:58.040 --> 00:04:02.120]  失去了可以自由傳福音的機會
[00:04:02.120 --> 00:04:04.200]  也快要失去生命
[00:04:04.200 --> 00:04:05.400]  但是大家都知道
[00:04:05.400 --> 00:04:09.680]  《弗勒比書》的一個主題就是喜樂
[00:04:09.680 --> 00:04:13.080]  保羅在失去了這麼多東西的時候
[00:04:13.080 --> 00:04:15.920]  他仍然說要喜樂、要開心
[00:04:16.240 --> 00:04:20.800]  但是在監獄裡應該已經失去了盼望
[00:04:20.800 --> 00:04:22.720]  因為你甚麼都沒有了
[00:04:22.720 --> 00:04:24.240]  快要連生命都沒有了
[00:04:24.240 --> 00:04:27.960]  但是保羅在整本《弗勒比書》裡
[00:04:27.960 --> 00:04:29.480]  也帶給我們看
[00:04:29.480 --> 00:04:30.760]  特別是在第三章
