
[00:00:00.000 --> 00:00:03.000]  就是你們要讚美神的意思
[00:00:03.000 --> 00:00:05.000]  各位來賓 各位頂子妹
[00:00:05.000 --> 00:00:07.000]  聖誕平安
[00:00:07.000 --> 00:00:10.000]  當我坐在上面的時候
[00:00:10.000 --> 00:00:13.000]  我感受到上主的臨在
[00:00:13.000 --> 00:00:17.000]  我好像師哥感受到那種興奮和開心
[00:00:17.000 --> 00:00:19.000]  你感不感受得到?
[00:00:19.000 --> 00:00:21.000]  今天是聖誕節
[00:00:21.000 --> 00:00:23.000]  也是我們基督徒的主日
[00:00:23.000 --> 00:00:26.000]  聖誕節是眾多的節日之一
[00:00:26.000 --> 00:00:29.000]  世界其實有不同的節日
[00:00:29.000 --> 00:00:33.000]  但不是每個節日對每個人都有關
[00:00:33.000 --> 00:00:36.000]  甚至被每個人去重視
[00:00:36.000 --> 00:00:41.000]  中秋端午其實主要都是華人去慶祝
[00:00:41.000 --> 00:00:44.000]  西方重點的感恩節
[00:00:44.000 --> 00:00:48.000]  對於長期活在困苦的人
[00:00:48.000 --> 00:00:50.000]  其實我不明白什麼叫做感恩
[00:00:50.000 --> 00:00:53.000]  他們也沒有那種感恩的感受
[00:00:53.000 --> 00:00:56.000]  潑水節我們知道是泰國人
[00:00:56.000 --> 00:01:01.000]  或者泰族人去重視東南亞有潑水節
[00:01:01.000 --> 00:01:02.000]  九龍城也有
[00:01:02.000 --> 00:01:05.000]  因為那裡有很多泰國人
[00:01:05.000 --> 00:01:07.000]  不過其實這個節日最特別的
[00:01:07.000 --> 00:01:09.000]  我們每天都有潑水節
[00:01:09.000 --> 00:01:10.000]  為什麼我這樣說呢?
[00:01:10.000 --> 00:01:12.000]  因為時時都被人潑冷水
[00:01:12.000 --> 00:01:14.000]  或者我們潑人冷水
[00:01:14.000 --> 00:01:17.000]  所以潑水節特別多人去慶祝
[00:01:17.000 --> 00:01:20.000]  夫妻節 情人節
[00:01:20.000 --> 00:01:23.000]  對於單身人士來說其實沒有什麼感受
[00:01:23.000 --> 00:01:25.000]  甚至有種酸溜溜的感覺
[00:01:25.000 --> 00:01:29.000]  已婚人士對於最近出現的光棍節
[00:01:29.000 --> 00:01:31.000]  更加覺得跟自己沒有關係
[00:01:31.000 --> 00:01:35.000]  我已經過了 不會光棍了 是不是?
[00:01:35.000 --> 00:01:37.000]  聖誕節呢?
[00:01:37.000 --> 00:01:40.000]  雖然不是每個國家都會慶祝
[00:01:40.000 --> 00:01:42.000]  就算一個國家慶祝聖誕節
[00:01:42.000 --> 00:01:46.000]  其實已經失去了原意
[00:01:46.000 --> 00:01:48.000]  但很想告訴各位頂智媒
[00:01:48.000 --> 00:01:49.000]  各位來賓知道
[00:01:49.000 --> 00:01:54.000]  聖誕節應該是一個全球性的節日
[00:01:54.000 --> 00:01:56.000]  為什麼這樣說呢?
[00:01:56.000 --> 00:01:59.000]  聖誕節不是因為有聖誕老人
