
[00:00:00.000 --> 00:00:06.080]  今日剛才講到一條向來未走過的路
[00:00:06.080 --> 00:00:09.680]  我們相信這兩年我們聽到最多的詞彙
[00:00:09.680 --> 00:00:14.920]  其中一個都很肯定是叫做新常態
[00:00:14.920 --> 00:00:15.920]  什麼叫新常態呢?
[00:00:15.920 --> 00:00:19.240]  就是一個新的,即將來臨的形態
[00:00:19.240 --> 00:00:21.640]  不過呢,你很想它成為常態
[00:00:21.640 --> 00:00:23.240]  不過又未成為常態
[00:00:23.240 --> 00:00:27.720]  因為我們一直在等這個所謂的常態一直在轉換
[00:00:27.720 --> 00:00:31.720]  當然在疫情裏面我們都會找一些字
[00:00:31.720 --> 00:00:35.800]  在Google如果打New Normal新常態
[00:00:35.800 --> 00:00:38.680]  你會發現有二十二億九千萬
[00:00:38.680 --> 00:00:40.640]  是很厲害的,可不可以?
[00:00:40.640 --> 00:00:42.920]  即一般可能幾十萬,或者普通的字
[00:00:42.920 --> 00:00:45.680]  幾百萬,二十多億
[00:00:45.680 --> 00:00:50.160]  當然我們在新常態如果用疫情作為一個例子
[00:00:50.160 --> 00:00:52.880]  我們都可以在這個新的處境
[00:00:52.880 --> 00:00:54.880]  都是笑一笑的
[00:00:54.880 --> 00:00:56.880]  我們可能都見過
[00:00:56.880 --> 00:00:58.440]  例如有人這樣說
[00:00:58.440 --> 00:01:01.840]  在這個情況裏面我從來都未想過
[00:01:01.840 --> 00:01:04.680]  在我最瘋狂的夢裏
[00:01:04.680 --> 00:01:10.960]  都未想過我會戴著口罩進入銀行拿錢
[00:01:10.960 --> 00:01:15.200]  你試下你三年前戴著口罩進銀行拿錢
[00:01:15.200 --> 00:01:17.200]  再和你兩個朋友進去
[00:01:17.200 --> 00:01:19.720]  剛好你那天還拿著個袋
[00:01:19.720 --> 00:01:24.040]  你應該都很快會被人抓了
[00:01:24.040 --> 00:01:25.680]  又或者有人這樣說
[00:01:25.680 --> 00:01:30.760]  疫情就好像Netflix的連環劇
[00:01:30.760 --> 00:01:33.040]  當你以為完了
[00:01:33.040 --> 00:01:35.240]  新一輪又出現了
[00:01:35.240 --> 00:01:37.800]  永遠都完不到
[00:01:37.800 --> 00:01:38.720]  有人這樣說
[00:01:38.720 --> 00:01:40.880]  以前經常投訴
[00:01:40.880 --> 00:01:43.280]  沒有時間在家裏休息
[00:01:43.280 --> 00:01:45.600]  不知道2020年
[00:01:45.600 --> 00:01:47.240]  很多人都說我都夠了
[00:01:47.240 --> 00:01:49.680]  希望不用再在家裏
[00:01:49.680 --> 00:01:55.120]  過去如果有些太太投訴自己老公沒有時間陪自己
