
[00:00:00.000 --> 00:00:04.280]  眨眼間我們說「臉書傳奇」
[00:00:04.280 --> 00:00:07.680]  到最後說到怎樣跟別人分享
[00:00:07.680 --> 00:00:09.560]  一看到題目的時候
[00:00:09.560 --> 00:00:11.880]  我相信大家都應該會明白
[00:00:11.880 --> 00:00:14.360]  其實臉書Facebook
[00:00:14.360 --> 00:00:16.360]  一個最明顯的特質是什麼呢?
[00:00:16.360 --> 00:00:17.800]  就是跟別人分享
[00:00:17.800 --> 00:00:21.200]  我們可以將我們的照片
[00:00:21.200 --> 00:00:23.680]  我們的影片
[00:00:23.680 --> 00:00:25.080]  我們所說的話
[00:00:25.080 --> 00:00:28.920]  隨心所欲地放上我們的Facebook
[00:00:28.920 --> 00:00:33.120]  我相信最常分享的是照片
[00:00:33.120 --> 00:00:36.120]  我在Facebook找到幾張照片
[00:00:36.120 --> 00:00:38.720]  看到這些時我們覺得很溫馨
[00:00:38.720 --> 00:00:40.880]  有個爹地抱著女兒
[00:00:40.880 --> 00:00:42.400]  這是我們教的弟兄
[00:00:42.400 --> 00:00:43.680]  不過不是在下面
[00:00:43.680 --> 00:00:45.680]  他真的玩賽車
[00:00:45.680 --> 00:00:46.880]  這個不知道是誰
[00:00:46.880 --> 00:00:47.560]  我認不出來
[00:00:47.560 --> 00:00:49.560]  總之在網上下載下來
[00:00:49.560 --> 00:00:51.040]  放馬過來
[00:00:51.040 --> 00:00:53.600]  這個不是我放上去的
[00:00:53.600 --> 00:00:55.160]  這個不在我的Facebook上
[00:00:55.160 --> 00:00:57.200]  這個是我的乾女兒拍了之後
[00:00:57.200 --> 00:00:58.640]  就放在她的Facebook
[00:00:58.640 --> 00:01:00.160]  不是放在我的Facebook上
[00:01:00.160 --> 00:01:01.920]  我就下載出來
[00:01:01.920 --> 00:01:03.160]  所以很多時候
[00:01:03.160 --> 00:01:05.640]  當我們上Facebook看這些東西的時候
[00:01:05.640 --> 00:01:07.000]  你會發覺有些東西
[00:01:07.000 --> 00:01:09.200]  是可以有幽默感
[00:01:09.200 --> 00:01:10.840]  有些很溫馨的場面
[00:01:10.840 --> 00:01:15.760]  有很多令你有感受的照片
[00:01:15.760 --> 00:01:18.440]  不過不知道大家信不信
[00:01:18.440 --> 00:01:19.880]  從一個人
[00:01:19.880 --> 00:01:22.440]  在自己的臉書上面的Facebook
[00:01:22.440 --> 00:01:25.720]  上載什麼的照片、短片
[00:01:25.720 --> 00:01:27.640]  你寫的什麼近況
[00:01:27.640 --> 00:01:30.960]  你跟朋友的什麼對話裡面
[00:01:30.960 --> 00:01:33.000]  你信不信我們可以知道
[00:01:33.000 --> 00:01:37.840]  這個人會不會是一個好的員工
[00:01:37.840 --> 00:01:38.880]  信不信
[00:01:38.880 --> 00:01:40.080]  或者你信不信
[00:01:40.080 --> 00:01:42.320]  透過我們去分析他的Facebook
[00:01:42.320 --> 00:01:43.920]  我們可以知道這個學生
[00:01:43.920 --> 00:01:46.680]  會不會是一個好的學生
[00:01:46.680 --> 00:01:47.880]  信不信由你
[00:01:47.880 --> 00:01:49.040]  不過如果你有機會
[00:01:49.040 --> 00:01:51.560]  你去Forbes的雜誌
[00:01:51.560 --> 00:01:53.040]  今年三月
[00:01:53.040 --> 00:01:55.320]  他寫了一篇文章
[00:01:55.320 --> 00:01:58.360]  這篇文章引述了一個
[00:01:58.360 --> 00:02:01.400]  在洛杉磯大學的研究員
[00:02:01.400 --> 00:02:03.160]  一個做研究的研究員
[00:02:03.160 --> 00:02:05.000]  叫做Don Klumper
[00:02:05.000 --> 00:02:07.600]  他做了兩個研究報告
[00:02:07.600 --> 00:02:09.920]  這個文章的標題是什麼呢
[00:02:09.920 --> 00:02:11.440]  他說Facebook
[00:02:11.440 --> 00:02:13.880]  can tell you if a person
[00:02:13.880 --> 00:02:15.960]  is worth hiring
