
[00:00:00.000 --> 00:00:04.880]  今天講到的主題是「在信裡沒有Taco」
[00:00:04.880 --> 00:00:07.480]  是一個很好笑的題目
[00:00:07.480 --> 00:00:08.820]  什麼叫Taco呢?
[00:00:08.820 --> 00:00:11.120]  Taco不是能吃的
[00:00:11.120 --> 00:00:14.800]  Taco的意思是talk alone, cheating others
[00:00:14.800 --> 00:00:17.920]  就是說我們講信心、信仰
[00:00:17.920 --> 00:00:19.920]  不可以只有「講」字
[00:00:19.920 --> 00:00:24.080]  我們的信仰不可以靠嘴巴
[00:00:24.080 --> 00:00:26.080]  不可以自欺欺人
[00:00:26.080 --> 00:00:28.080]  在開始今天的訊息之前
[00:00:28.080 --> 00:00:30.080]  我們有一個禱告
[00:00:30.080 --> 00:00:32.080]  在天的父親感謝祢
[00:00:32.080 --> 00:00:34.080]  感謝祢讓我們有教會
[00:00:34.080 --> 00:00:36.080]  感謝祢讓我們有弟兄姊妹
[00:00:36.080 --> 00:00:40.080]  感謝祢讓我們可以透過讚美祢
[00:00:40.080 --> 00:00:44.080]  在當中可以經歷祢的同在、祢的帶領
[00:00:44.080 --> 00:00:48.080]  讓我們今天繼續在祢的話語裡
[00:00:48.080 --> 00:00:50.080]  聆聽祢的話語的時候
[00:00:50.080 --> 00:00:51.080]  求聖靈與我們同在
[00:00:51.080 --> 00:00:53.080]  開我們的眼睛、開我們的耳朵
[00:00:53.080 --> 00:00:55.080]  柔軟我們的心靈
[00:00:55.080 --> 00:00:57.080]  使我們不只是聽到祢的話語
[00:00:57.080 --> 00:00:59.080]  而是被祢的話語去感動
[00:00:59.080 --> 00:01:01.080]  去改變我們、改變我們的人生
[00:01:01.080 --> 00:01:03.080]  幫助我們去走出去
[00:01:03.080 --> 00:01:05.080]  走出去榮耀祢
[00:01:05.080 --> 00:01:07.080]  感謝天父爸爸、奉主耶穌
[00:01:07.080 --> 00:01:09.080]  得聖名致祈求
[00:01:09.080 --> 00:01:12.080]  今天我們來到看到《雅各書》
[00:01:12.080 --> 00:01:14.080]  因為《雅各書》有一句很出名的
[00:01:14.080 --> 00:01:16.080]  大家都背得出的
[00:01:16.080 --> 00:01:20.080]  「信心沒有行為,是死的」
[00:01:20.080 --> 00:01:23.080]  我弄一下這個,還沒開
[00:01:23.080 --> 00:01:26.080]  「信心沒有行為,是死的」
[00:01:26.080 --> 00:01:29.080]  也有人說,那保羅又怎樣呢?
[00:01:29.080 --> 00:01:33.080]  保羅說我們得救不是「本乎因也因著信」嗎?
[00:01:33.080 --> 00:01:36.080]  不是出於行為
[00:01:36.080 --> 00:01:38.080]  如果不是出於行為的意思
[00:01:38.080 --> 00:01:40.080]  是不是說我坐在這裡
[00:01:40.080 --> 00:01:42.080]  什麼都不用做就行呢?
[00:01:42.080 --> 00:01:44.080]  當然不是
[00:01:44.080 --> 00:01:48.080]  其實保羅和雅各是不是在吵架呢?
[00:01:48.080 --> 00:01:50.080]  一個說不是出於行為
[00:01:50.080 --> 00:01:52.080]  一個說沒有行為是死的
[00:01:52.080 --> 00:01:54.080]  其實他們是不是在吵架呢?
[00:01:54.080 --> 00:01:56.080]  當然不是
[00:01:56.080 --> 00:01:58.080]  我知道我已經說過這個大象
[00:01:58.080 --> 00:02:00.080]  但它好使好用
[00:02:00.080 --> 00:02:02.080]  我又拿它出來再說一次
