
[00:00:00.000 --> 00:00:02.000]  在還沒開始講到之前
[00:00:02.000 --> 00:00:03.840]  我們有一個預備的心
[00:00:03.840 --> 00:00:04.960]  我們一起祈禱
[00:00:04.960 --> 00:00:05.460]  好嗎?
[00:00:05.460 --> 00:00:07.680]  我們同心低頭來祈禱
[00:00:07.680 --> 00:00:09.420]  親愛的主
[00:00:09.420 --> 00:00:10.600]  我們來到祢的庚前
[00:00:10.600 --> 00:00:11.700]  我們多謝祢
[00:00:11.700 --> 00:00:13.700]  多謝祢給我們有生命氣息
[00:00:13.700 --> 00:00:15.700]  多謝祢給我們有聖餐
[00:00:15.700 --> 00:00:18.560]  藉著聖餐來提醒我們
[00:00:18.560 --> 00:00:21.220]  主耶穌祢為我們所做的
[00:00:21.220 --> 00:00:24.180]  又給我們預備好我們的心靈
[00:00:24.180 --> 00:00:25.520]  我們現在這一刻
[00:00:25.520 --> 00:00:27.520]  來領受祢的恩賢
[00:00:27.520 --> 00:00:30.280]  求主祢的靈與我們同在
[00:00:30.280 --> 00:00:33.520]  讓我們聽得下祢的話語
[00:00:33.520 --> 00:00:35.520]  有幸在生活裡
[00:00:35.520 --> 00:00:36.520]  求祢去祝福
[00:00:36.520 --> 00:00:39.480]  給聽的、講的同等益處
[00:00:39.480 --> 00:00:40.480]  多謝主祢
[00:00:40.480 --> 00:00:42.240]  奉主耶穌的聖名禱告
[00:00:42.240 --> 00:00:44.240]  阿門
[00:00:44.240 --> 00:00:47.040]  在我還沒開始講到之前
[00:00:47.040 --> 00:00:49.040]  我想問大家一個問題
[00:00:49.040 --> 00:00:51.040]  就是究竟
[00:00:51.040 --> 00:00:53.040]  我們五十年前
[00:00:53.040 --> 00:00:55.040]  做人父母比較容易
[00:00:55.040 --> 00:00:57.040]  還是五十年後
[00:00:57.040 --> 00:00:59.040]  做人父母比較容易呢?
[00:00:59.040 --> 00:01:01.040]  在座很多都是
[00:01:01.040 --> 00:01:03.040]  我想還沒做父母的
[00:01:03.040 --> 00:01:05.040]  不過在電視機
[00:01:05.040 --> 00:01:07.040]  在直播裡
[00:01:07.040 --> 00:01:09.040]  可能會多一些
[00:01:09.040 --> 00:01:11.040]  不知道你們會怎樣回答呢?
[00:01:11.040 --> 00:01:13.040]  老實來說
[00:01:13.040 --> 00:01:15.040]  很難比較的
[00:01:15.040 --> 00:01:17.040]  這個就好像一個蘋果
[00:01:17.040 --> 00:01:19.040]  和一個橙的比較一樣
[00:01:19.040 --> 00:01:21.040]  其實各有特色
[00:01:21.040 --> 00:01:23.040]  我會說
[00:01:23.040 --> 00:01:25.040]  每個年代的父母
[00:01:25.040 --> 00:01:27.040]  其實都不容易做
[00:01:27.040 --> 00:01:29.040]  都有它的難處
[00:01:29.040 --> 00:01:31.040]  以前的就不要說了
[00:01:31.040 --> 00:01:33.040]  就說現在
[00:01:33.040 --> 00:01:35.040]  現今的小孩
[00:01:35.040 --> 00:01:37.040]  他們真的要面對很多挑戰
[00:01:37.040 --> 00:01:39.040]  無論在政治上
[00:01:39.040 --> 00:01:41.040]  經濟
[00:01:41.040 --> 00:01:43.040]  或者社會環境的變遷
[00:01:43.040 --> 00:01:45.040]  其實年青的一代
[00:01:45.040 --> 00:01:47.040]  其實面對的是很多的迷惘
[00:01:47.040 --> 00:01:49.040]  很多的無力感
[00:01:49.040 --> 00:01:51.040]  不知道怎麼辦
[00:01:51.040 --> 00:01:53.040]  身為他們的父母
[00:01:53.040 --> 00:01:55.040]  其實都很擔心你們
[00:01:55.040 --> 00:01:57.040]  不知道你們會怎樣
[00:01:57.040 --> 00:01:59.040]  可以面對到
[00:01:59.040 --> 00:02:01.040]  甚至乎作為父母
[00:02:01.040 --> 00:02:03.040]  我們會想
[00:02:03.040 --> 00:02:05.040]  我們可以怎樣和你們
[00:02:05.040 --> 00:02:07.040]  一起跨代同行呢?
[00:02:07.040 --> 00:02:09.040]  其實真的不容易
[00:02:09.040 --> 00:02:11.040]  最近因為疫情的緣故
[00:02:11.040 --> 00:02:13.040]  我在網上
[00:02:13.040 --> 00:02:15.040]  看過一篇文章
[00:02:15.040 --> 00:02:17.040]  這篇文章
[00:02:17.040 --> 00:02:19.040]  都很觸動我的心
[00:02:19.040 --> 00:02:21.040]  那篇文章裡面提到
[00:02:21.040 --> 00:02:23.040]  一對父女
[00:02:23.040 --> 00:02:25.040]  女兒是一個
[00:02:25.040 --> 00:02:27.040]  實習女醫生
[00:02:27.040 --> 00:02:29.040]  而爸爸是一個醫生
[00:02:29.040 --> 00:02:31.040]  故事就提到
[00:02:31.040 --> 00:02:33.040]  在疫情的這段時間
[00:02:33.040 --> 00:02:35.040]  實習女醫生
[00:02:35.040 --> 00:02:37.040]  決定加入
[00:02:37.040 --> 00:02:39.040]  dirty team的行列
[00:02:39.040 --> 00:02:41.040]  她回想
[00:02:41.040 --> 00:02:43.040]  她當時的決定
[00:02:43.040 --> 00:02:45.040]  要加入dirty team
[00:02:45.040 --> 00:02:47.040]  決定之後兩個星期
[00:02:47.040 --> 00:02:49.040]  她的爸爸
[00:02:49.040 --> 00:02:51.040]  那天去到她的醫院
[00:02:51.040 --> 00:02:53.040]  宿舍的外面
[00:02:53.040 --> 00:02:55.040]  約她見面
[00:02:55.040 --> 00:02:57.040]  爸爸不單止就這樣來
[00:02:57.040 --> 00:02:59.040]  他還預備了一袋的水果
[00:02:59.040 --> 00:03:01.040]  一袋的橙
[00:03:01.040 --> 00:03:03.040]  二話不說一見到女兒
[00:03:03.040 --> 00:03:05.040]  就遞了那袋的水果給女兒
[00:03:05.040 --> 00:03:07.040]  還千叮萬囑的
[00:03:07.040 --> 00:03:09.040]  叫她的女兒
[00:03:09.040 --> 00:03:11.040]  記得記得要吃水果
[00:03:11.040 --> 00:03:13.040]  接著就走了
[00:03:13.040 --> 00:03:15.040]  這個女兒
[00:03:15.040 --> 00:03:17.040]  望著爸爸的背影
[00:03:17.040 --> 00:03:19.040]  她心裡彷彿
[00:03:19.040 --> 00:03:21.040]  好像明白了
[00:03:21.040 --> 00:03:23.040]  當年她爸爸離開她
[00:03:23.040 --> 00:03:25.040]  離開她媽媽
[00:03:25.040 --> 00:03:27.040]  說決定要加入
[00:03:27.040 --> 00:03:29.040]  dirty team的行列
[00:03:29.040 --> 00:03:31.040]  其實是一個很艱難的決定
[00:03:31.040 --> 00:03:33.040]  原來她爸爸當年
[00:03:33.040 --> 00:03:35.040]  2003年
[00:03:35.040 --> 00:03:37.040]  跟她一樣
[00:03:37.040 --> 00:03:39.040]  有這個決定說要加入dirty team
[00:03:39.040 --> 00:03:41.040]  要去照顧
[00:03:41.040 --> 00:03:43.040]  當時的SARS病人
[00:03:43.040 --> 00:03:45.040]  這次輪到她的女兒
[00:03:45.040 --> 00:03:47.040]  有這個決定
[00:03:47.040 --> 00:03:49.040]  說要加入dirty team
[00:03:49.040 --> 00:03:51.040]  她的爸爸當他知道
[00:03:51.040 --> 00:03:53.040]  這個女兒的決定的時候
[00:03:53.040 --> 00:03:55.040]  其實就用了很多次
[00:03:55.040 --> 00:03:57.040]  想說
[00:03:57.040 --> 00:03:59.040]  力勸她的女兒
[00:03:59.040 --> 00:04:01.040]  要她想清楚
[00:04:01.040 --> 00:04:03.040]  甚至每一天
[00:04:03.040 --> 00:04:05.040]  都找一個原因找一個理由
[00:04:05.040 --> 00:04:07.040]  嘗試去說服她的女兒
[00:04:07.040 --> 00:04:09.040]  他這樣說
[00:04:09.040 --> 00:04:11.040]  我也明白的
[00:04:11.040 --> 00:04:13.040]  但是你始終是我女兒
[00:04:13.040 --> 00:04:15.040]  哪有爸爸
[00:04:15.040 --> 00:04:17.040]  想女兒走到這麼前
[00:04:17.040 --> 00:04:19.040]  他還說
[00:04:19.040 --> 00:04:21.040]  其實想想
[00:04:21.040 --> 00:04:23.040]  我當時
