
[00:00:00.000 --> 00:00:05.000]  弟兄姊妹,讓我們開始的時候再次禱告
[00:00:05.000 --> 00:00:10.000]  七夕天父願祢的靈在這個時候臨到在我們心裡面
[00:00:10.000 --> 00:00:14.000]  主人要做提醒的提醒,要做教導的教導
[00:00:14.000 --> 00:00:18.000]  我們渴求一件事就是祢今天真的對我們說話
[00:00:18.000 --> 00:00:21.000]  祢在我們心裡面去做功
[00:00:21.000 --> 00:00:26.000]  讓我們真的有那份改變的能力從祢而來
[00:00:26.000 --> 00:00:29.000]  多謝祢,因為我們知道祢是信實的
[00:00:29.000 --> 00:00:32.000]  多謝祢,因為我們知道祢是會垂聽
[00:00:32.000 --> 00:00:35.000]  特別在我們身處的年代
[00:00:35.000 --> 00:00:38.000]  我們的心神是很容易去耗盡
[00:00:38.000 --> 00:00:41.000]  但是祢說祢會重新加力給我們
[00:00:41.000 --> 00:00:45.000]  願祢自己成就祢所說的話
[00:00:45.000 --> 00:00:49.000]  多謝祢,奉耶穌名求
[00:00:49.000 --> 00:00:52.000]  弟兄姊妹,午安
[00:00:52.000 --> 00:00:54.000]  今天我們記載的經文
[00:00:54.000 --> 00:01:02.000]  要讀的經文就是在《馬可福音》的十三章第24到第37節
[00:01:02.000 --> 00:01:05.000]  題目是「人子的再來」
[00:01:05.000 --> 00:01:10.000]  《馬可福音》十三章又被人稱為「橄欖山的講論」
[00:01:10.000 --> 00:01:13.000]  又或者叫「小啟示錄」
[00:01:13.000 --> 00:01:17.000]  前者會稱它為「橄欖山的講論」
[00:01:17.000 --> 00:01:20.000]  是因為耶穌所說的話記載在十三章的
[00:01:20.000 --> 00:01:25.000]  就是在橄欖山上的講論
[00:01:25.000 --> 00:01:28.000]  另一段講到它是「小啟示錄」
[00:01:28.000 --> 00:01:32.000]  原因很簡單,因為這段經節裡面
[00:01:32.000 --> 00:01:35.000]  有很多啟示文學的特點
[00:01:35.000 --> 00:01:39.000]  如果我們將整個十三章去做一個分段的時候
[00:01:39.000 --> 00:01:42.000]  我們會有以下的體見
[00:01:42.000 --> 00:01:44.000]  在第一節到第二節
[00:01:44.000 --> 00:01:48.000]  就是耶穌預言聖殿將要被毀
[00:01:48.000 --> 00:01:51.000]  在第三到第四節
[00:01:51.000 --> 00:01:56.000]  就是耶穌的門徒問聖殿幾時被毀
[00:01:56.000 --> 00:01:58.000]  和被毀的有什麼先兆
[00:01:58.000 --> 00:02:01.000]  但在這裡我們需要留心一件事
[00:02:01.000 --> 00:02:03.000]  就是《馬可福音》的記載
[00:02:03.000 --> 00:02:06.000]  和《馬太福音》的記載是有分別的
[00:02:06.000 --> 00:02:08.000]  在《馬太福音》它會多了一句
[00:02:08.000 --> 00:02:11.000]  它說「你降臨同世界的末了」
[00:02:11.000 --> 00:02:17.000]  但是在《馬可福音》第三、第四節說
[00:02:17.000 --> 00:02:20.000]  「這一切事要成就」
[00:02:20.000 --> 00:02:22.000]  如果看上文下理
[00:02:22.000 --> 00:02:25.000]  在《馬可福音》說「這一切事要成就」
[00:02:25.000 --> 00:02:30.000]  是在說聖殿被毀的事情
[00:02:30.000 --> 00:02:35.000]  第五到第三十七節就是耶穌的講論
[00:02:35.000 --> 00:02:37.000]  第一個講論是什麼呢?
[00:02:37.000 --> 00:02:41.000]  他說「門徒你要謹慎,因為終結還沒來到」
[00:02:41.000 --> 00:02:45.000]  這個是第五節到第八節去講
[00:02:45.000 --> 00:02:48.000]  裡面牽涉到門徒將會受苦
[00:02:48.000 --> 00:02:50.000]  包括什麼苦呢?
[00:02:50.000 --> 00:02:54.000]  假基督的興起和戰爭的呼聲
[00:02:54.000 --> 00:02:57.000]  第二個講論的位置是什麼呢?
[00:02:57.000 --> 00:03:01.000]  就是要謹慎,要堅忍逼白
[00:03:01.000 --> 00:03:05.000]  在第九到第十三節是這樣說的
[00:03:05.000 --> 00:03:10.000]  他說「門徒啊,你們將要被人帶到會堂裡面」
[00:03:10.000 --> 00:03:12.000]  被人去審問
[00:03:12.000 --> 00:03:22.000]  最後又說「你們將要經歷的會被親人出賣」
[00:03:22.000 --> 00:03:27.000]  第三個位置就是第十四到第二十三節
[00:03:27.000 --> 00:03:30.000]  那裡是說災難的日子
[00:03:30.000 --> 00:03:36.000]  那裡會集中說耶路撒冷將要被毀壞
[00:03:36.000 --> 00:03:39.000]  你會看到有些位置是專門說猶太人
[00:03:39.000 --> 00:03:41.000]  說安息日的日子
[00:03:41.000 --> 00:03:44.000]  又開始說不要祈求冬天來
[00:03:44.000 --> 00:03:47.000]  這些是在說給猶太人知道
[00:03:47.000 --> 00:03:50.000]  如果真的末日的日子到星期日
[00:03:50.000 --> 00:03:53.000]  我們都會怎樣?都會走
[00:03:53.000 --> 00:03:56.000]  重要的是猶太人他們不會走
[00:03:56.000 --> 00:03:59.000]  所以耶穌跟他們的講論是告訴他們的
[00:03:59.000 --> 00:04:03.000]  第四個講論就是人子的再來
[00:04:03.000 --> 00:04:05.000]  就是今天要講的經文的一部分
[00:04:05.000 --> 00:04:08.000]  二十四到三十一節
[00:04:08.000 --> 00:04:12.000]  最後他就說要謹慎
[00:04:12.000 --> 00:04:17.000]  因為你和我都不知道主賽勵的日子是何時
[00:04:17.000 --> 00:04:21.000]  這是三十二到三十七節要講的東西
[00:04:21.000 --> 00:04:26.000]  今天我們將會集中時間去講後尾那兩個部分
[00:04:26.000 --> 00:04:30.000]  即是第二十四節到第三十七節
[00:04:30.000 --> 00:04:33.000]  宗觀整卷十三章
