
[00:00:00.000 --> 00:00:04.000]  好,弟兄姐妹平安,我們再一次先低頭祈禱
[00:00:04.000 --> 00:00:10.000]  天放我們來到你面前的時候,願你的話語再一次教導我們
[00:00:10.000 --> 00:00:18.000]  願我們藉著你的話語的時候,讓我們好像照著鏡子看到自己真實心靈的景況的時候
[00:00:18.000 --> 00:00:20.000]  我們知道怎樣來到可以就近你
[00:00:20.000 --> 00:00:25.000]  願你向我們中間,願我們同在,奉耶穌基督的名祈求, Amen
[00:00:26.000 --> 00:00:30.000]  好了,就停了幾個禮拜,停了七個禮拜
[00:00:30.000 --> 00:00:38.000]  我們剛剛就完了四十天那個尋找生命特質的運動
[00:00:38.000 --> 00:00:44.000]  過了四十天之後,希望大家不要停在那裡
[00:00:44.000 --> 00:00:49.000]  因為我們找到你的生命特質的時候
[00:00:49.000 --> 00:00:54.000]  你是找你在天國當中的位置,要參與侍奉
[00:00:54.000 --> 00:00:59.000]  所以記得最後一個禮拜,我們也有一個挑戰
[00:00:59.000 --> 00:01:09.000]  就是你嘗試在未來三個月,找一些新的,你未試過的去侍奉
[00:01:09.000 --> 00:01:17.000]  去找神在你生命當中,看看怎樣可以發揮你的恩賜來服侍神
[00:01:17.000 --> 00:01:20.000]  所以鼓勵大家繼續去尋求
[00:01:20.000 --> 00:01:24.000]  我們後面上個禮拜也有報告過信箱
[00:01:24.000 --> 00:01:30.000]  你也看到如果你有些大兄姊妹,你覺得她很有恩賜想鼓勵她
[00:01:30.000 --> 00:01:35.000]  你可以寫一封信,很簡單的,不是寫什麼很長篇大論的信
[00:01:35.000 --> 00:01:38.000]  寫她的名字,寫你覺得她有什麼恩賜
[00:01:38.000 --> 00:01:45.000]  接著你貼上去,放上去,我們會傳遞給大兄姊妹
[00:01:45.000 --> 00:01:47.000]  希望大家彼此鼓勵
[00:01:47.000 --> 00:01:52.000]  因為每個人在天國裏面,我們是有我們的遺志的
[00:01:52.000 --> 00:01:58.000]  過了一段時間沒有看《約翰福音》了
[00:01:58.000 --> 00:02:03.000]  但是現在完了之後,我們繼續回來看《約翰福音》
[00:02:03.000 --> 00:02:08.000]  可能停了幾個禮拜,要溫習一下
[00:02:08.000 --> 00:02:14.000]  剛才讀了很長的第六章,但是是第六章的下半段
[00:02:14.000 --> 00:02:18.000]  所以如果你記得,我們上一次說的是
[00:02:18.000 --> 00:02:24.000]  《約翰福音》第六章上半段,你記不記得說什麼?
[00:02:24.000 --> 00:02:26.000]  就是《九五餅義餘》
[00:02:26.000 --> 00:02:29.000]  你記得的時候,你記得是《九五餅義餘》
[00:02:29.000 --> 00:02:36.000]  《約翰福音》第六章頭十一節是《九五餅義餘》
[00:02:36.000 --> 00:02:42.000]  以及耶穌和門徒遇到風浪,然後耶穌去了那裏
[00:02:42.000 --> 00:02:46.000]  溫習一點,《約翰福音》本身
[00:02:46.000 --> 00:02:51.000]  我們一邊說的時候,其實就想大家明白
[00:02:51.000 --> 00:02:57.000]  《約翰福音》其實是一個非常熟練,很老練的導遊
[00:02:57.000 --> 00:03:02.000]  他講《約翰福音》的時候,他想帶我們不單止是
[00:03:02.000 --> 00:03:06.000]  看到一些關於耶穌以前做過的事情
[00:03:06.000 --> 00:03:11.000]  其實他想帶我們去經歷耶穌
