
[00:00:00.000 --> 00:00:02.800]  慈悲仁愛的天父
[00:00:02.800 --> 00:00:04.900]  祢是創造宇宙萬物
[00:00:04.900 --> 00:00:07.600]  給我們生命氣息的上帝
[00:00:07.600 --> 00:00:10.400]  今天我們在這個地上
[00:00:10.400 --> 00:00:12.600]  出現不是偶然
[00:00:12.600 --> 00:00:14.800]  是祢有祢美好的計劃
[00:00:14.800 --> 00:00:16.000]  祢說神造萬物
[00:00:16.000 --> 00:00:18.200]  各按其時成為美好
[00:00:18.200 --> 00:00:21.800]  但是主,我們很多時候看不到有美好
[00:00:21.800 --> 00:00:23.600]  反而看到很多軟弱
[00:00:23.600 --> 00:00:25.000]  很多困難
[00:00:25.000 --> 00:00:27.800]  甚至很多我們接受不到的事
[00:00:27.800 --> 00:00:29.600]  好像今天我們讀到經文
[00:00:29.600 --> 00:00:34.200]  一班門徒看到耶穌基督被捕受害受苦
[00:00:34.200 --> 00:00:36.200]  還要釘十字架
[00:00:36.200 --> 00:00:38.000]  他被捕的開始
[00:00:38.000 --> 00:00:43.400]  就是門徒的人生好像要倒塌要粉碎的時刻
[00:00:43.400 --> 00:00:46.600]  主,這些驚恐驚訝
[00:00:46.600 --> 00:00:49.200]  今天我們看來我們已經明白
[00:00:49.200 --> 00:00:51.600]  但是求祢幫我們從經文看到
[00:00:51.600 --> 00:00:55.600]  祢十字架的道路是我們幾重要的功課
[00:00:55.600 --> 00:00:57.200]  對我們何等的寶貴
[00:00:57.200 --> 00:01:00.800]  祢的生命叫我們要跟從
[00:01:00.800 --> 00:01:04.800]  因為祢說凡是祢的門徒都要跟從祢
[00:01:04.800 --> 00:01:06.400]  跟從祢的腳踪
[00:01:06.400 --> 00:01:08.800]  跟從祢走十字架的道路
[00:01:08.800 --> 00:01:13.400]  祂只教我們有打開的心
[00:01:13.400 --> 00:01:15.600]  領受祢給我們的懷與
[00:01:15.600 --> 00:01:17.800]  聽我們祈禱奉耶穌的聖名
[00:01:17.800 --> 00:01:24.000]  著名的印度國父叫聖雄甘地
[00:01:24.000 --> 00:01:26.000]  有誰聽過他的名字
[00:01:26.000 --> 00:01:28.000]  請你拍手
[00:01:28.000 --> 00:01:32.000]  有誰沒聽過請你拍手
[00:01:32.000 --> 00:01:36.000]  年輕人
[00:01:36.000 --> 00:01:41.000]  甘地不是罐頭產品
[00:01:41.000 --> 00:01:42.000]  我聽別人以為
[00:01:42.000 --> 00:01:44.000]  甘地是不是菠蘿
[00:01:44.000 --> 00:01:48.000]  但是甘地在基督教信仰
[00:01:48.000 --> 00:01:51.000]  他和他太太都間中出現
[00:01:51.000 --> 00:01:54.000]  因為甘地在他人生裏面
[00:01:54.000 --> 00:01:55.400]  他在英國留學
[00:01:55.400 --> 00:01:59.000]  你知道以前印度是英國的殖民地
[00:01:59.000 --> 00:02:03.200]  他對基督教有一些體會
[00:02:03.200 --> 00:02:05.000]  最後他沒有信耶穌
[00:02:05.000 --> 00:02:07.000]  其中一個他說的經歷就是
[00:02:07.000 --> 00:02:08.000]  他回到教會
[00:02:08.000 --> 00:02:10.000]  因為他有膚色的緣故
[00:02:10.000 --> 00:02:13.000]  他相信留了很長一段時間
[00:02:13.000 --> 00:02:16.000]  沒有一個人和他聊天
