
[00:00:00.000 --> 00:00:03.500]  今個月是我們教會的「猜傳月」
[00:00:03.500 --> 00:00:06.000]  甚麼是「猜傳」呢?
[00:00:06.000 --> 00:00:11.000]  「猜傳」就是將福音傳到
[00:00:11.000 --> 00:00:16.500]  離開我們這個城市的地方
[00:00:16.500 --> 00:00:21.500]  我們簡稱為「猜傳」或者「宣教」
[00:00:21.500 --> 00:00:25.500]  有一個這樣的定義
[00:00:25.500 --> 00:00:27.500]  「猜傳」是甚麼呢?
[00:00:27.500 --> 00:00:32.000]  我們承受著耶穌給我們的大使命
[00:00:32.000 --> 00:00:36.500]  我們要去使萬民作主的門徒
[00:00:36.500 --> 00:00:40.000]  要叫萬民成為主的門徒
[00:00:40.000 --> 00:00:44.000]  我們不單止來注重
[00:00:44.000 --> 00:00:47.000]  我們向香港人
[00:00:47.000 --> 00:00:49.500]  或者向我們這個社區的人
[00:00:49.500 --> 00:00:51.000]  做報道工作
[00:00:51.000 --> 00:00:55.000]  更加我們要來將主的福音
[00:00:55.000 --> 00:00:58.000]  離開我們這個城市
[00:00:58.000 --> 00:01:00.500]  去到其他的地方
[00:01:00.500 --> 00:01:02.500]  去建立他的教會
[00:01:02.500 --> 00:01:06.500]  所以有人將這個「猜傳」
[00:01:06.500 --> 00:01:09.500]  宣教的那個向度
[00:01:09.500 --> 00:01:11.500]  來劃分幾個類型
[00:01:11.500 --> 00:01:15.000]  第一方面可以同文化的
[00:01:15.000 --> 00:01:19.500]  當香港人離開了香港這個地方
[00:01:19.500 --> 00:01:21.000]  去到國內
[00:01:21.000 --> 00:01:25.500]  向中國人繼續傳揚福音
[00:01:25.500 --> 00:01:30.000]  這個我們叫同文化的宣教工作
[00:01:30.000 --> 00:01:34.000]  另一方面我們和香港
[00:01:34.000 --> 00:01:37.500]  或者和中國人有近的相似的文化
[00:01:37.500 --> 00:01:40.500]  我們說向日本人傳福音
[00:01:40.500 --> 00:01:45.500]  我們說這個可以是一個近的文化工作
[00:01:45.500 --> 00:01:49.500]  更加我們去一個跨越我們的文化
[00:01:49.500 --> 00:01:52.000]  和我們完全不同的文化
[00:01:52.000 --> 00:01:54.500]  來做傳福音的工作
[00:01:54.500 --> 00:01:57.000]  或者我們向非洲人
[00:01:57.000 --> 00:01:59.000]  向其他種族的人
[00:01:59.000 --> 00:02:00.500]  來傳福音
[00:02:00.500 --> 00:02:04.000]  這個是一個異文化的工作
[00:02:04.000 --> 00:02:12.500]  在以前我們要向其他文化的人
[00:02:12.500 --> 00:02:16.000]  我一定要離開香港這個地方
[00:02:16.000 --> 00:02:18.000]  不過城市化
[00:02:18.000 --> 00:02:21.000]  叫很多不同的文化人
[00:02:21.000 --> 00:02:23.500]  都來到某一個城市
[00:02:23.500 --> 00:02:25.500]  好像香港那樣
[00:02:25.500 --> 00:02:27.500]  國內的留學生
[00:02:27.500 --> 00:02:30.500]  國內的中國人來到香港
[00:02:30.500 --> 00:02:36.500]  我們同樣可以做本地的猜傳的工作
[00:02:36.500 --> 00:02:42.000]  其他種族的人都可能來到香港
[00:02:42.000 --> 00:02:52.000]  我們同樣向菲律賓的女傭來傳福音
[00:02:52.000 --> 00:02:54.000]  或者我們來到
[00:02:54.000 --> 00:02:56.000]  如果有機會的
[00:02:56.000 --> 00:02:59.000]  印尼的人來傳福音
[00:02:59.000 --> 00:03:02.000]  這個是跨越了文化
[00:03:02.000 --> 00:03:07.000]  同樣在本地做的猜傳工作
[00:03:07.000 --> 00:03:15.000]  猜傳我們基本是去想一想
