
[00:00:00.000 --> 00:00:28.000]  上次會議後發出的資料文件
[00:00:30.000 --> 00:00:37.000]  我們講基督徒過得性生活秘訣
[00:00:37.000 --> 00:00:39.000]  只有三點
[00:00:39.000 --> 00:00:42.000]  首先要信服上帝而知足
[00:00:42.000 --> 00:00:45.000]  然後要被聖靈充滿
[00:00:45.000 --> 00:00:47.000]  第三要背記聖經
[00:00:47.000 --> 00:00:50.000]  最近有一套電影剛上映
[00:00:50.000 --> 00:00:53.000]  在廣告片上有一個對白
[00:00:53.000 --> 00:00:55.000]  有人問一個很富有的人
[00:00:55.000 --> 00:00:57.000]  你已經有這麼多錢了
[00:00:58.000 --> 00:01:00.000]  你要擁有多少才有安全感
[00:01:00.000 --> 00:01:03.000]  他回答說更多
[00:01:03.000 --> 00:01:05.000]  一個人不知足的話
[00:01:05.000 --> 00:01:07.000]  無論擁有多少財富
[00:01:07.000 --> 00:01:11.000]  都會繼續追求擁有更多
[00:01:11.000 --> 00:01:14.000]  第二個秘訣就是被聖靈充滿
[00:01:14.000 --> 00:01:17.000]  上星期沒有時間解釋
[00:01:17.000 --> 00:01:21.000]  有人問我怎樣才可以被聖靈充滿
[00:01:21.000 --> 00:01:24.000]  我先簡單講一講
[00:01:24.000 --> 00:01:27.000]  然後才思想今天的經文
[00:01:28.000 --> 00:01:30.000]  有人做過一個聖經的研究
[00:01:30.000 --> 00:01:34.000]  發現聖經裡面提到聖靈充滿的時候
[00:01:34.000 --> 00:01:36.000]  有時候是用動詞
[00:01:36.000 --> 00:01:39.000]  有時候是用形容詞
[00:01:39.000 --> 00:01:41.000]  如果用動詞的話
[00:01:41.000 --> 00:01:45.000]  那種聖靈充滿就會顯出異能
[00:01:45.000 --> 00:01:47.000]  不過都是短暫的
[00:01:47.000 --> 00:01:50.000]  在路加坊我們看過經文
[00:01:50.000 --> 00:01:53.000]  一章四十一至四十三節記載了一件事
[00:01:53.000 --> 00:01:56.000]  伊利沙伯一聽見瑪利亞的文案
[00:01:57.000 --> 00:01:59.000]  腹中的胎兒就跳動了
[00:01:59.000 --> 00:02:02.000]  伊利沙伯被聖靈充滿
[00:02:02.000 --> 00:02:05.000]  高聲呼喊你是女子中最蒙福的
[00:02:05.000 --> 00:02:08.000]  你所懷的胎兒也是蒙福的
[00:02:08.000 --> 00:02:11.000]  我著的母親前來探望我
[00:02:11.000 --> 00:02:14.000]  我怎麼敢當呢
[00:02:14.000 --> 00:02:18.000]  在這裡我們看到伊利沙伯被聖靈充滿
[00:02:18.000 --> 00:02:21.000]  被聖靈充滿在聖經的原文
[00:02:21.000 --> 00:02:23.000]  其實只有一個字
[00:02:23.000 --> 00:02:25.000]  並且是動詞
[00:02:26.000 --> 00:02:28.000]  因此伊利沙伯被聖靈充滿之後
[00:02:28.000 --> 00:02:30.000]  顯出有異能
[00:02:30.000 --> 00:02:33.000]  就好像先知一樣講預言
[00:02:33.000 --> 00:02:36.000]  瑪利亞都未曾告訴他
[00:02:36.000 --> 00:02:38.000]  他已經懷了人的事
[00:02:38.000 --> 00:02:41.000]  而伊利沙伯已經馬上知道
[00:02:41.000 --> 00:02:43.000]  瑪利亞是懷了人
[00:02:43.000 --> 00:02:47.000]  並且知道瑪利亞所懷的人是主
[00:02:47.000 --> 00:02:52.000]  以至他稱呼瑪利亞為我主的母親
[00:02:55.000 --> 00:02:57.000]  此外當聖經提到聖靈充滿
[00:02:57.000 --> 00:02:59.000]  如果用形容詞的話
[00:02:59.000 --> 00:03:03.000]  就是指一種經常性的充滿
[00:03:03.000 --> 00:03:05.000]  這種經常性的充滿
[00:03:05.000 --> 00:03:08.000]  就不會有異能顯現
[00:03:08.000 --> 00:03:11.000]  不過我們會看到那些人
[00:03:11.000 --> 00:03:13.000]  一般會信服上帝
[00:03:13.000 --> 00:03:15.000]  也會結出聖靈的果子
[00:03:15.000 --> 00:03:18.000]  我們看路加福那四章一節
[00:03:18.000 --> 00:03:23.000]  耶穌從約旦後回來充滿若聖靈
[00:03:24.000 --> 00:03:25.000]  聖靈領他到曠野
[00:03:25.000 --> 00:03:29.000]  在那裡四十天之久受魔鬼試探
[00:03:29.000 --> 00:03:31.000]  這裡說耶穌充滿若聖靈
[00:03:31.000 --> 00:03:34.000]  就是用了形容詞
[00:03:34.000 --> 00:03:37.000]  耶穌在約旦河受洗之後
[00:03:37.000 --> 00:03:39.000]  就充滿若聖靈
[00:03:39.000 --> 00:03:41.000]  有什麼表現呢?
[00:03:41.000 --> 00:03:43.000]  他就是信服聖靈的帶領
[00:03:43.000 --> 00:03:46.000]  去到曠野接受魔鬼的試探
[00:03:46.000 --> 00:03:50.000]  並且他是藉著聖經的說話
[00:03:51.000 --> 00:03:54.000]  順過魔鬼的試探
[00:03:54.000 --> 00:03:56.000]  各位聽眾
[00:03:56.000 --> 00:03:58.000]  今天這個時代有一類教會
[00:03:58.000 --> 00:04:00.000]  叫做靈恩派教會
[00:04:00.000 --> 00:04:04.000]  他們很著重追求聖靈充滿
[00:04:04.000 --> 00:04:07.000]  很著重講靈語或者講方言
[00:04:07.000 --> 00:04:09.000]  被聖靈擊倒
[00:04:09.000 --> 00:04:11.000]  醫病趕鬼的能力
[00:04:11.000 --> 00:04:13.000]  祈禱的時候
[00:04:13.000 --> 00:04:15.000]  要祈禱在地上滾地沙
[00:04:15.000 --> 00:04:17.000]  痛哭流涕認罪
[00:04:17.000 --> 00:04:20.000]  才算是被聖靈充滿
[00:04:21.000 --> 00:04:24.000]  我恐怕他們追求的是精靈
[00:04:24.000 --> 00:04:26.000]  追求的是恩賜
[00:04:26.000 --> 00:04:29.000]  而不是追求賜恩的主
[00:04:29.000 --> 00:04:32.000]  有些像兒子
[00:04:32.000 --> 00:04:34.000]  爸爸不是最重要
[00:04:34.000 --> 00:04:36.000]  最重要的是遺產
[00:04:36.000 --> 00:04:39.000]  我鼓勵大家
[00:04:39.000 --> 00:04:41.000]  要追求聖靈充滿
[00:04:41.000 --> 00:04:44.000]  是根據聖經那種充滿
[00:04:44.000 --> 00:04:46.000]  保羅教導我們說
[00:04:46.000 --> 00:04:48.000]  信服本性的人
[00:04:48.000 --> 00:04:50.000]  要向本性的事
[00:04:51.000 --> 00:04:52.000]  是意向聖靈的事
[00:04:52.000 --> 00:04:55.000]  然後在羅馬書八章八字說
[00:04:55.000 --> 00:04:57.000]  既然上帝一靈住在你們裡面
[00:04:57.000 --> 00:05:00.000]  你們的生活就不受本性的支配
[00:05:00.000 --> 00:05:04.000]  只受聖靈的管束
[00:05:04.000 --> 00:05:08.000]  一個按照聖經被聖靈充滿的人
[00:05:08.000 --> 00:05:10.000]  不一定會有異能
[00:05:10.000 --> 00:05:13.000]  但是會結出聖靈的果子
[00:05:13.000 --> 00:05:15.000]  就是博愛喜樂和平
[00:05:15.000 --> 00:05:19.000]  忍耐仁慈良善忠信溫柔節制
[00:05:20.000 --> 00:05:23.000]  因此如果我們想要被聖靈充滿
[00:05:23.000 --> 00:05:25.000]  我們要多背聖經
[00:05:25.000 --> 00:05:29.000]  在生活上我們要信服聖經的教導
[00:05:29.000 --> 00:05:33.000]  聖靈自然就會在我們心中指導我們
[00:05:33.000 --> 00:05:35.000]  至於有沒有異能呢
[00:05:35.000 --> 00:05:38.000]  如果有異能表現的聖靈充滿
[00:05:38.000 --> 00:05:44.000]  其實是出於聖靈的主權和主動
[00:05:44.000 --> 00:05:46.000]  我們不用做什麼
[00:05:46.000 --> 00:05:48.000]  假如我們祈禱的時候
[00:05:49.000 --> 00:05:51.000]  突然說出靈語或謊言
[00:05:51.000 --> 00:05:53.000]  自己也不明白
[00:05:53.000 --> 00:05:55.000]  你也不用害怕
[00:05:55.000 --> 00:05:57.000]  也不要驕傲
[00:05:57.000 --> 00:06:00.000]  以為自己突然升級成為高等信徒
[00:06:00.000 --> 00:06:04.000]  我們只要感謝主就行了
[00:06:04.000 --> 00:06:08.000]  我們來看今天的經文
[00:06:08.000 --> 00:06:12.000]  看看主耶穌呼召門徒的意義
[00:06:12.000 --> 00:06:15.000]  經文五章一節一開始說
[00:06:16.000 --> 00:06:19.000]  但沒有清楚交代日子
[00:06:19.000 --> 00:06:21.000]  很可能連當事人也忘記了
[00:06:21.000 --> 00:06:23.000]  究竟正確日期是何時
[00:06:23.000 --> 00:06:29.000]  不過自從耶穌勝過魔鬼試探之後
[00:06:29.000 --> 00:06:32.000]  祂就開始出來傳道
[00:06:32.000 --> 00:06:35.000]  相信祂也有行過神蹟
[00:06:35.000 --> 00:06:37.000]  剛才第一段到經文提到
