
[00:00:00.000 --> 00:00:01.640]  我們做一個簡短的禱告
[00:00:01.640 --> 00:00:11.100]  天父 我們今天來到您面前
[00:00:11.100 --> 00:00:12.540]  來敬拜您
[00:00:12.540 --> 00:00:15.940]  實際上敬拜是
[00:00:15.940 --> 00:00:19.480]  與您有一個愛的時間 有一個愛的相處
[00:00:19.480 --> 00:00:21.800]  在敬拜當中
[00:00:21.800 --> 00:00:24.940]  就像跳一支雙人舞
[00:00:24.940 --> 00:00:26.600]  與您共舞
[00:00:26.600 --> 00:00:29.980]  享受這段愛的甜蜜的時間
[00:00:30.980 --> 00:00:33.920]  願祢祝福這段時間
[00:00:33.920 --> 00:00:37.960]  讓我們真的能夠用心 用情 用意
[00:00:37.960 --> 00:00:39.600]  全然的投入
[00:00:39.600 --> 00:00:43.480]  禱告奉耶穌基督得勝的尊名 阿們
[00:00:43.480 --> 00:00:49.220]  好 今天的題目就是「與神共舞」
[00:00:49.220 --> 00:00:51.300]  「與神共舞」
[00:00:51.300 --> 00:00:56.000]  這段經文告訴我們說 有一個律法師
[00:00:56.000 --> 00:00:59.320]  他來試探耶穌 問耶穌說
[00:00:59.600 --> 00:01:01.120]  哎 夫子
[00:01:01.120 --> 00:01:05.840]  你看我們舊約的律法 我們的律法有那麼多
[00:01:05.840 --> 00:01:08.640]  你認為哪一條是最大的呢
[00:01:08.640 --> 00:01:12.600]  耶穌對他說 就是要
[00:01:12.600 --> 00:01:15.660]  盡心 盡性 盡意
[00:01:15.660 --> 00:01:16.860]  愛住你的神
[00:01:16.860 --> 00:01:19.360]  也有的版本翻譯為什麼呢
[00:01:19.360 --> 00:01:23.680]  就是全心 全情 全意的
[00:01:23.680 --> 00:01:25.320]  來愛住你的神
[00:01:28.980 --> 00:01:32.400]  愛神不僅要用心
[00:01:32.400 --> 00:01:35.720]  還要用情 還要用意
[00:01:35.720 --> 00:01:40.120]  敬拜神 你有沒有發現
[00:01:40.120 --> 00:01:45.900]  也是需要我們用心 用情 用意
[00:01:45.900 --> 00:01:49.600]  整個人全方位的來投入
[00:01:49.600 --> 00:01:53.040]  才是一個真正完整的敬拜呢
[00:01:53.040 --> 00:01:58.560]  敬拜神 首先要全心投入
[00:01:59.440 --> 00:02:01.040]  全心投入
[00:02:01.040 --> 00:02:03.240]  我不知道你有沒有感觸
[00:02:03.240 --> 00:02:08.240]  我們今天這個社會的時代的節奏是越來什麼
[00:02:08.240 --> 00:02:09.400]  越快
[00:02:09.400 --> 00:02:11.560]  我們被社會逼的
[00:02:11.560 --> 00:02:15.400]  有時候也是我們自己的私欲所驅使的
[00:02:15.400 --> 00:02:18.960]  我們節奏是越來越快 越來越快
[00:02:18.960 --> 00:02:21.360]  你有沒有發現 我們很多的時候
[00:02:21.360 --> 00:02:23.760]  很難靜下心來
[00:02:23.760 --> 00:02:25.480]  去專注
[00:02:25.480 --> 00:02:27.640]  或去享受一件事情
[00:02:27.640 --> 00:02:29.920]  我們所有考慮的都是一個什麼
[00:02:29.920 --> 00:02:31.920]  數字 結果
[00:02:31.920 --> 00:02:35.880]  特別是今天這個數字化時代
[00:02:35.880 --> 00:02:37.520]  數字化時代
[00:02:37.520 --> 00:02:39.960]  我們所有想到的都是一個數字
[00:02:39.960 --> 00:02:41.960]  一個結果
[00:02:41.960 --> 00:02:47.880]  包括夫妻雙方
[00:02:47.880 --> 00:02:49.880]  我們別說拿到神面前了
[00:02:49.880 --> 00:02:54.800]  最近半年我常常聽到我太太對我抱怨一句話
[00:02:54.800 --> 00:02:57.800]  說你不懂我
[00:02:57.800 --> 00:03:00.600]  你不懂我
[00:03:00.600 --> 00:03:02.600]  我說我怎麼不懂你啊
[00:03:02.600 --> 00:03:05.320]  但是我沒有回應出來
