
[00:00:00.000 --> 00:00:06.720]  相信在座的每一位都對考試測驗很熟悉
[00:00:06.720 --> 00:00:08.600]  一點也不陌生的,對不對?
[00:00:08.600 --> 00:00:12.480]  當老師需要知道學生有沒有學到東西的時候會怎樣?
[00:00:12.480 --> 00:00:13.760]  當然是讓他們測試
[00:00:13.760 --> 00:00:16.920]  有些還要做一個突擊測試,對不對?
[00:00:16.920 --> 00:00:20.760]  當醫生需要找出病人有什麼病的時候會怎樣?
[00:00:20.760 --> 00:00:24.880]  叫他驗血或者做不同類型的掃描,對不對?
[00:00:24.880 --> 00:00:29.440]  如果當一個媽媽想知道她的男友好不好的時候
[00:00:29.440 --> 00:00:32.280]  想知道她的女兒的男友好不好的時候
[00:00:32.280 --> 00:00:34.800]  如果你是媽媽,你會做什麼?
[00:00:34.800 --> 00:00:38.880]  有人說跟他打麻將,那就知道了
[00:00:38.880 --> 00:00:40.120]  我不知道打麻將有沒有用
[00:00:40.120 --> 00:00:47.160]  不過我建議大家最好去觀察他們跟神的關係如何
[00:00:47.160 --> 00:00:50.240]  今天我們所讀的經文告訴我們一些方法
[00:00:50.240 --> 00:00:53.240]  來測試我們跟神的關係是真還是假
[00:00:53.240 --> 00:00:55.640]  是深還是淺
[00:00:55.640 --> 00:01:00.240]  我們通過這些經文一同學習,來做一個自我評估
[00:01:00.240 --> 00:01:02.560]  大家找到一些改進的空間
[00:01:02.560 --> 00:01:07.600]  可以在基督耶穌裡面一同成長
[00:01:07.600 --> 00:01:09.600]  司徒約翰在這裡告訴我們
[00:01:09.600 --> 00:01:12.040]  如果我們遵守神的誡命
[00:01:12.040 --> 00:01:15.880]  我們就會了解、認識這個神
[00:01:15.880 --> 00:01:17.840]  意味著什麼?
[00:01:17.840 --> 00:01:24.200]  意味著如果我們需要知道我們是不是真正認識這個神的時候
[00:01:24.200 --> 00:01:26.400]  跟他有沒有一個真實的關係的時候
[00:01:26.400 --> 00:01:28.560]  其中一個很可靠的方法是怎樣?
[00:01:28.560 --> 00:01:33.880]  就是看看我們有沒有遵守神的誡命
[00:01:33.880 --> 00:01:36.840]  但是想大家留意聖經所講的認識
[00:01:36.840 --> 00:01:39.680]  上兩次講到也跟大家提過
[00:01:39.680 --> 00:01:42.880]  聖經裡面所講的認識不是單是在知識上面的認識
[00:01:42.880 --> 00:01:49.000]  而是指導一種生命交流的認識
[00:01:49.000 --> 00:01:50.080]  我們上次也提過了
[00:01:50.080 --> 00:01:51.720]  在《和西亞書》裡面所講
[00:01:51.720 --> 00:01:54.800]  譬如「喜愛認識神,勝過凡者」
[00:01:54.800 --> 00:01:56.920]  這裡的認識這個動詞
[00:01:56.920 --> 00:01:59.480]  其實就是《創世紀》裡面
[00:01:59.480 --> 00:02:01.280]  「亞當與夏馬同房」
[00:02:01.280 --> 00:02:03.920]  這個同房的動詞
[00:02:03.920 --> 00:02:06.200]  兩個都是一模一樣的字
[00:02:06.200 --> 00:02:10.640]  就是說聖經裡面所講的認識
