
[00:00:00.000 --> 00:00:04.000]  今天和大家繼續思想《馬太福音》
[00:00:04.000 --> 00:00:11.000]  今天我們思想的經文是十七章第十四到十二一節
[00:00:11.000 --> 00:00:15.000]  這裡特別講到一個芥菜種的信心
[00:00:15.000 --> 00:00:20.000]  耶穌在當中醫好一些人
[00:00:20.000 --> 00:00:26.000]  然後在當中向一群門徒分享自己的體會
[00:00:26.000 --> 00:00:30.000]  提醒他們如何學習信心的功課
[00:00:30.000 --> 00:00:34.000]  耶穌在這裡經歷一件事情
[00:00:34.000 --> 00:00:40.000]  就是有一個父親帶著一個看癲癇的孩子
[00:00:40.000 --> 00:00:42.000]  來到耶穌的面前
[00:00:42.000 --> 00:00:45.000]  耶穌知道這個孩子身上有鬼
[00:00:45.000 --> 00:00:50.000]  所以就將這個鬼從孩子的身上趕出來
[00:00:50.000 --> 00:00:56.000]  這群父親和親友都非常開心快樂
[00:00:56.000 --> 00:00:59.000]  因為這個孩子得到醫治
[00:00:59.000 --> 00:01:00.000]  在這個過程中
[00:01:00.000 --> 00:01:06.000]  耶穌和這群門徒分享他們在當中的體會
[00:01:06.000 --> 00:01:08.000]  對這件事情的體會
[00:01:08.000 --> 00:01:10.000]  在這個過程中
[00:01:10.000 --> 00:01:18.000]  這群門徒都嘗試驅鬼
[00:01:18.000 --> 00:01:21.000]  去醫治這個孩子
[00:01:21.000 --> 00:01:24.000]  但這群門徒沒有這個能力
[00:01:24.000 --> 00:01:26.000]  所以他們去到耶穌面前
[00:01:26.000 --> 00:01:27.000]  為什麼我們沒有呢
[00:01:27.000 --> 00:01:29.000]  我們跟了你這麼久
[00:01:29.000 --> 00:01:31.000]  其實我們都開始盼望
[00:01:31.000 --> 00:01:34.000]  你將這份恩典能力賜給我們
[00:01:34.000 --> 00:01:37.000]  所以門徒在當中就去問耶穌
[00:01:37.000 --> 00:01:42.000]  為什麼我沒有這個能力去做這件事情呢
[00:01:42.000 --> 00:01:44.000]  耶穌在我剛才所讀的幾文裡
[00:01:44.000 --> 00:01:47.000]  都提到因為我們這群門徒
