
[00:00:00.000 --> 00:00:02.000]  先問下大家一個問題
[00:00:02.000 --> 00:00:05.000]  乜野係恆善呀?
[00:00:05.000 --> 00:00:09.000]  今日嘅經文裏面出現過好多次恆善
[00:00:09.000 --> 00:00:11.000]  乜野係恆善呀?
[00:00:11.000 --> 00:00:14.000]  舉個例呀
[00:00:14.000 --> 00:00:21.000]  例如我今朝一起身見到我老婆
[00:00:21.000 --> 00:00:24.000]  我同佢講,你又靚咗喎
[00:00:24.000 --> 00:00:27.000]  呢個係咪恆善?
[00:00:28.000 --> 00:00:30.000]  係咪恆一善?
[00:00:30.000 --> 00:00:32.000]  唔係
[00:00:32.000 --> 00:00:36.000]  呢個係事實之陳述姐係咪?
[00:00:36.000 --> 00:00:40.000]  即係唔係特別恆善,唔係恆咗善
[00:00:40.000 --> 00:00:42.000]  乜野係恆善?
[00:00:42.000 --> 00:00:47.000]  又或者,今日嘅經文出現咁多次恆善嘅話
[00:00:47.000 --> 00:00:53.000]  乜野係彼得前書裏面,彼得講嘅恆善呢?
[00:00:53.000 --> 00:00:57.000]  我哋留意四個段落
[00:00:58.000 --> 00:01:01.000]  彼得前書一開始,今日嘅經文一開始
[00:01:01.000 --> 00:01:04.000]  二章十一節「親愛的」嗰度
[00:01:04.000 --> 00:01:10.000]  已經話,親愛的,你門是客裏,是寄居的
[00:01:10.000 --> 00:01:15.000]  我勸你門要禁戒肉體的情慾
[00:01:15.000 --> 00:01:18.000]  這情慾是與靈魂爭戰的
[00:01:18.000 --> 00:01:22.000]  你門在外邦人中要品行斷靜
[00:01:22.000 --> 00:01:27.000]  好讓那些人雖然毀謗你門是作惡的
[00:01:28.000 --> 00:01:30.000]  但看見你門的好行為
[00:01:30.000 --> 00:01:35.000]  而在監察的日子歸榮耀給上帝
[00:01:35.000 --> 00:01:38.000]  呢個係第一段
[00:01:38.000 --> 00:01:44.000]  呢個係彼得前書裏面,彼得講嘅恆善
[00:01:44.000 --> 00:01:49.000]  然之後二章十三至十五節
[00:01:49.000 --> 00:01:54.000]  你門為主的緣故要信服人的一切制度
[00:01:55.000 --> 00:02:02.000]  或是在上的君王,或是君王所派情惡賞善的官員
[00:02:02.000 --> 00:02:10.000]  因為上帝的旨意原是要你門以恆善來堵住胡圖無知人的口
[00:02:10.000 --> 00:02:13.000]  十八和二十一節
[00:02:13.000 --> 00:02:20.000]  你門作勞僕的,凡是要全敬畏的心信服主人
[00:02:21.000 --> 00:02:27.000]  不但信服善良溫和的,就是乖僻的也要信服
[00:02:27.000 --> 00:02:29.000]  二十一節
[00:02:29.000 --> 00:02:32.000]  你門蒙照就是為此
[00:02:32.000 --> 00:02:38.000]  因為基督也為你門受過苦,給你門留下榜樣
[00:02:38.000 --> 00:02:42.000]  為要使你門跟隨他的腳蹤
[00:02:42.000 --> 00:02:48.000]  呢個係第二段,彼得所講嘅恆善
[00:02:49.000 --> 00:02:53.000]  第三段,三章一至二節
[00:02:53.000 --> 00:02:59.000]  同樣,你門作妻子的,要信服自己的丈夫
[00:02:59.000 --> 00:03:03.000]  這樣,即使有不順從道理的丈夫
[00:03:03.000 --> 00:03:10.000]  也會因妻子的品行並非言語而感化過來
[00:03:10.000 --> 00:03:14.000]  因為看見了你門敬虔純潔的品行
[00:03:14.000 --> 00:03:16.000]  第七節
[00:03:17.000 --> 00:03:23.000]  同樣,你門作丈夫的,要按情理跟妻子共同生活
[00:03:23.000 --> 00:03:27.000]  體貼女性是比較軟弱的器皿
[00:03:27.000 --> 00:03:33.000]  要尊重她,因為她也與你一同承受生命之恩
[00:03:33.000 --> 00:03:38.000]  這樣,你門的禱告就不會受阻礙
[00:03:38.000 --> 00:03:43.000]  呢一個係彼得所講嘅恆善
[00:03:44.000 --> 00:03:47.000]  最後仲有三章八至九節
[00:03:47.000 --> 00:03:54.000]  總而言之,你門都要同心彼此體恤
[00:03:54.000 --> 00:03:59.000]  相愛如弟兄,全憐憫和謙卑的心
[00:03:59.000 --> 00:04:05.000]  不要以惡報惡,以辱罵還辱罵,倒要祝福
[00:04:05.000 --> 00:04:08.000]  因為你門正是為此蒙照的
[00:04:08.000 --> 00:04:11.000]  好使你門承受福氣
[00:04:12.000 --> 00:04:15.000]  呢個係彼得所講嘅恆善
[00:04:15.000 --> 00:04:21.000]  講嚟講去,其實彼得所講嘅恆善
[00:04:21.000 --> 00:04:26.000]  換句話講呢,就係對方作惡都好
