
[00:00:00.000 --> 00:00:03.920]  各位誠惠的弟兄姊妹和朋友早晨
[00:00:03.920 --> 00:00:09.520]  亦都好開心可以今日同大家分享自己嘅話語
[00:00:09.520 --> 00:00:11.200]  多謝馬sir嘅邀請
[00:00:11.200 --> 00:00:14.480]  我係孫道會社安堂嘅傑克遜
[00:00:14.480 --> 00:00:18.560]  今日同大家分享一個嘅訊息
[00:00:18.560 --> 00:00:20.240]  活得更豐富
[00:00:20.240 --> 00:00:23.360]  新嘅一年希望大家都喺主義嘅裏面
[00:00:23.360 --> 00:00:26.080]  可以有更豐富嘅恩典
[00:00:26.080 --> 00:00:29.360]  唔知道當講到豐富嘅時候
[00:00:29.360 --> 00:00:32.400]  你會聯想到啲咩嘢
[00:00:32.400 --> 00:00:34.320]  我哋中國人好鍾意食嘢
[00:00:34.320 --> 00:00:36.560]  我自己好鍾意食嘢
[00:00:36.560 --> 00:00:39.120]  所以一講到豐富嘅時候
[00:00:39.120 --> 00:00:42.000]  我就諗起一餐豐富嘅飯
[00:00:42.000 --> 00:00:43.280]  可能對有啲人嚟講
[00:00:43.280 --> 00:00:46.000]  係一餐豐富嘅自助餐
[00:00:46.000 --> 00:00:50.400]  我記得我曾經嚟到同太太一齊去澳門
[00:00:50.400 --> 00:00:53.040]  探喺澳門住嘅舅父
[00:00:53.040 --> 00:00:55.680]  咁佢就帶我哋去食自助餐
[00:00:55.680 --> 00:00:57.840]  你知澳門有好多酒店
[00:00:57.840 --> 00:00:58.960]  有好多自助餐
[00:00:58.960 --> 00:01:00.480]  咁見到嘅時候
[00:01:00.480 --> 00:01:01.920]  嘩好多嘢食
[00:01:01.920 --> 00:01:02.960]  我哋唔係成日食
[00:01:02.960 --> 00:01:04.480]  自助餐亦都好少食
[00:01:04.480 --> 00:01:06.640]  咁所以呢見到就好豐富
[00:01:06.640 --> 00:01:11.120]  咁舅父就話呢啲好少事好少嘢
[00:01:11.120 --> 00:01:13.040]  佢話有另外一間我想帶你去
[00:01:13.040 --> 00:01:15.360]  但係就因為你得一日嘅時間
[00:01:15.360 --> 00:01:18.480]  佢話費時嘥時間喺食自助餐上面
[00:01:18.480 --> 00:01:20.800]  咁馬sir十一月嘅時候
