
[00:00:00.000 --> 00:00:03.580]  大衛傳的第十五講
[00:00:03.580 --> 00:00:06.580]  我們今天是要講兩章的經文
[00:00:06.580 --> 00:00:09.540]  就是《撒姆爾夏》的第九章
[00:00:09.540 --> 00:00:11.540]  和《撒姆爾夏》的第十章
[00:00:11.540 --> 00:00:13.040]  我也講過
[00:00:13.040 --> 00:00:15.680]  《撒姆爾夏》有一章的書我不會講
[00:00:15.680 --> 00:00:18.620]  就是《撒姆爾夏》的第八章
[00:00:18.620 --> 00:00:21.420]  因為是有關大衛的戰績
[00:00:21.420 --> 00:00:23.640]  沒有什麼屬靈的教導在裡面
[00:00:23.640 --> 00:00:26.840]  所以我會跳過這一章的書
[00:00:26.840 --> 00:00:30.160]  今天會講第九和第十章
[00:00:30.160 --> 00:00:35.040]  題目是別樣感性超越神的話語
[00:00:35.040 --> 00:00:37.400]  我們上次也講過
[00:00:37.400 --> 00:00:40.500]  大衛雖然是一個合神心意的人
[00:00:40.500 --> 00:00:43.660]  但是他往往做事就是被他的感性
[00:00:43.660 --> 00:00:47.020]  被他的感情超越了神的話語
[00:00:47.020 --> 00:00:49.320]  今天也不例外
[00:00:49.320 --> 00:00:52.360]  我們會見到在亞門人的身上
[00:00:52.360 --> 00:00:54.980]  同樣的事也發生了
[00:00:54.980 --> 00:00:59.940]  這兩章的書有兩個很重要的主題
[00:00:59.940 --> 00:01:03.280]  第一個主題就是大衛的王位
[00:01:03.280 --> 00:01:05.280]  在這章的書裡面
[00:01:05.280 --> 00:01:08.040]  大衛這個名字出現了六次
[00:01:08.040 --> 00:01:13.160]  但是王這個字就出現了十次
[00:01:13.160 --> 00:01:16.160]  另外有一次稱他為大衛王
[00:01:16.160 --> 00:01:18.160]  在《撒姆爾夏》的第七章
[00:01:18.160 --> 00:01:21.820]  和《撒姆爾夏》的七章是一模一樣
[00:01:21.820 --> 00:01:25.060]  大衛被擁納為王
[00:01:25.060 --> 00:01:28.640]  現在他得到所有的掃羅財富
[00:01:28.640 --> 00:01:32.360]  他喜歡怎樣運用這些財富都可以
[00:01:32.360 --> 00:01:37.480]  於是他就揀選用這些財富來施慈愛
[00:01:37.480 --> 00:01:41.820]  給他的故人甚至給他的敵人
[00:01:41.820 --> 00:01:46.400]  所以第二個主題就是神的慈愛
[00:01:46.400 --> 00:01:52.760]  你說大衛施慈愛和神的慈愛有甚麼關係
[00:01:52.760 --> 00:01:57.840]  我們要知道所有的慈愛都是來自神
[00:01:57.840 --> 00:02:01.880]  就好像約翰一書的四章十九節告訴我們
[00:02:01.880 --> 00:02:05.880]  是神先愛我們以至我們能夠愛人
[00:02:05.880 --> 00:02:11.780]  所以大衛只不過是將神的慈愛施給他的故人
[00:02:11.780 --> 00:02:13.780]  甚至施給他的敵人
[00:02:13.780 --> 00:02:16.540]  今天為甚麼會講這兩章書呢
[00:02:16.540 --> 00:02:19.540]  因為這兩章書是有連帶的關係
[00:02:19.540 --> 00:02:21.540]  首先在第九章
[00:02:21.540 --> 00:02:26.200]  大衛要將慈愛施給他的故人的後人
[00:02:26.200 --> 00:02:28.200]  是第九章
[00:02:28.200 --> 00:02:29.500]  而在第十章
[00:02:29.500 --> 00:02:32.860]  他想將他的慈愛施給他的敵人
[00:02:32.860 --> 00:02:34.860]  就是亞門人
[00:02:34.860 --> 00:02:37.960]  我們來看看第一點
[00:02:37.960 --> 00:02:42.880]  就是大衛要施慈愛給他的故人
[00:02:42.880 --> 00:02:45.420]  在撒姆爾夏的第九章第一節
[00:02:45.420 --> 00:02:46.840]  大衛就問
[00:02:46.840 --> 00:02:51.640]  「蘇羅的家中還有沒有剩下的人沒有?」
[00:02:51.640 --> 00:02:57.320]  他說「我要因約拿丹的緣故向他施恩」
[00:02:57.320 --> 00:02:59.960]  大衛問有沒有蘇羅的後人
[00:02:59.960 --> 00:03:03.060]  有人說「有,米菲波切」
[00:03:03.060 --> 00:03:07.100]  大衛向米菲波切施慈愛
[00:03:07.100 --> 00:03:10.900]  不是因為他同情米菲波切
[00:03:10.900 --> 00:03:14.860]  是因為他和約拿丹的關係
[00:03:14.860 --> 00:03:18.540]  「施慈愛」這個字在原文的希伯來文
[00:03:18.540 --> 00:03:20.360]  是「hext」這個字
[00:03:20.360 --> 00:03:24.600]  是有契約的用意在裏面
[00:03:24.600 --> 00:03:28.100]  也就是說大衛希望守約
[00:03:28.100 --> 00:03:30.100]  如果我們記得的話
[00:03:30.100 --> 00:03:32.520]  大衛和約拿丹
[00:03:32.520 --> 00:03:36.420]  甚至和蘇羅都有納約
[00:03:36.420 --> 00:03:40.300]  大衛說「我是做了以色列王之後
[00:03:40.300 --> 00:03:42.860]  我不會消滅你們的後裔」
[00:03:42.860 --> 00:03:44.860]  他曾經說過
[00:03:44.860 --> 00:03:49.100]  但現在大衛在約拿丹身上所施的恩惠
[00:03:49.100 --> 00:03:52.800]  是遠遠超過他自己的誓言
[00:03:52.800 --> 00:03:56.600]  大衛已經沒有辦法向約拿丹施慈愛
[00:03:56.600 --> 00:03:59.200]  他唯有向約拿丹的後人
[00:03:59.200 --> 00:04:04.240]  米菲波切來延伸他的慈愛
[00:04:04.240 --> 00:04:07.420]  其實我們說撒姆爾夏第四章的時候
[00:04:07.420 --> 00:04:09.840]  我們都已經說過
[00:04:09.840 --> 00:04:13.260]  米菲波切就是約拿丹的後人
[00:04:13.260 --> 00:04:17.380]  當約拿丹被殺戰死沙場的時候
[00:04:17.380 --> 00:04:21.300]  米菲波切只不過是一個五歲的弟弟
[00:04:21.300 --> 00:04:23.740]  現在他已經是二十一歲
[00:04:23.740 --> 00:04:26.740]  他還有一個年幼的兒子
[00:04:26.740 --> 00:04:29.860]  記載在撒姆爾夏的九章十二節
[00:04:29.860 --> 00:04:33.820]  而這個兒子日後會幫他生有很多的子孫
[00:04:33.820 --> 00:04:35.540]  而這些子孫
[00:04:35.540 --> 00:04:38.580]  都是以色列人被擄之前
[00:04:38.580 --> 00:04:41.620]  成為變雅敏茲派的領袖
[00:04:41.620 --> 00:04:45.520]  在歷代至上的第八章和第九章
[00:04:45.520 --> 00:04:47.640]  都有告訴我們
[00:04:47.640 --> 00:04:51.100]  在《說經文》裡面另外有一個很重要的人物
[00:04:51.100 --> 00:04:52.660]  就是洗巴
[00:04:52.660 --> 00:04:56.660]  洗巴是以前蘇羅的近身侍衛
[00:04:56.660 --> 00:05:00.980]  現在他成為米菲波切的僕人
[00:05:00.980 --> 00:05:04.120]  《經文》兩次提到米菲波切
[00:05:04.120 --> 00:05:06.980]  是一個雙腳殘廢的人
[00:05:06.980 --> 00:05:11.300]  為什麼作者這麼著重這一點呢?
[00:05:11.300 --> 00:05:12.620]  有兩個原因
[00:05:12.620 --> 00:05:15.900]  第一個原因就是在一般的情況之下
[00:05:15.900 --> 00:05:19.740]  雙殘的人不可以在黃的面前出現
[00:05:19.740 --> 00:05:22.180]  雙殘的人不可以在黃的面前出現
[00:05:22.180 --> 00:05:25.700]  這一點我們遲些會回來看
[00:05:25.700 --> 00:05:27.340]  還有第二個原因
[00:05:27.340 --> 00:05:31.420]  作者要為了後來發生的事來鋪路
[00:05:31.420 --> 00:05:34.900]  原來米菲波切和他的僕人洗巴
[00:05:34.900 --> 00:05:36.980]  將來會有過節
[00:05:36.980 --> 00:05:40.940]  記載在《薩姆》以下的十六章和十九章
[00:05:40.940 --> 00:05:44.420]  我們遲些也會講這些事
[00:05:44.420 --> 00:05:49.540]  洗巴告訴大衛
[00:05:49.540 --> 00:05:51.980]  約拿丹還有一個兒子
[00:05:51.980 --> 00:05:54.620]  他住在約旦河的對岸
[00:05:54.620 --> 00:05:59.060]  就在羅底巴這個地方
