
[00:00:00.000 --> 00:00:04.000]  各位姐妹好 我們一起有個禱告
[00:00:04.000 --> 00:00:08.000]  天父我們感謝祢 讓我們一起學習祢的話語
[00:00:08.000 --> 00:00:13.000]  求主幫助我們 讓我們真的好像我們今天的經文裏面
[00:00:13.000 --> 00:00:18.000]  我們學會更加的認識 盡心的認識我們這位主
[00:00:18.000 --> 00:00:22.000]  我們認識祢 我們這樣祈禱奉主耶穌基督的名
[00:00:22.000 --> 00:00:30.000]  我們有時基督徒的經驗都很特別
[00:00:30.000 --> 00:00:34.000]  有時我們很內心的經歷跟神相交
[00:00:34.000 --> 00:00:38.000]  有時在一些表面的聚會
[00:00:38.000 --> 00:00:42.000]  有時我們看看我們跟神的認識是多少
[00:00:42.000 --> 00:00:44.000]  每個人都不同
[00:00:44.000 --> 00:00:48.000]  A.W. Tozer一個神學家說過一句話
[00:00:48.000 --> 00:00:53.000]  有一種人很特別的 他會用一種很崇高的愛
[00:00:53.000 --> 00:00:57.000]  去對一個對象 這個對象是從來看不到他的
[00:00:57.000 --> 00:01:00.000]  經常跟他聊天 但是從來見不到他的
[00:01:00.000 --> 00:01:05.000]  還有就是經常期望將來會去到天堂
[00:01:05.000 --> 00:01:08.000]  藉著一個人的功績
[00:01:08.000 --> 00:01:11.000]  這個人就是將自己倒空
[00:01:11.000 --> 00:01:15.000]  然後使別人得到祝福
[00:01:15.000 --> 00:01:18.000]  這個人是誰呢?
[00:01:18.000 --> 00:01:23.000]  很奇怪吧 大家覺得自己是一個基督徒
[00:01:23.000 --> 00:01:29.000]  A.W. Tozer就說這是真正的信徒的經歷
[00:01:29.000 --> 00:01:34.000]  還有就是很特別的 這些真正的信徒
[00:01:34.000 --> 00:01:38.000]  他們在一些很軟弱的時候
[00:01:38.000 --> 00:01:42.000]  顯得是最剛強的時候 大家有沒有試過?
[00:01:42.000 --> 00:01:47.000]  在很窮困的時候顯得很富足
[00:01:47.000 --> 00:01:50.000]  其實都是保羅的經歷
[00:01:50.000 --> 00:01:53.000]  他說我好像一無所有 但是樣樣都有
[00:01:53.000 --> 00:01:55.000]  他還能夠給人
[00:01:55.000 --> 00:01:57.000]  這個神這麼奇妙
[00:01:57.000 --> 00:02:02.000]  又說最低谷的時候 可能也是最喜樂的時候
[00:02:02.000 --> 00:02:05.000]  有沒有試過?
[00:02:05.000 --> 00:02:09.000]  總之這種生命很特別
[00:02:09.000 --> 00:02:15.000]  有一位基督徒他患了癌病離開了這個世界
[00:02:15.000 --> 00:02:19.000]  在追思禮拜他就寫了一些紙
[00:02:19.000 --> 00:02:22.000]  給參加者的一些追憶
[00:02:22.000 --> 00:02:26.000]  裡面是賓果爾夫講到一些意思
[00:02:26.000 --> 00:02:30.000]  就說癌病的勢力 它的權力是有限的
[00:02:30.000 --> 00:02:33.000]  它不能夠腐蝕了人的信心
[00:02:33.000 --> 00:02:37.000]  它不能夠削減了人的愛
[00:02:37.000 --> 00:02:41.000]  它不會靜止了人的勇氣
[00:02:41.000 --> 00:02:46.000]  也不可以減低永恆的時間 永生
[00:02:46.000 --> 00:02:49.000]  還有這個復活的大能
[00:02:49.000 --> 00:02:53.000]  其實基督徒就是經歷一個很軟弱 但是又很剛強
[00:02:53.000 --> 00:02:56.000]  問題就是還有一種很特別的價值觀
[00:02:56.000 --> 00:02:58.000]  他願意將他自己的生命完全拿出來
[00:02:58.000 --> 00:03:00.000]  換了神給他的生命
[00:03:00.000 --> 00:03:02.000]  你有沒有試過?
[00:03:02.000 --> 00:03:05.000]  有沒有試過?
