
[00:00:00.000 --> 00:00:01.080]  丁子妹早晨
[00:00:01.080 --> 00:00:04.420]  上次講到看下神的國
[00:00:04.420 --> 00:00:07.680]  這次就看下神的國的權力
[00:00:07.680 --> 00:00:08.680]  這也不是特意的
[00:00:08.680 --> 00:00:09.840]  之前沒有想好這個題目的
[00:00:09.840 --> 00:00:11.140]  只不過收到這個題目
[00:00:11.140 --> 00:00:12.740]  再看的時候就覺得
[00:00:12.740 --> 00:00:15.740]  也可以用這個題目跟大家分享
[00:00:15.740 --> 00:00:19.240]  在基督教信仰群體裡面
[00:00:19.240 --> 00:00:20.680]  任何事工的發展
[00:00:20.680 --> 00:00:23.680]  有兩個不可以缺少的元素
[00:00:23.680 --> 00:00:28.260]  就是神的權能在當中運行
[00:00:28.760 --> 00:00:30.660]  以及祂的縱門徒
[00:00:30.660 --> 00:00:32.960]  在事工當中的毀身
[00:00:32.960 --> 00:00:35.360]  就是所有的工作
[00:00:35.360 --> 00:00:37.060]  所有的事工
[00:00:37.060 --> 00:00:39.660]  必須神和人都在裡面
[00:00:39.660 --> 00:00:44.560]  2005年有一個來自波斯尼亞的
[00:00:44.560 --> 00:00:47.300]  回教家庭的一個女子
[00:00:47.300 --> 00:00:48.760]  她當時信仰耶穌的了
[00:00:48.760 --> 00:00:49.960]  她來到香港
[00:00:49.960 --> 00:00:52.260]  就跟一群當時的學生領袖
[00:00:52.260 --> 00:00:54.360]  分享她自己的故事
[00:00:54.360 --> 00:00:56.860]  她說1992年
[00:00:56.860 --> 00:00:58.360]  她仍然是一個回教徒
[00:00:59.060 --> 00:01:01.060]  當時她有一個很好的同學
[00:01:01.060 --> 00:01:01.860]  是一個基督徒
[00:01:01.860 --> 00:01:05.260]  當時兩人已經在不同的地方居住
[00:01:05.260 --> 00:01:06.360]  不過這個基督徒同學
[00:01:06.360 --> 00:01:08.060]  跟她常常有書信的來往
[00:01:08.060 --> 00:01:10.760]  這個同學很多時候都在書信裡面
[00:01:10.760 --> 00:01:11.860]  來鼓勵她
[00:01:11.860 --> 00:01:13.660]  告訴她只有耶穌基督
[00:01:13.660 --> 00:01:15.460]  才是那位獨一的救主
[00:01:15.460 --> 00:01:16.860]  希望她能夠信耶穌
[00:01:16.860 --> 00:01:19.760]  在一輪的書信來往裡面
[00:01:19.760 --> 00:01:21.960]  最後這個波斯尼亞的女子
[00:01:21.960 --> 00:01:23.660]  就決定來相信耶穌
[00:01:23.660 --> 00:01:25.160]  不過是秘密的
[00:01:25.160 --> 00:01:26.060]  沒有跟別人說
[00:01:26.060 --> 00:01:28.360]  也沒有跟任何人表達
[00:01:29.760 --> 00:01:30.560]  但是很不幸的
[00:01:30.560 --> 00:01:31.760]  有一次他們的書信
[00:01:31.760 --> 00:01:32.660]  不知道是什麼原因
[00:01:32.660 --> 00:01:35.560]  就落入了當時警方的手上
[00:01:35.560 --> 00:01:37.760]  不知道是折了還是什麼原因
[00:01:37.760 --> 00:01:41.060]  於是這個信主沒多久
[00:01:41.060 --> 00:01:43.060]  表面的回教徒
[00:01:43.060 --> 00:01:46.660]  實際上基督徒就被警方找去問話
[00:01:46.660 --> 00:01:49.460]  當時她的家人不知道她相信耶穌
[00:01:49.460 --> 00:01:52.060]  直到警察上門來找這個女子
[00:01:52.060 --> 00:01:53.360]  說因為她這個信仰
[00:01:53.360 --> 00:01:56.660]  要帶她回警察局來溝通
