
[00:00:00.000 --> 00:00:05.320]  今天我們回來教會講壇系列《使徒行傳》
[00:00:05.320 --> 00:00:09.680]  我們繼續講第十及十一章
[00:00:09.680 --> 00:00:12.720]  彼得及戈尼流的故事
[00:00:12.720 --> 00:00:16.440]  是很多基督徒都熟悉的
[00:00:16.440 --> 00:00:21.320]  亦是《使徒行傳》中篇幅最長的故事
[00:00:21.320 --> 00:00:25.200]  彼得將他的異象講了兩次
[00:00:25.200 --> 00:00:29.320]  而在第十五章他又再提及這件事
[00:00:29.320 --> 00:00:34.120]  戈尼流就將他的異象講了四次
[00:00:34.120 --> 00:00:38.800]  我相信路加必定是認為
[00:00:38.800 --> 00:00:43.240]  戈尼流歸主這件事是非常之重要
[00:00:43.240 --> 00:00:47.720]  才會用這麼長的篇幅來記載
[00:00:47.720 --> 00:00:49.720]  我們一定要問
[00:00:49.720 --> 00:00:54.160]  為何戈尼流歸主這件事是這麼重要
[00:00:54.160 --> 00:00:56.880]  當我們從《使徒行傳》
[00:00:56.880 --> 00:00:59.840]  去看初期教會的發展的時候
[00:00:59.840 --> 00:01:03.160]  就會發現戈尼流事件
[00:01:03.160 --> 00:01:10.520]  就是初期教會實踐大使命一個關鍵的進程
[00:01:10.520 --> 00:01:15.080]  和大家很快地重溫一下《使徒行傳》
[00:01:15.080 --> 00:01:17.560]  《使徒行傳》第一章到第七章
[00:01:17.560 --> 00:01:19.800]  就講到五旬節的時候
[00:01:19.800 --> 00:01:21.800]  聖靈降臨之後
[00:01:21.800 --> 00:01:26.000]  福音怎樣在耶路撒冷傳開
[00:01:26.000 --> 00:01:28.000]  去到第八章
[00:01:28.000 --> 00:01:31.880]  就講教會因為受大逼迫的緣故
[00:01:31.880 --> 00:01:36.360]  門徒就分散在猶大、薩瑪利亞
[00:01:36.360 --> 00:01:43.280]  而肥利就將福音傳到薩瑪利亞那裡的人
[00:01:43.280 --> 00:01:47.240]  這不是一個福音的策略
[00:01:47.240 --> 00:01:50.840]  只不過是因著教會受逼迫
[00:01:50.840 --> 00:01:56.680]  門徒分散,以致福音傳到其他地方
[00:01:56.680 --> 00:02:00.920]  去到第九章就記載了蘇羅歸主
[00:02:00.920 --> 00:02:03.880]  而第十和十一章
[00:02:03.880 --> 00:02:05.880]  戈尼流的事件
[00:02:05.880 --> 00:02:12.880]  就是福音臨到外邦人的關鍵
[00:02:12.880 --> 00:02:14.680]  我相信大家一定記得
[00:02:14.680 --> 00:02:17.760]  《使徒行傳》一章八節那裡
[00:02:17.760 --> 00:02:21.720]  耶穌說當聖靈降臨在你們身上的時候
[00:02:21.720 --> 00:02:25.720]  你們就必得著能力
[00:02:25.720 --> 00:02:31.360]  就會在耶路撒冷、猶大、薩瑪利亞
[00:02:31.360 --> 00:02:36.360]  直到地極作我的見證
[00:02:36.360 --> 00:02:39.520]  而當我們現在看到第十一章的時候
[00:02:39.520 --> 00:02:41.040]  初期教會的發展
[00:02:41.040 --> 00:02:47.800]  正正就好像耶穌所說的那樣發生
[00:02:47.800 --> 00:02:50.800]  其實一切都是從恩典開始
[00:02:50.800 --> 00:02:53.480]  因為上帝是愛所有的人
[00:02:53.480 --> 00:02:57.720]  他定義是要拯救所有的人
