
[00:00:00.000 --> 00:00:03.680]  我聽說 Billy Graham 郭培利博士
[00:00:03.680 --> 00:00:07.120]  在他年老的時候曾經有人採訪過他
[00:00:07.120 --> 00:00:11.720]  郭培利博士是全世界最出名的報道家
[00:00:11.720 --> 00:00:14.640]  周遊世界 傳福音 贏得很多的靈魂
[00:00:14.640 --> 00:00:16.320]  我記得我在香港的時候
[00:00:16.320 --> 00:00:20.280]  曾經參加郭培利博士在香港大球場的報道會
[00:00:20.280 --> 00:00:22.680]  全個球場滿人的
[00:00:22.680 --> 00:00:24.960]  所以他在他生平的時候
[00:00:24.960 --> 00:00:29.440]  真的做了很多很特別的事情 為神
[00:00:29.440 --> 00:00:31.000]  但當他年老的時候
[00:00:31.000 --> 00:00:32.320]  在這次訪問的時候
[00:00:32.320 --> 00:00:34.920]  有人問他 郭培利博士
[00:00:34.920 --> 00:00:38.480]  你有沒有什麼遺憾呢
[00:00:38.480 --> 00:00:41.880]  他說 如果我只有一個遺憾
[00:00:41.880 --> 00:00:48.680]  就是我花不夠時間來陪我的弟弟
[00:00:48.680 --> 00:00:50.600]  這個震撼世界
[00:00:50.600 --> 00:00:53.440]  而且可能世界比世界上比我們任何人
[00:00:53.440 --> 00:00:57.000]  帶更多的人去歸向耶穌
[00:00:57.000 --> 00:00:59.520]  他唯一的遺憾
[00:00:59.520 --> 00:01:03.080]  不是會成為一個更好的報道家
[00:01:03.080 --> 00:01:06.560]  不是得到更多演講的約會
[00:01:06.560 --> 00:01:09.560]  不是成為一個更好的演講者
[00:01:09.560 --> 00:01:11.480]  不是有更多的錢
[00:01:11.480 --> 00:01:13.760]  不是有更多人的認可
[00:01:13.760 --> 00:01:17.320]  不是有更多的頭條的新聞
[00:01:17.320 --> 00:01:19.240]  他唯一的遺憾
[00:01:19.240 --> 00:01:21.560]  為什麼沒有花多點時間
[00:01:21.560 --> 00:01:25.720]  在地上跟弟弟們一起玩
[00:01:25.720 --> 00:01:29.080]  花多點時間跟他們一起釣魚
[00:01:29.080 --> 00:01:30.680]  花更多的時間
[00:01:30.680 --> 00:01:38.080]  讓弟弟們能夠站在他的背後走來走去
[00:01:38.080 --> 00:01:40.320]  我相信如果
[00:01:40.320 --> 00:01:42.880]  郭培利博士也有這樣的遺憾
[00:01:42.880 --> 00:01:46.760]  那我相信父親的身份一定很重要
[00:01:46.760 --> 00:01:48.120]  我也很認同
[00:01:48.120 --> 00:01:50.360]  在我一生的遺憾裡面
[00:01:50.360 --> 00:01:51.400]  最大的遺憾
[00:01:51.400 --> 00:01:54.320]  都是為什麼我沒有花更多的時間
[00:01:54.320 --> 00:01:57.240]  跟我的弟弟們一起
[00:01:57.240 --> 00:02:02.400]  當耶穌教導他的門徒祈禱的時候
[00:02:02.400 --> 00:02:03.760]  耶穌沒有說
[00:02:03.760 --> 00:02:05.440]  你第一句話
[00:02:05.440 --> 00:02:06.800]  祈禱的時候叫
[00:02:06.800 --> 00:02:11.040]  El Shaddai 山上的神
[00:02:11.040 --> 00:02:12.000]  耶穌沒有說
[00:02:12.000 --> 00:02:14.080]  你祈禱的時候第一句話
[00:02:14.080 --> 00:02:16.160]  叫 Jehovah 耶和華
[00:02:16.160 --> 00:02:19.200]  能夠使事情發生的事
