
[00:00:00.000 --> 00:00:03.620]  我們今天要來看詩篇三十四篇
[00:00:03.620 --> 00:00:07.560]  這一篇是一個
[00:00:07.560 --> 00:00:12.160]  其實也是一個蠻苦的背景
[00:00:12.160 --> 00:00:16.520]  等一下我會講爲什麼它是一個蠻苦的背景
[00:00:16.520 --> 00:00:20.280]  但是呢你看詩篇三十四篇
[00:00:20.280 --> 00:00:22.140]  一開始第一節它說什麼
[00:00:22.140 --> 00:00:24.820]  它說什麼
[00:00:24.820 --> 00:00:29.840]  看你的聖經
[00:00:30.000 --> 00:00:31.080]  有沒有聖經
[00:00:31.080 --> 00:00:37.000]  大衛一開始他就說
[00:00:37.000 --> 00:00:39.720]  他說我要實時
[00:00:39.720 --> 00:00:42.040]  稱頌耶和華
[00:00:42.040 --> 00:00:45.320]  讚美他的話必藏在我口中
[00:00:45.320 --> 00:00:47.760]  所以這一節聖經
[00:00:47.760 --> 00:00:51.320]  就把整個這一篇詩篇裏面點出來了
[00:00:51.320 --> 00:00:54.960]  大衛講到的這一段話裏面就講到
[00:00:54.960 --> 00:00:57.720]  他的人生是一個讚美的人生
[00:00:59.120 --> 00:01:02.600]  但是我們也可以同時說大衛的人生是一個
[00:01:02.600 --> 00:01:05.680]  真的是多受苦難的人生
[00:01:05.680 --> 00:01:11.320]  有準備苦難跟讚美怎麼可以連在一起呢
[00:01:11.320 --> 00:01:15.440]  當我們在苦難的時候
[00:01:15.440 --> 00:01:18.160]  我們怎麼能夠發出讚美的聲音呢
[00:01:18.160 --> 00:01:24.160]  有準備可能你現在正在面臨到人生當中的一些難處
[00:01:24.160 --> 00:01:25.960]  你在唱這些詩歌的時候
[00:01:25.960 --> 00:01:30.160]  可能你會心想說 哎呀 這些歌不能夠讓我有共鳴啊
[00:01:30.160 --> 00:01:31.920]  要唱哪些歌呢 要唱
[00:01:31.920 --> 00:01:35.280]  我不知明日將如何
[00:01:35.280 --> 00:01:38.200]  要唱這一類啊
[00:01:38.200 --> 00:01:40.720]  好像比較有點 有點什麼
[00:01:40.720 --> 00:01:43.840]  有點憂鬱 有點blue的一些歌
[00:01:43.840 --> 00:01:46.960]  我才感覺到這跟我很有關係
[00:01:46.960 --> 00:01:49.720]  聽不準備
[00:01:49.720 --> 00:01:50.840]  不是的
[00:01:50.840 --> 00:01:53.360]  大衛讓我們看見一件事情
[00:01:53.360 --> 00:01:54.520]  讚美
[00:01:56.240 --> 00:01:59.720]  不管我們在患難中間在什麼時候
[00:01:59.720 --> 00:02:01.840]  讚美應該是我們人生的寫照
[00:02:01.840 --> 00:02:02.960]  Amen
[00:02:02.960 --> 00:02:07.480]  好 那問題是
[00:02:07.480 --> 00:02:14.240]  讚美是什麼意思 劉永子美
[00:02:14.240 --> 00:02:15.480]  我們經常 謝謝
[00:02:15.480 --> 00:02:17.120]  經常在講說
[00:02:17.120 --> 00:02:18.920]  敬拜讚美 是不是
[00:02:18.920 --> 00:02:20.680]  我們經常在講讚美這個字
[00:02:20.680 --> 00:02:22.280]  讚美是什麼意思
[00:02:23.760 --> 00:02:26.040]  讚美是誰 跟你旁邊人討論一下
[00:02:26.040 --> 00:02:28.040]  什麼是讚美
[00:02:28.040 --> 00:02:41.560]  如果我們看這個
[00:02:41.560 --> 00:02:44.560]  去查詞典的話
[00:02:44.560 --> 00:02:46.560]  讚美這個字
[00:02:46.560 --> 00:02:52.960]  它可以說是三個意思
[00:02:52.960 --> 00:02:54.680]  一個就是估價
[00:02:54.680 --> 00:02:56.680]  或者是價值
[00:02:56.680 --> 00:03:01.040]  所以我們給一個東西估價
[00:03:01.040 --> 00:03:03.440]  我們給一個人評價
[00:03:03.440 --> 00:03:05.040]  這是讚美
[00:03:05.040 --> 00:03:07.040]  讓他覺得有價值
[00:03:07.040 --> 00:03:08.520]  是嗎
[00:03:08.520 --> 00:03:09.880]  所以今天很多時候
[00:03:09.880 --> 00:03:11.280]  我們講話
[00:03:11.280 --> 00:03:13.640]  要讓人覺得有價值
[00:03:13.640 --> 00:03:15.920]  而不是讓人覺得很沒價值
[00:03:15.920 --> 00:03:17.640]  懂這意思嗎
[00:03:17.640 --> 00:03:19.040]  那第二個意思
[00:03:19.040 --> 00:03:21.040]  表示認同
[00:03:21.960 --> 00:03:23.480]  我贊同你
[00:03:23.480 --> 00:03:25.160]  來 跟你旁邊說一下
[00:03:25.160 --> 00:03:27.160]  我贊同你
[00:03:27.160 --> 00:03:31.720]  所以你知道
[00:03:31.720 --> 00:03:35.240]  我們這個禱告的時候講阿們是什麼意思
[00:03:35.240 --> 00:03:36.720]  贊同你
[00:03:36.720 --> 00:03:38.400]  我認同 是不是
[00:03:38.400 --> 00:03:40.040]  所以我們在禱讀的時候
[00:03:40.040 --> 00:03:41.760]  當有人說 耶和華
[00:03:41.760 --> 00:03:43.440]  你是我的山寨
[00:03:43.440 --> 00:03:45.400]  你接着其他人說什麼
[00:03:45.400 --> 00:03:48.560]  阿們 就是我贊同 是不是
[00:03:48.560 --> 00:03:49.840]  如果你一面禱告
[00:03:49.840 --> 00:03:52.080]  旁邊一面說 哼
[00:03:52.080 --> 00:03:58.400]  所以讚美是一個認同
[00:03:58.400 --> 00:04:00.680]  第三個
[00:04:00.680 --> 00:04:01.760]  這個就比較
[00:04:01.760 --> 00:04:04.160]  更跟我們的信仰有關係了
[00:04:04.160 --> 00:04:06.280]  他說讚美是用歌
[00:04:06.280 --> 00:04:08.120]  或用其他的方式
[00:04:08.120 --> 00:04:11.480]  來高聲榮耀神
[00:04:11.480 --> 00:04:15.480]  所以讚美會要唱歌的
[00:04:15.480 --> 00:04:17.320]  是嗎
[00:04:18.400 --> 00:04:20.320]  當你追求太太的時候
[00:04:20.320 --> 00:04:23.320]  有沒有唱過一首情歌
[00:04:23.320 --> 00:04:26.320]  歐薩拉米蕾
[00:04:26.320 --> 00:04:29.200]  可能年輕的時候
[00:04:29.200 --> 00:04:30.320]  哎呀 追求的
[00:04:30.320 --> 00:04:32.560]  要讚美她 要得到她了
[00:04:32.560 --> 00:04:34.640]  哎呀 就是你是天上的星星啊
[00:04:34.640 --> 00:04:36.640]  你是海邊的什麼
