
[00:00:00.000 --> 00:00:02.800]  特別是今早在訊息之前
[00:00:02.800 --> 00:00:05.400]  我想和大家有一個特別的事情要討論
[00:00:05.400 --> 00:00:09.000]  亦都留意到最近中國的內地
[00:00:09.000 --> 00:00:12.600]  在一個叫做濱海區
[00:00:12.600 --> 00:00:14.080]  大家知道天津的地方
[00:00:14.080 --> 00:00:17.000]  一個特大的一個爆炸的事件
[00:00:17.000 --> 00:00:18.800]  我想我們都大家一齊關心
[00:00:18.800 --> 00:00:20.200]  為他們祈禱
[00:00:20.200 --> 00:00:21.800]  我們先請大家祈禱
[00:00:28.400 --> 00:00:30.400]  因著我們同心在你面前
[00:00:30.400 --> 00:00:32.400]  亦都感謝你
[00:00:32.400 --> 00:00:36.800]  因為你的確是那位向人施恩的上帝
[00:00:36.800 --> 00:00:41.600]  主我們今天見到在天津所發生的事的時候
[00:00:41.600 --> 00:00:44.600]  主我們心裏面都難過
[00:00:44.600 --> 00:00:48.200]  見到報道已經超過一百人死亡
[00:00:48.200 --> 00:00:51.200]  七百多人仍然留醫
[00:00:51.200 --> 00:00:56.800]  有個十幾十個的一些消防人員殉職
[00:00:56.800 --> 00:01:01.200]  在災場留下一個大的地洞
[00:01:01.200 --> 00:01:03.200]  主我們見到這些情況的時候
[00:01:03.200 --> 00:01:05.800]  主我們向你祈禱
[00:01:05.800 --> 00:01:10.600]  求你綏顧很多很多在當地死難者的家屬
[00:01:10.600 --> 00:01:14.000]  主你自己親自的賜下安慰
[00:01:14.000 --> 00:01:18.200]  賜下你自己從天而來的平安
[00:01:18.200 --> 00:01:23.000]  讓人有力量去面對這些苦難的事情
[00:01:23.000 --> 00:01:28.000]  亦都求你綏顧在醫院當中很多的傷者
[00:01:28.000 --> 00:01:30.000]  求你憐憫他們
[00:01:30.000 --> 00:01:31.800]  主是你的恩典
[00:01:31.800 --> 00:01:36.800]  是會臨到很多就算未曾認識你的人
[00:01:36.800 --> 00:01:41.200]  主是讓他們都經歷到主自己所賜的恩惠
[00:01:41.200 --> 00:01:45.400]  身體、心靈能夠得著平安
[00:01:45.400 --> 00:01:50.400]  主是你醫治的恩手都臨到他們的身上
[00:01:50.400 --> 00:01:53.200]  主我們都知道在災場裏面
[00:01:53.200 --> 00:01:56.000]  是散發出很多危險物品
[00:01:56.000 --> 00:01:59.600]  化學物品的一些氣味
[00:01:59.600 --> 00:02:02.600]  亦都可能會影響很多的人體
[00:02:02.600 --> 00:02:04.800]  主是你自己都親自幫助
[00:02:04.800 --> 00:02:08.000]  保守著很多的有關的部門
[00:02:08.000 --> 00:02:12.400]  有你所指的智慧和那種的力量
[00:02:12.400 --> 00:02:16.600]  能夠可以制止這些事情繼續的擴散
[00:02:16.600 --> 00:02:20.200]  免得更多的生命受到傷害
[00:02:20.200 --> 00:02:23.000]  主我們在你面前都很恭敬的禱告
[00:02:23.000 --> 00:02:27.400]  主我們知道在我們的中國裏面
[00:02:27.400 --> 00:02:29.200]  有很多不同的地區
[00:02:29.200 --> 00:02:32.600]  因為這些危險物品的儲存問題
[00:02:32.600 --> 00:02:37.800]  曾經有多次的一些大型的意外的事故
[00:02:37.800 --> 00:02:40.400]  主我們祈禱求主自己因為今次的事情
[00:02:40.400 --> 00:02:44.800]  再次帶給當局有你所給他們的那種警覺
[00:02:44.800 --> 00:02:49.400]  真是知道在前面怎樣作適當的一種規範
[00:02:49.400 --> 00:02:52.000]  免得這些危險物品
[00:02:52.000 --> 00:02:55.200]  得不到適當的管理和儲存
[00:02:55.200 --> 00:02:58.400]  帶來將來更多的災難
[00:02:58.400 --> 00:03:01.400]  我們仰望因主你自己親自的垂顧
[00:03:01.400 --> 00:03:05.600]  你紀念很多很多中國的同胞
[00:03:05.600 --> 00:03:09.400]  在他們的生命面對這些災難的時候
[00:03:09.400 --> 00:03:12.000]  主你一方面賜下你的安慰
[00:03:12.000 --> 00:03:16.000]  另一方面帶領他們的心亦都轉向你
[00:03:16.000 --> 00:03:21.000]  知道去尋求在你裏面真正永恆的平安
[00:03:21.000 --> 00:03:23.400]  讓更多人亦都在你的面前
[00:03:23.400 --> 00:03:26.200]  得到生命的警覺、警醒
[00:03:26.200 --> 00:03:29.600]  知道尋求屬天的恩惠
[00:03:29.600 --> 00:03:31.000]  主我們仰望你自己
[00:03:31.000 --> 00:03:34.600]  垂顧裏面的很多很多的生命
[00:03:34.600 --> 00:03:37.200]  向他們施恩
[00:03:37.200 --> 00:03:38.800]  因主我們多謝你今天早上
[00:03:38.800 --> 00:03:42.400]  給我們再有機會一齊來思想聖經的說話
[00:03:42.400 --> 00:03:45.000]  我們等候在你的面前
[00:03:45.000 --> 00:03:47.600]  主我們需要祢的道
[00:03:47.600 --> 00:03:49.800]  需要祢自己的天良
[00:03:49.800 --> 00:03:51.000]  上上引導我們
[00:03:51.000 --> 00:03:54.800]  如何來到世上行祢所喜悅的路
[00:03:54.800 --> 00:03:57.600]  叫我們在祢眼前蒙恩
[00:03:57.600 --> 00:04:00.600]  求天父祢再次藉著聖靈
[00:04:00.600 --> 00:04:02.800]  賜下祢自己的恩賢
[00:04:02.800 --> 00:04:05.400]  帶領這一段時間
[00:04:05.400 --> 00:04:06.600]  我們仰望祈禱
[00:04:06.600 --> 00:04:08.800]  奉耶穌基督聖名求
[00:04:08.800 --> 00:04:11.200]  阿門
[00:04:11.200 --> 00:04:12.400]  我請大家揭開聖經
[00:04:12.400 --> 00:04:22.800]  我們剛才讀的哥倫多前書第七章的經文
[00:04:22.800 --> 00:04:24.800]  大家會記得我們在今個季度
[00:04:24.800 --> 00:04:27.000]  有一個特別的題目
[00:04:27.000 --> 00:04:29.800]  「蒙照的人」
[00:04:29.800 --> 00:04:33.800]  我們提及到我們是蒙照作聖徒
[00:04:33.800 --> 00:04:34.800]  不單單說到
[00:04:34.800 --> 00:04:38.000]  上帝將永恆的國度賜給我們
[00:04:38.000 --> 00:04:41.800]  呼召我們進入祂的國度裏面
[00:04:41.800 --> 00:04:45.000]  也同時表達出上帝對我們今天的生活
[00:04:45.000 --> 00:04:48.200]  有各方面的呼召
[00:04:48.200 --> 00:04:50.800]  祂盼望我們能夠按祂的心意
