
[00:00:00.000 --> 00:00:04.000]  中國的首富誰相信你沒有人脈關係
[00:00:04.000 --> 00:00:07.000]  我不相信你光靠走市場的路線
[00:00:07.000 --> 00:00:08.000]  能夠做到這麼大
[00:00:08.000 --> 00:00:11.000]  一定跟某種官員就算不是薄熙來
[00:00:11.000 --> 00:00:13.000]  其他人有人脈關係
[00:00:13.000 --> 00:00:15.000]  因爲在中國大陸大家都知道
[00:00:15.000 --> 00:00:17.000]  什麼資源是最好的資源
[00:00:17.000 --> 00:00:18.000]  就是人脈關係
[00:00:18.000 --> 00:00:21.000]  人際關係本身是種資源
[00:00:21.000 --> 00:00:25.000]  我最近在聽一個弟兄講見證
[00:00:25.000 --> 00:00:27.000]  他因爲在中國大陸生意做得很大
[00:00:27.000 --> 00:00:30.000]  所以他就說其實他當時做生意
[00:00:30.000 --> 00:00:33.000]  突然間有一天做得很大
[00:00:33.000 --> 00:00:37.000]  他說是不知不覺中就發了財
[00:00:37.000 --> 00:00:39.000]  就不是因爲他的管理很好
[00:00:39.000 --> 00:00:41.000]  他的做生意的意念很好
[00:00:41.000 --> 00:00:45.000]  不是就是跟一個對的人掛上鉤了
[00:00:45.000 --> 00:00:47.000]  就是人脈關係掛對了
[00:00:47.000 --> 00:00:50.000]  他說突然間就自己都不知道發生什麼
[00:00:50.000 --> 00:00:51.000]  自己就發了
[00:00:51.000 --> 00:00:54.000]  就突然間人脈關係掛鉤掛對了
[00:00:54.000 --> 00:00:56.000]  突然間就所有政府來的
[00:00:56.000 --> 00:00:58.000]  無論是修橋補路
[00:00:58.000 --> 00:01:00.000]  所有的project他都可以接來做
[00:01:00.000 --> 00:01:02.000]  突然間他說一夜之間
[00:01:02.000 --> 00:01:04.000]  就是幾個億幾個億的生意
[00:01:04.000 --> 00:01:07.000]  他說他自己都不知道發生什麼事
[00:01:07.000 --> 00:01:08.000]  就突然間就變富有了
[00:01:08.000 --> 00:01:11.000]  他說中國很多他身邊有錢人都是這樣子
[00:01:11.000 --> 00:01:13.000]  就是你完全不知道發生什麼事
[00:01:13.000 --> 00:01:15.000]  也不是因爲你很厲害
[00:01:15.000 --> 00:01:18.000]  也不是因爲你真的很有做生意的頭腦
[00:01:18.000 --> 00:01:21.000]  也不是你的公司管理很厲害
[00:01:21.000 --> 00:01:22.000]  就是突然有一天
[00:01:22.000 --> 00:01:24.000]  經過某某人的介紹
[00:01:24.000 --> 00:01:25.000]  你認識了一個人
[00:01:25.000 --> 00:01:26.000]  你掛鉤了
[00:01:26.000 --> 00:01:27.000]  你跟他有了關係
[00:01:27.000 --> 00:01:31.000]  突然間資源就不斷地來不斷地來
[00:01:31.000 --> 00:01:32.000]  那麼在信仰當中
[00:01:32.000 --> 00:01:34.000]  今天我要介紹一個
[00:01:34.000 --> 00:01:36.000]  也是如果你跟他掛鉤了
[00:01:36.000 --> 00:01:37.000]  有人脈關係
[00:01:37.000 --> 00:01:40.000]  你會發現你的資源也是不斷地來
[00:01:40.000 --> 00:01:42.000]  你以爲自己很厲害
[00:01:42.000 --> 00:01:43.000]  你也不是很厲害
[00:01:43.000 --> 00:01:44.000]  突然間你跟他掛鉤了
[00:01:44.000 --> 00:01:46.000]  發現你生命就變得不一樣
[00:01:46.000 --> 00:01:49.000]  在哥羅西書的二章九到十節那邊講了
[00:01:49.000 --> 00:01:50.000]  這個人是誰
[00:01:50.000 --> 00:01:53.000]  他說因爲神本性一切的豐盛
[00:01:53.000 --> 00:01:56.000]  都有形有體地居住在基督裏面
[00:01:56.000 --> 00:01:59.000]  你們在他裏面也得了豐盛
[00:01:59.000 --> 00:02:03.000]  他是各樣執政掌權者的元首
[00:02:03.000 --> 00:02:05.000]  這個人就是耶穌基督
[00:02:05.000 --> 00:02:07.000]  這次經文告訴我們
[00:02:07.000 --> 00:02:09.000]  原來神本性一切的豐盛
[00:02:09.000 --> 00:02:12.000]  我上禮拜跟你聊信仰聊了兩個小時
[00:02:12.000 --> 00:02:13.000]  只是聊一件事
