
[00:00:00.000 --> 00:00:02.000]  這段聖經提到
[00:00:02.000 --> 00:00:05.160]  門徒跟隨了耶穌一段時間
[00:00:05.160 --> 00:00:08.720]  見過耶穌很大的工作
[00:00:08.720 --> 00:00:13.200]  有醫病、趕鬼、征服大自然
[00:00:13.200 --> 00:00:14.880]  講道很大有能力
[00:00:14.880 --> 00:00:17.400]  甚至見到有死人復活
[00:00:17.400 --> 00:00:20.000]  耶穌做了一輪的事
[00:00:20.000 --> 00:00:22.000]  來到這一刻
[00:00:22.000 --> 00:00:26.680]  耶穌可能心裡很想了解一下
[00:00:26.680 --> 00:00:30.640]  很想知道門徒覺得祂是誰
[00:00:30.640 --> 00:00:32.640]  這麼多東西讓你見到
[00:00:32.640 --> 00:00:35.240]  究竟你認識我有多少呢
[00:00:35.240 --> 00:00:38.000]  所以耶穌就問門徒
[00:00:38.000 --> 00:00:41.120]  你們說我是誰呢
[00:00:41.120 --> 00:00:44.400]  他們說了又有施洗約翰
[00:00:44.400 --> 00:00:46.400]  耶利米、又有以利亞
[00:00:46.400 --> 00:00:49.520]  人不跟他說 人的說話
[00:00:49.520 --> 00:00:52.120]  耶穌就說 你說我是誰呢
[00:00:52.120 --> 00:00:54.760]  可能靜了一會
[00:00:54.760 --> 00:00:58.760]  然後彼得就代表門徒說
[00:00:58.760 --> 00:01:03.960]  你是基督 是永生神的兒子
[00:01:03.960 --> 00:01:06.480]  在《馬太福音》第十六章
[00:01:06.480 --> 00:01:08.480]  有個資料是這樣的
[00:01:08.480 --> 00:01:12.040]  耶穌就好像讚彼得一樣
[00:01:12.040 --> 00:01:13.720]  我覺得祂是讚彼得的
[00:01:13.720 --> 00:01:19.160]  祂說 你所說的不是出於血肉指示你的
[00:01:19.160 --> 00:01:21.160]  即是甚麼
[00:01:21.160 --> 00:01:23.640]  簡單說不是你的想法
[00:01:23.640 --> 00:01:27.040]  這不是你自己想出來的
[00:01:27.040 --> 00:01:29.920]  而是父神指示你的
[00:01:29.920 --> 00:01:32.280]  用我們今天這樣說是甚麼
[00:01:32.280 --> 00:01:35.400]  當時是聖靈感動你的
[00:01:35.400 --> 00:01:39.600]  不是出於你一直這樣想而說的
[00:01:39.600 --> 00:01:42.800]  是聖靈感動你然後說出來的
[00:01:42.800 --> 00:01:45.400]  我覺得耶穌是有些喜悅的
[00:01:45.400 --> 00:01:48.240]  只是猜測而已 有些喜悅的
[00:01:48.240 --> 00:01:54.320]  我覺得當門徒知道耶穌的身份之後
[00:01:54.320 --> 00:01:57.600]  耶穌就再說多一點給你聽
[00:01:57.600 --> 00:02:00.720]  如果還不知道的時候可能是不說的
[00:02:00.720 --> 00:02:02.720]  在《馬太福音》第十六章
[00:02:02.720 --> 00:02:04.720]  又再說了耶穌
[00:02:04.720 --> 00:02:06.720]  耶穌就說甚麼
[00:02:06.720 --> 00:02:10.560]  我要建立教會 跟著說
[00:02:10.560 --> 00:02:12.240]  要建立教會
[00:02:12.240 --> 00:02:15.480]  這個盤石就是指耶穌基督自己
[00:02:15.480 --> 00:02:17.120]  要建立一個教會
[00:02:17.120 --> 00:02:20.040]  這個教會是惡勢力
[00:02:20.040 --> 00:02:24.240]  陰間的權柄是不可以將它打倒的
[00:02:24.240 --> 00:02:27.560]  我們現在知道整個教會在地上
[00:02:27.560 --> 00:02:28.880]  都不會的
[00:02:28.880 --> 00:02:32.040]  將來天神的國度都在當中
[00:02:32.040 --> 00:02:35.240]  而又說到你們門徒
[00:02:35.240 --> 00:02:37.240]  其實就是這個教會的甚麼
[00:02:37.240 --> 00:02:39.240]  就是抓事人
[00:02:39.240 --> 00:02:41.960]  你釋放的就釋放
[00:02:41.960 --> 00:02:43.960]  你不釋放的就不釋放
[00:02:43.960 --> 00:02:47.560]  說了這樣的權柄 告訴門徒
[00:02:47.560 --> 00:02:51.200]  將來我建立的教會
[00:02:51.200 --> 00:02:57.520]  是你們去看管和工作的
[00:02:57.520 --> 00:03:03.720]  接著耶穌就不是很想其他人知道
[00:03:03.720 --> 00:03:06.960]  就叫門徒不要說祂的身份出去
[00:03:06.960 --> 00:03:09.360]  也不要說這些事情出去
