
[00:00:00.000 --> 00:00:06.000]  今天我們來到我們的講道系列Live Church的講道系列最後一堂了
[00:00:06.000 --> 00:00:08.000]  那麼我們會讀一段的聖經
[00:00:08.000 --> 00:00:10.000]  那麼這段聖經會告訴我們
[00:00:10.000 --> 00:00:14.000]  在保羅寫信給已父所教會的一封書信裡面
[00:00:14.000 --> 00:00:18.000]  到末了的時候他給我們有些什麼樣的提醒
[00:00:18.000 --> 00:00:22.000]  那麼從這些提醒裡面我們也能夠學到一點功課
[00:00:22.000 --> 00:00:25.000]  我們第一個提醒是提醒我們說
[00:00:25.000 --> 00:00:27.000]  我們要成為一間教會要見證福音的時候
[00:00:27.000 --> 00:00:29.000]  我們遇到很多的障礙
[00:00:29.000 --> 00:00:32.000]  那到底這個障礙是什麼我們需要了解
[00:00:32.000 --> 00:00:35.000]  我們真正需要對付的敵人是誰
[00:00:35.000 --> 00:00:38.000]  那麼已父所說的六章十到十三節
[00:00:38.000 --> 00:00:40.000]  我讀給大家聽好不好
[00:00:40.000 --> 00:00:41.000]  最後的話
[00:00:41.000 --> 00:00:43.000]  這是保羅寫給一間教會的書信
[00:00:43.000 --> 00:00:45.000]  他末了的時候他這樣說
[00:00:45.000 --> 00:00:47.000]  他說我還有末了的話
[00:00:47.000 --> 00:00:50.000]  他說你們要靠著主依靠祂的大能大力
[00:00:50.000 --> 00:00:52.000]  做剛強的人
[00:00:52.000 --> 00:00:55.000]  要穿戴上帝所賜的全副軍裝
[00:00:55.000 --> 00:00:58.000]  就能抵擋魔鬼的詭計
[00:00:58.000 --> 00:01:01.000]  我們不是與屬血氣的征戰
[00:01:01.000 --> 00:01:04.000]  乃是與那些執政的掌權的
[00:01:04.000 --> 00:01:07.000]  管轄這幽暗世界的
[00:01:07.000 --> 00:01:10.000]  以及天空屬靈氣的惡魔征戰
[00:01:10.000 --> 00:01:14.000]  所以要拿起上帝所賜的全副軍裝
[00:01:14.000 --> 00:01:17.000]  好在磨爛的日子抵抗仇敵
[00:01:17.000 --> 00:01:22.000]  並且成就了一切還能站立的住
[00:01:22.000 --> 00:01:25.000]  所以第一點這段經文給我們的提醒是
[00:01:25.000 --> 00:01:28.000]  當我們成立一間教會
[00:01:28.000 --> 00:01:31.000]  就是大家一群信主的人聚在一起
[00:01:31.000 --> 00:01:33.000]  我們需要完成神給我們的使命
[00:01:33.000 --> 00:01:36.000]  在完成使命當中我們會遇到的障礙
[00:01:36.000 --> 00:01:38.000]  我們要對付一些敵人
[00:01:38.000 --> 00:01:43.000]  可是我們對付的人不是我們看到的肉身的敵人
[00:01:43.000 --> 00:01:46.000]  而是我們看不到的屬靈的征戰
[00:01:46.000 --> 00:01:50.000]  那麼這方面基督徒比較少聽到類似這樣的信息
[00:01:50.000 --> 00:01:53.000]  有時候我們以為我們打仗的方式
[00:01:53.000 --> 00:01:55.000]  就是我們與旁邊的人打仗
