
[00:00:00.000 --> 00:00:02.240]  在這裏我們一起再次透過禱告
[00:00:02.240 --> 00:00:03.640]  預備我們新心靈
[00:00:03.640 --> 00:00:05.820]  能夠聆聽主的說話
[00:00:05.820 --> 00:00:09.400]  讓我們一起同心抵禱禱告
[00:00:09.400 --> 00:00:10.600]  慈悲的天父多謝你
[00:00:10.600 --> 00:00:12.220]  讓我們能夠再次回來
[00:00:12.220 --> 00:00:16.120]  在你的話語上面去認識你
[00:00:16.120 --> 00:00:19.740]  讓你的啟示能夠成為我們在人生
[00:00:19.740 --> 00:00:22.800]  甚至我們屬靈生命的成長過程
[00:00:22.800 --> 00:00:25.440]  不斷地得到餵養的來源
[00:00:25.440 --> 00:00:27.440]  求你再一次幫助我們
[00:00:27.440 --> 00:00:30.580]  讓我們在今天這個崇拜的時間
[00:00:30.580 --> 00:00:32.760]  同心打開主你的說話
[00:00:32.760 --> 00:00:36.860]  讓我們能夠真是清楚領受當中的教訓
[00:00:36.860 --> 00:00:39.240]  讓我們明白主你的心思意念
[00:00:39.240 --> 00:00:40.600]  我們同心的禱告
[00:00:40.600 --> 00:00:44.240]  奉靠主耶穌基督得勝的名字而求
[00:00:44.240 --> 00:00:47.020]  阿門
[00:00:47.020 --> 00:00:49.640]  今天跟大家一起去分享的經文
[00:00:49.640 --> 00:00:51.720]  或者一起去思考的經文
[00:00:51.720 --> 00:00:54.340]  就是出自於《馬太福音》
[00:00:54.340 --> 00:00:57.500]  第六章第一至第四節
[00:00:57.500 --> 00:00:59.720]  也是登山補訓
[00:00:59.720 --> 00:01:02.520]  我們可以進入第二個的部分
[00:01:02.520 --> 00:01:06.480]  也是耶穌進入一個很主要的討論的題目
[00:01:06.480 --> 00:01:08.800]  的一連串的開首
[00:01:08.800 --> 00:01:12.520]  就是談論到有關於在猶太人當中
[00:01:12.520 --> 00:01:16.620]  三個重要的宗教活動的其中一樣東西
[00:01:16.620 --> 00:01:19.060]  就是論施捨
[00:01:19.060 --> 00:01:23.760]  讓我們在聆聽這段經文以前
[00:01:23.760 --> 00:01:26.580]  不如我們再次打開這段經文讀一次
[00:01:26.580 --> 00:01:30.180]  很想我們能夠首先熟悉經文的內容
[00:01:30.180 --> 00:01:33.760]  讓我們一起打開《馬太福音》第六章
[00:01:33.760 --> 00:01:36.340]  第一至第四節
[00:01:36.340 --> 00:01:40.480]  我們會一起以和合本的聖經一起去讀
[00:01:40.480 --> 00:01:42.580]  如果你是用英語聖經的話
[00:01:42.580 --> 00:01:44.480]  可以跟隨螢光屏上面
[00:01:44.480 --> 00:01:46.240]  或者你手上的聖經
[00:01:46.240 --> 00:01:48.980]  我們一起去看這段經文
[00:01:48.980 --> 00:01:50.520]  好,我們一起打開之後
[00:01:50.520 --> 00:01:53.220]  我們一起先讀一次,好不好?
[00:01:53.220 --> 00:01:56.560]  《馬太福音》第六章一至第四節
[00:01:56.560 --> 00:01:58.440]  「你們要小心
[00:01:58.440 --> 00:02:02.940]  不可將善行行在人的面前
[00:02:02.940 --> 00:02:06.020]  故意叫他們看見
[00:02:06.020 --> 00:02:07.680]  若是這樣
[00:02:07.680 --> 00:02:12.540]  就不能得你們天賦的賞賜了
[00:02:12.540 --> 00:02:15.520]  所以你施捨的時候
[00:02:15.520 --> 00:02:18.700]  不可在你面前吹號
[00:02:18.700 --> 00:02:22.300]  將那假冒為善的人
[00:02:22.300 --> 00:02:26.280]  在會堂裡和街道上所行的
[00:02:26.280 --> 00:02:29.780]  故意要得人的榮耀
[00:02:29.780 --> 00:02:32.340]  我實在告訴你們
[00:02:32.340 --> 00:02:36.080]  他們已經得了他們的賞賜
[00:02:36.080 --> 00:02:38.200]  你施捨的時候
[00:02:38.200 --> 00:02:42.540]  不要叫左手知道右手所做的
[00:02:42.540 --> 00:02:46.880]  要叫你施捨的是行在暗中
[00:02:46.880 --> 00:02:54.360]  你負在暗中察看,必然報答你。」
[00:02:54.360 --> 00:02:57.980]  如果我們將《馬太福音》
[00:02:57.980 --> 00:03:03.540]  按照一種道德教化的宗旨來解釋的話
[00:03:03.540 --> 00:03:08.180]  其實很多人會很容易將《馬太福音》解釋完
[00:03:08.180 --> 00:03:14.640]  好像我們平時一些道德教導的課題
[00:03:14.640 --> 00:03:16.260]  但是如果我們這樣做
[00:03:16.260 --> 00:03:20.300]  亦會同時很容易讓我們失去了
[00:03:20.300 --> 00:03:24.620]  原本耶穌基督在他這篇講章裡
[00:03:24.620 --> 00:03:28.540]  原本所應說的內容要旨
[00:03:28.540 --> 00:03:32.320]  今天我們所看的《馬太福音》第六章
[00:03:32.320 --> 00:03:34.000]  第一至第四節
[00:03:34.000 --> 00:03:36.620]  就是一個最好的例子
[00:03:36.620 --> 00:03:38.140]  因為很多時候
[00:03:38.140 --> 00:03:41.500]  不少的傳道人甚至牧師
[00:03:41.500 --> 00:03:43.680]  侍奉了主很多年的
[00:03:43.680 --> 00:03:48.260]  他們都很喜歡將這段經文灌上一個標題
[00:03:48.260 --> 00:03:51.800]  亦都在和合本的聖經譯本上用了
[00:03:51.800 --> 00:03:54.440]  就叫做《論施捨》
[00:03:54.440 --> 00:03:59.480]  甚至他們利用這段經文來教導今天的信徒
[00:03:59.480 --> 00:04:01.160]  怎樣藉著這段聖經
[00:04:01.160 --> 00:04:05.340]  我們學會做一個低調的慈善家
[00:04:05.340 --> 00:04:06.340]  你或者說
[00:04:06.340 --> 00:04:07.760]  我還沒到這麼高級
