
[00:00:00.000 --> 00:00:01.800]  在臨近聖誕的時候
[00:00:01.800 --> 00:00:06.600]  我就很想跟大家回顧二千多年前
[00:00:06.600 --> 00:00:10.100]  那幾位博士
[00:00:10.100 --> 00:00:12.300]  剛才我們讀到聖經的那幾位博士
[00:00:12.300 --> 00:00:15.200]  他們都經歷了一個尋道之旅
[00:00:15.200 --> 00:00:17.700]  其實在當中他們的旅程
[00:00:17.700 --> 00:00:20.700]  其實都是一條很遙遠的旅程
[00:00:20.700 --> 00:00:23.800]  在過程裏面都經歷艱辛
[00:00:23.800 --> 00:00:26.000]  但只要他們肯去尋訪
[00:00:26.000 --> 00:00:31.800]  尋訪他們那顆心中的明星 光明的星的時候
[00:00:31.800 --> 00:00:34.300]  正如耶穌說過
[00:00:34.300 --> 00:00:36.700]  尋找的就要尋見
[00:00:36.700 --> 00:00:39.300]  叩門的就一定給你開門
[00:00:39.300 --> 00:00:42.500]  他們真是尋著基督耶穌最終
[00:00:42.500 --> 00:00:44.900]  我想我們藉著這幾位博士
[00:00:44.900 --> 00:00:47.500]  我們都嘗試跟隨他們的腳踪
[00:00:47.500 --> 00:00:52.800]  去看看究竟我們怎樣可以尋到基督
[00:00:52.800 --> 00:00:55.900]  在我們真正的心中 好嗎
[00:00:55.900 --> 00:01:01.500]  我們再次看看那段經文 好嗎
[00:01:01.500 --> 00:01:03.000]  同一段經文
[00:01:03.000 --> 00:01:09.400]  你們剛才的分譯本和合本一模一樣
[00:01:09.400 --> 00:01:12.500]  第一方面
[00:01:12.500 --> 00:01:14.500]  你看到那幾位博士
[00:01:14.500 --> 00:01:21.100]  他們知道有一個救世主基督
[00:01:21.100 --> 00:01:24.400]  是他們一直所渴求的
[00:01:24.400 --> 00:01:28.500]  來拯救以色列的一個君王
[00:01:28.500 --> 00:01:32.200]  他們很想尋獲這個基督救主
[00:01:32.200 --> 00:01:35.300]  所以你看到博士第一件事
[00:01:35.300 --> 00:01:41.300]  他們就由東方來到耶路撒冷
[00:01:41.300 --> 00:01:47.700]  第一方面他們來到耶路撒冷
[00:01:47.700 --> 00:01:50.300]  這幾位博士從東方
[00:01:50.300 --> 00:01:53.700]  聖經告訴他們是馬代波斯這個地方
[00:01:53.700 --> 00:01:58.400]  他們一直千里迢迢來到耶路撒冷
[00:01:58.400 --> 00:02:00.600]  他們想尋找基督
[00:02:00.600 --> 00:02:02.200]  但如果他們想尋找的時候
[00:02:02.200 --> 00:02:06.000]  就必須一定要肯來
[00:02:06.000 --> 00:02:09.000]  如果他們知道不肯來就太多餘了
[00:02:09.000 --> 00:02:10.800]  他們要肯來
[00:02:10.800 --> 00:02:14.500]  肯來的意思是他們心裏有很大的渴求
[00:02:14.500 --> 00:02:17.100]  他們很想積極回應
[00:02:17.100 --> 00:02:18.600]  要很有目標的
[00:02:18.600 --> 00:02:19.700]  不怕艱辛的
[00:02:19.700 --> 00:02:22.800]  都要達到他們想要的目的
[00:02:22.800 --> 00:02:24.600]  這個就是肯來
[00:02:24.600 --> 00:02:26.200]  我們其實都很明白的
[00:02:26.200 --> 00:02:28.400]  因為如果你很想做某件事
[00:02:28.400 --> 00:02:31.400]  很想去吃大餐
[00:02:31.400 --> 00:02:35.000]  那你沒有理由都會說有理由的
[00:02:35.000 --> 00:02:38.900]  沒有時間你都會說我是有時間的
[00:02:38.900 --> 00:02:41.900]  肯來就令到這幾位博士
[00:02:41.900 --> 00:02:44.800]  他們來到耶路撒冷的伯利恆
[00:02:44.800 --> 00:02:46.300]  聖經告訴他們
[00:02:46.300 --> 00:02:49.000]  他們是博士
[00:02:49.000 --> 00:02:50.900]  是一個懂星象的人
[00:02:50.900 --> 00:02:52.700]  是有學問有地位
[00:02:52.700 --> 00:02:54.500]  你可以說有人說
[00:02:54.500 --> 00:02:58.000]  其實這幾位博士可能是東方的幾個王
[00:02:58.000 --> 00:03:01.500]  是很有尊榮很有地位的
[00:03:01.500 --> 00:03:03.900]  但已經無從稽考了
[00:03:03.900 --> 00:03:07.100]  但無論怎樣
[00:03:07.100 --> 00:03:08.500]  你會看到
[00:03:08.500 --> 00:03:12.400]  只要他們想找那個需要的救主的話
[00:03:12.400 --> 00:03:15.600]  他們就很肯擺下他們的身份
[00:03:15.600 --> 00:03:17.600]  他們的地位
[00:03:17.600 --> 00:03:19.300]  擺下他們的權勢
[00:03:19.300 --> 00:03:21.800]  擺下他們牽掛的很多的事
[00:03:21.800 --> 00:03:24.400]  他們就向著基督而來
[00:03:24.400 --> 00:03:28.800]  經歷了一路的沙漠地帶
[00:03:28.800 --> 00:03:31.100]  經過很多的障礙艱苦
[00:03:31.100 --> 00:03:34.800]  他們都體會至淡至輕的痛苦
[00:03:34.800 --> 00:03:38.400]  以致他們達到他們的目的地
[00:03:38.400 --> 00:03:40.300]  向著他們的標竿來直跑
[00:03:40.300 --> 00:03:42.700]  他們終於可以找到
[00:03:42.700 --> 00:03:46.500]  他們一路來到前行是靠什麼來走的呢
[00:03:46.500 --> 00:03:47.700]  聖經告訴他們
[00:03:47.700 --> 00:03:51.900]  是有一顆明星一顆很光明的星
[00:03:51.900 --> 00:03:55.300]  所以你看到不是一個普通的人帶著他們前行
[00:03:55.300 --> 00:03:57.200]  是一顆光明的星
[00:03:57.200 --> 00:04:02.800]  原來在古代近東的世界裏面
[00:04:02.800 --> 00:04:08.100]  他們被認為星是象徵著君王的
[00:04:08.100 --> 00:04:12.200]  所以其實這幾位博士他們很清楚知道
[00:04:12.200 --> 00:04:16.500]  有一位君王必然會誕生
[00:04:16.500 --> 00:04:19.800]  聖經文述記二十四章那裏說過一件事
[00:04:19.800 --> 00:04:23.100]  他說有一顆星是出於以色列
[00:04:23.100 --> 00:04:25.800]  所以那幾位博士他們知道
[00:04:25.800 --> 00:04:28.900]  有一個君王會由以色列而出
[00:04:28.900 --> 00:04:30.500]  所以他們就隨著這顆星
[00:04:30.500 --> 00:04:32.600]  他們一定要找到這個君王
[00:04:32.600 --> 00:04:35.800]  他們一直所渴望期待那位
[00:04:35.800 --> 00:04:40.100]  能夠救他們以色列國家的一個君王
[00:04:40.100 --> 00:04:41.100]  找到他
[00:04:41.100 --> 00:04:43.600]  其實他們不單找到一個
[00:04:43.600 --> 00:04:47.400]  能夠救一個政治上地域上的一個君王
[00:04:47.400 --> 00:04:48.900]  而他們要去找的
[00:04:48.900 --> 00:04:53.400]  就是那位能夠救世的一個救世主
[00:04:53.400 --> 00:05:00.600]  叫他們來經歷人生那份真正的和平
[00:05:00.600 --> 00:05:03.900]  啟示錄二十二章十六節也說得很清楚
[00:05:03.900 --> 00:05:11.200]  其實明顯是說到耶穌基督就是那個明亮的神星
[00:05:11.200 --> 00:05:17.400]  這幾位博士就是隨著他的星來到伯利行
[00:05:17.400 --> 00:05:21.500]  元夜很多時候都會有黑暗的時期
[00:05:21.500 --> 00:05:24.900]  但是他的星是永遠都明亮的
[00:05:24.900 --> 00:05:27.800]  只要博士跟著這顆星的時候
[00:05:27.800 --> 00:05:30.900]  他們就會有方向
[00:05:30.900 --> 00:05:33.800]  只要他們肯跟著這顆星去前行的時候
[00:05:33.800 --> 00:05:36.100]  他就不會走錯路
[00:05:36.100 --> 00:05:38.400]  只要他們看著這個目標
[00:05:38.400 --> 00:05:43.600]  甚至這顆星來到是最終帶給他們有生命的喜悅
[00:05:43.600 --> 00:05:46.200]  因為在第十節那裡說到
[00:05:46.200 --> 00:05:48.500]  這幾位博士一找到那顆星
