
[00:00:00.000 --> 00:00:04.000]  我今日想同大家睇約白第一章至第二章
[00:00:04.000 --> 00:00:06.000]  佢係屬於散文體
[00:00:06.000 --> 00:00:10.000]  另外四十二章七至十七亦屬於散文體
[00:00:10.000 --> 00:00:12.000]  中間係一個詩歌題材
[00:00:12.000 --> 00:00:14.000]  所以今日想同大家睇
[00:00:14.000 --> 00:00:16.000]  頭一二章同埋最後一章裏面
[00:00:16.000 --> 00:00:20.000]  係一個散文體嘅題材裏面
[00:00:20.000 --> 00:00:24.000]  約白所呈現嘅約白係一個點樣樣
[00:00:24.000 --> 00:00:27.000]  中間裏面係約白同佢三個朋友裏面一個辯論
[00:00:27.000 --> 00:00:31.000]  後來有倚利戶嘅對話同埋上帝嘅回應
[00:00:31.000 --> 00:00:33.000]  歌呢都係表達緊對
[00:00:33.000 --> 00:00:35.000]  點解約白有呢種嘅苦
[00:00:35.000 --> 00:00:39.000]  嗰種嘅回應係表達係裏面
[00:00:39.000 --> 00:00:44.000]  一般人呢當遇到苦難嘅情況
[00:00:44.000 --> 00:00:48.000]  無論你係患重病呀意外呀
[00:00:48.000 --> 00:00:52.000]  最近呢有個新聞就有一對夫婦因為個升降機升到頂呀
[00:00:52.000 --> 00:00:55.000]  撞到呀以至呢就受傷入院
[00:00:55.000 --> 00:00:57.000]  有時好無奈突然間發生咁嘅事
[00:00:57.000 --> 00:01:00.000]  我哋都會好悲痛嘅咁問點解呀
[00:01:00.000 --> 00:01:04.000]  點解發生係我身上點解偏偏係我㗎咁樣
[00:01:04.000 --> 00:01:07.000]  當然呢個問題問出嚟嘅時候都可以表達到一種內心裏面
[00:01:07.000 --> 00:01:09.000]  嗰種嘅悲痛嗰種嘅情緒
[00:01:09.000 --> 00:01:12.000]  但係呢其實都想知道少少一啲嘅原因
[00:01:12.000 --> 00:01:15.000]  雖然我知道個原因唔等於我哋呢唔痛嘅都會繼續痛
[00:01:15.000 --> 00:01:17.000]  不過知道咗呢個原因嘅時候呢
