
[00:00:00.000 --> 00:00:03.000]  好多謝青少年的群體為我們獻唱
[00:00:03.000 --> 00:00:06.000]  聽完之後覺得自己都年輕了嗎
[00:00:06.000 --> 00:00:09.000]  今天是青少年主日
[00:00:09.000 --> 00:00:14.000]  青少年即是什麼年齡呢
[00:00:14.000 --> 00:00:18.000]  我自己都經常被人問這個問題
[00:00:18.000 --> 00:00:21.000]  上年我有個兒子
[00:00:21.000 --> 00:00:24.000]  上年我兒子我要跟他溫書
[00:00:24.000 --> 00:00:28.000]  這個是不可以脫離的責任
[00:00:28.000 --> 00:00:32.000]  他常識科今年特別興奮
[00:00:32.000 --> 00:00:35.000]  因為他剛剛那年
[00:00:35.000 --> 00:00:42.000]  上年常識科有一課叫青春期的生理變化
[00:00:42.000 --> 00:00:44.000]  不要講給你聽
[00:00:44.000 --> 00:00:48.000]  那裏有講青少年究竟是多少歲呢
[00:00:48.000 --> 00:00:52.000]  原來青少年是十一到十九歲
[00:00:52.000 --> 00:00:57.000]  他說爸爸我現在就是青少年
[00:00:57.000 --> 00:01:01.000]  我的妹就是兒童
[00:01:01.000 --> 00:01:05.000]  你呢我就是老人家
[00:01:05.000 --> 00:01:13.000]  所以青少年可能在世衛都是十一至十九歲
[00:01:13.000 --> 00:01:16.000]  如果這樣講對於我們來說
[00:01:16.000 --> 00:01:19.000]  我們是一個不太好的消息
[00:01:19.000 --> 00:01:23.000]  當然在座有很多人都是青少年的年紀
[00:01:23.000 --> 00:01:25.000]  其實這樣看是不對的
[00:01:25.000 --> 00:01:30.000]  如果看古代青少年究竟是多少歲
[00:01:30.000 --> 00:01:36.000]  青少年這個字來自古代那個字究竟是多少歲
[00:01:36.000 --> 00:01:41.000]  原來就是十五至到三十歲
[00:01:41.000 --> 00:01:43.000]  叫做前青少年
[00:01:43.000 --> 00:01:46.000]  三十一至到四十五歲
[00:01:46.000 --> 00:01:49.000]  慢車邊都叫做青少年
[00:01:49.000 --> 00:01:55.000]  而四十五歲至到六十歲都是成年沒多久
[00:01:55.000 --> 00:01:59.000]  所以如果你在座六十歲多少少的話
[00:01:59.000 --> 00:02:02.000]  其實都是很年輕
[00:02:02.000 --> 00:02:03.000]  我不是講笑的
[00:02:03.000 --> 00:02:04.000]  為什麼呢
[00:02:04.000 --> 00:02:08.000]  因為青少年他們怎樣定為青少年
[00:02:08.000 --> 00:02:12.000]  就是趨向完全趨向成熟
[00:02:12.000 --> 00:02:15.000]  這個就是青少年的特徵
[00:02:15.000 --> 00:02:19.000]  你看看在我們教會傳統
[00:02:19.000 --> 00:02:23.000]  一個最完美的身體是多少歲呢
[00:02:23.000 --> 00:02:27.000]  就是三十三歲耶穌復活的身體
[00:02:27.000 --> 00:02:29.000]  我不是亂講的
[00:02:29.000 --> 00:02:31.000]  所以如果你還沒到三十三歲
[00:02:31.000 --> 00:02:33.000]  你應該為自己感恩
[00:02:33.000 --> 00:02:35.000]  因為你趨向成熟
