
[00:00:00.000 --> 00:00:07.000]  《錄音》或《錄影》的版權是屬於基督教宣導會不各堂所有
[00:00:07.000 --> 00:00:11.000]  我們的屬靈傳統之一是以真理教導為本
[00:00:11.000 --> 00:00:15.000]  歡迎您將此《錄音》或《錄影》的連結傳給親友
[00:00:15.000 --> 00:00:21.000]  懇請注意,未經授權請勿轉錄或剪輯本《錄音》或《錄影》
[00:00:21.000 --> 00:00:26.000]  甚願好似《使徒行傳》二十章三十二節下所講
[00:00:26.000 --> 00:00:33.000]  這道能建立你們,叫你們和一切誠誠的人同得基業
[00:00:56.000 --> 00:01:04.000]  我們會詳盡講解,可以見到「真言對犯淫亂」這個課題看得很重要
[00:01:04.000 --> 00:01:09.000]  讓我們在聆聽聖經的話語之先,我們先一齊低頭有祈禱
[00:01:09.000 --> 00:01:19.000]  七因主,我們將到以下這個時間都交上給你
[00:01:19.000 --> 00:01:25.000]  願意你與我們同在,幫助我們去聆聽你的話
[00:01:25.000 --> 00:01:30.000]  求主你幫助我們,讓我們心門真的去打開
[00:01:30.000 --> 00:01:34.000]  能夠切切實實去聽到你的說話
[00:01:34.000 --> 00:01:38.000]  亦都在生活當中去進行,去謹守
[00:01:38.000 --> 00:01:42.000]  願主你幫助,願聖靈你同在
[00:01:42.000 --> 00:01:47.000]  我們這樣祈禱,交託奉主耶穌基督的名求,阿們
[00:01:47.000 --> 00:01:51.000]  都好想大家去打開同樣的聖經
[00:01:51.000 --> 00:01:55.000]  我們今日的經文是在「真言」的第六章
[00:01:55.000 --> 00:02:00.000]  經文其實比較長,經文的第六章和第七章
[00:02:00.000 --> 00:02:04.000]  大家如果有唐人聖經都可以去打開看一看
[00:02:04.000 --> 00:02:10.000]  一開始第一節講到
[00:02:10.000 --> 00:02:18.000]  「我兒,要遵守你父親的命令,不可離棄你母親的教誨」
[00:02:18.000 --> 00:02:20.000]  在六章二十節的經文
[00:02:20.000 --> 00:02:24.000]  其實是一個我們比較熟悉的宣誡
[00:02:24.000 --> 00:02:26.000]  大家如果一路看「真言」的時候
[00:02:26.000 --> 00:02:29.000]  會發覺好像有點熟悉
[00:02:29.000 --> 00:02:32.000]  原來開始的時候,在「真言」第一章
[00:02:32.000 --> 00:02:35.000]  已經有類似的經文
[00:02:35.000 --> 00:02:37.000]  但是你仔細去看的時候
[00:02:37.000 --> 00:02:41.000]  動詞是轉變了,去用了「遵守」
[00:02:41.000 --> 00:02:44.000]  去用了「遵守」這個字
[00:02:44.000 --> 00:02:47.000]  意思更加是去謹守
[00:02:47.000 --> 00:02:50.000]  要小心翼翼去遵行
[00:02:50.000 --> 00:02:54.000]  用這個詞代表程度提高了
[00:02:54.000 --> 00:02:57.000]  要我們留心去遵守誡命
[00:02:57.000 --> 00:02:59.000]  遵守甚麼的命令呢?
[00:02:59.000 --> 00:03:04.000]  其實整個大段落是在講犯淫亂的罪
[00:03:04.000 --> 00:03:07.000]  是婚姻以外的性關係
[00:03:07.000 --> 00:03:11.000]  要遵守就是不去行淫亂這個命令
[00:03:11.000 --> 00:03:17.000]  而其實這個詞「遵守」和第二十節,即後幾節
[00:03:17.000 --> 00:03:19.000]  你看到聖經那裡看到
[00:03:19.000 --> 00:03:23.000]  後幾節「保護」這個字其實是有接近的意思
[00:03:23.000 --> 00:03:28.000]  其實英文的翻譯可以用guard字這個字
[00:03:28.000 --> 00:03:31.000]  同一樣的字去形譯這兩個字
[00:03:31.000 --> 00:03:37.000]  這裡是有講要去保護你遠離邪惡的婦女
[00:03:37.000 --> 00:03:41.000]  原來經文是想連在一起去看
[00:03:41.000 --> 00:03:45.000]  即是當我們二十節那裡說
[00:03:45.000 --> 00:03:48.000]  我們切切實實去守住誡命的時候
[00:03:48.000 --> 00:03:53.000]  這個誡命,這個命令就去保守你
[00:03:53.000 --> 00:03:56.000]  去保護你遠離邪惡
[00:03:56.000 --> 00:04:01.000]  免你去禍患不用承擔罪的惡果
[00:04:01.000 --> 00:04:06.000]  很清楚其實神想我們去遵守誡命的最大目的
[00:04:06.000 --> 00:04:12.000]  最大的目的是想去保護,去保守我們
[00:04:12.000 --> 00:04:17.000]  就是這裡六章二十至二十四節成為一個段落
[00:04:17.000 --> 00:04:19.000]  但其實今天講到的經文
[00:04:19.000 --> 00:04:24.000]  在後面有同樣一個差不多的段落
[00:04:24.000 --> 00:04:28.000]  就是七章第一至五節
[00:04:28.000 --> 00:04:31.000]  這裡是另一個平衡的段落
[00:04:31.000 --> 00:04:35.000]  它都是以遵守神的誡命言語
[00:04:35.000 --> 00:04:42.000]  以誡命去保護你遠離這些惡事、惡人
[00:04:42.000 --> 00:04:46.000]  一頭一尾括著另外一個段落
[00:04:46.000 --> 00:04:49.000]  我們先去集中看看這兩個段落
[00:04:49.000 --> 00:04:54.000]  經文提到我們應該怎樣去對待這個誡命呢?
[00:04:54.000 --> 00:04:56.000]  有兩句都是提到
[00:04:56.000 --> 00:05:02.000]  我們要將這個誡命,就是神的教訓放在心上
[00:05:02.000 --> 00:05:06.000]  要牢記的,記實神的教訓誡命
[00:05:06.000 --> 00:05:10.000]  而另一句呢,它說刻在你的心板上
[00:05:10.000 --> 00:05:14.000]  意思都是類似的,背的,要去記的
[00:05:14.000 --> 00:05:19.000]  縱管純粹在腦裏面在回想著神的命令誡命
[00:05:19.000 --> 00:05:24.000]  神的誡命就可以不斷在心裏面、腦裏面出現
[00:05:24.000 --> 00:05:28.000]  就可以達到神要去達到的目的
[00:05:28.000 --> 00:05:33.000]  就是真正去保守、保護我們遠離邪惡
[00:05:33.000 --> 00:05:40.000]  其實現在這個世代,將一些東西記實、牢記
[00:05:40.000 --> 00:05:44.000]  已經不是一件很自然會去做的事了
[00:05:44.000 --> 00:05:46.000]  大家同不同意嗎?
[00:05:46.000 --> 00:05:49.000]  因為實在太方便了
[00:05:49.000 --> 00:05:52.000]  實在太方便,我自己都要悔改
[00:05:52.000 --> 00:05:56.000]  自從有網絡,甚至AI
[00:05:56.000 --> 00:06:00.000]  只要你按一個按鈕,東西就全部出來了
[00:06:00.000 --> 00:06:03.000]  你要找的資料,你要找的經文
[00:06:03.000 --> 00:06:08.000]  不同的版本、語言、余文,網上一應俱全
[00:06:08.000 --> 00:06:12.000]  自然而然,你去背誦經文、傳記在心裏
[00:06:12.000 --> 00:06:15.000]  就會少做了
[00:06:15.000 --> 00:06:19.000]  這樣的話,其實神怎能夠透過你所學過
[00:06:19.000 --> 00:06:23.000]  去默想過、你記得過的經文
[00:06:23.000 --> 00:06:29.000]  去在你重要的時刻、重要的關頭去提醒我們呢?
[00:06:29.000 --> 00:06:34.000]  所有這些我們即時可能在網上找到的經文
[00:06:34.000 --> 00:06:38.000]  其實仍然在外面的,不是屬於你的
[00:06:38.000 --> 00:06:41.000]  不是在我們的心裏面
[00:06:41.000 --> 00:06:43.000]  我們真的要做回應該做的
[00:06:43.000 --> 00:06:49.000]  不時背誦經文,重複地去看
[00:06:49.000 --> 00:06:56.000]  我們要刻意去做,傳記在心,聖言在心
[00:06:56.000 --> 00:07:01.000]  神知道我們不容易將這些誡命傳記在心上
