
[00:00:00.000 --> 00:00:02.000]  一起用同心的禱告
[00:00:30.000 --> 00:00:34.000]  聽我們的禱告 奉教和救主 耶穌基督 保衛性命去求 阿們
[00:01:00.000 --> 00:01:03.000]  一方面有老師的愛惜 確實不錯
[00:01:03.000 --> 00:01:06.000]  與此同時 要特別檢點一些
[00:01:06.000 --> 00:01:11.000]  我寫的是模範生 出錯了就很丟架
[00:01:11.000 --> 00:01:16.000]  我很深刻印象 有一次我都一起犯規受罰
[00:01:16.000 --> 00:01:20.000]  一次那麼多 所以我幾十年都還記得很清楚
[00:01:20.000 --> 00:01:23.000]  那時候我們小息在操場 可以下去操場
[00:01:23.000 --> 00:01:27.000]  但學校有校規 你不可以離開學校的範圍
[00:01:27.000 --> 00:01:32.000]  那天在外面有一輛很特別的零食車
[00:01:32.000 --> 00:01:35.000]  它停泊不遠 剛好在學校門口外邊
[00:01:35.000 --> 00:01:39.000]  有幾個同學 因為不像在學校外邊
[00:01:39.000 --> 00:01:44.000]  但都走了出去 幾個同學走了出去看那輛零食車
[00:01:44.000 --> 00:01:46.000]  我其實不是想看那輛零食車
[00:01:46.000 --> 00:01:50.000]  我以為我做班長 走出去看看他們幾個做什麼
[00:01:50.000 --> 00:01:52.000]  結果跟著走出去
[00:01:52.000 --> 00:01:57.000]  結果一起被老師抓回來 一起受罰
[00:01:57.000 --> 00:02:00.000]  罰站在哪裡呢
[00:02:00.000 --> 00:02:06.000]  學校禮堂課室有兩條樓梯上去
[00:02:06.000 --> 00:02:11.000]  樓梯中間有牆 站在牆上排排站
[00:02:11.000 --> 00:02:15.000]  即是說 課室完結後任何人回課室
[00:02:15.000 --> 00:02:19.000]  都走不掉 剛好在必經之處
[00:02:19.000 --> 00:02:27.000]  作為一個模範生 一班同學一起被罰站
[00:02:27.000 --> 00:02:30.000]  我寧願你被抓在我的房間裡 毆打我十次
[00:02:30.000 --> 00:02:34.000]  好過這樣罰我 其實很少 可能小息五分鐘
[00:02:34.000 --> 00:02:37.000]  到現在仍然歷歷在目
[00:02:37.000 --> 00:02:42.000]  被委派特別身份 能夠謹守崗位
[00:02:42.000 --> 00:02:46.000]  俠如其分 固然有很多讚賞
[00:02:46.000 --> 00:02:49.000]  但與此同時 如果知法犯法
[00:02:49.000 --> 00:02:54.000]  就算不是罪加一等 被罰也走不了
[00:02:54.000 --> 00:03:00.000]  所以如果打開報紙 近期很多高官有僭建問題
[00:03:00.000 --> 00:03:03.000]  特別被嚴厲檢控
[00:03:03.000 --> 00:03:08.000]  有警察襲擊市民 罰得很重
[00:03:08.000 --> 00:03:12.000]  報紙看到有性職人員 也有性侵犯個案
[00:03:12.000 --> 00:03:15.000]  他們特別受關注
[00:03:15.000 --> 00:03:20.000]  我們作為被上帝分辨為性的子民
[00:03:20.000 --> 00:03:23.000]  我們被賦予一個特別的身份
[00:03:23.000 --> 00:03:27.000]  這個身份一方面讓我們領受很多恩典
[00:03:27.000 --> 00:03:31.000]  但不要忘記我們同時被賦託很重要的使命
[00:03:31.000 --> 00:03:36.000]  老家福音所說 多託誰就向誰多取
[00:03:36.000 --> 00:03:40.000]  多給誰就向誰多要
[00:03:40.000 --> 00:03:47.000]  學習的經文 先知阿姆斯是作為上帝的傳言人
[00:03:47.000 --> 00:03:52.000]  他被委派警戒上帝的子民 譴責他們
[00:03:52.000 --> 00:03:55.000]  他們的惡行竟然與那群不信的沒有分別
[00:03:55.000 --> 00:04:01.000]  神幫你就不幫親 同樣接受懲治
[00:04:01.000 --> 00:04:05.000]  明知古犯會受罰 當然不好過
[00:04:05.000 --> 00:04:11.000]  但最值得我們緊張的是否因為會受罰呢?
[00:04:11.000 --> 00:04:17.000]  學校的模範生與那些頑皮的同學一起被罰站
[00:04:17.000 --> 00:04:21.000]  最大的問題是甚麼?
[00:04:21.000 --> 00:04:25.000]  記憶圖和不信的犯同一個罪
[00:04:25.000 --> 00:04:28.000]  最大的禍患是甚麼?
[00:04:28.000 --> 00:04:30.000]  是否只是受罰那麼簡單?
[00:04:30.000 --> 00:04:35.000]  以今天的學習鼓勵我們互相同眠
[00:04:35.000 --> 00:04:39.000]  三星期前我們開始了阿姆斯書的第一講
[00:04:39.000 --> 00:04:42.000]  可能當中有些上次沒有提及或不記得
[00:04:42.000 --> 00:04:45.000]  我們花少許時間重溫第一講
[00:04:45.000 --> 00:04:48.000]  先知阿姆斯身處的處境
[00:04:48.000 --> 00:04:51.000]  當時以色列已經分為南國和北國
[00:04:51.000 --> 00:04:53.000]  以色列南國是猶大
[00:04:53.000 --> 00:04:56.000]  猶大的王是烏西亞王
[00:04:56.000 --> 00:04:58.000]  以色列的王是耶羅伯安
[00:04:58.000 --> 00:05:01.000]  南北國當時處於盛世
[00:05:01.000 --> 00:05:06.000]  阿姆斯書大概在八世紀中葉時寫成
[00:05:06.000 --> 00:05:10.000]  不少學者相信是最早寫成的先知書
[00:05:10.000 --> 00:05:13.000]  大家也知道先知不是微博先知
[00:05:13.000 --> 00:05:16.000]  而是神的傳言人Messenger
[00:05:16.000 --> 00:05:19.000]  阿姆斯出身不是先知
[00:05:19.000 --> 00:05:26.000]  他是牧羊和修剪桑樹的專業人士
[00:05:26.000 --> 00:05:29.000]  他來自南國的村莊
[00:05:29.000 --> 00:05:36.000]  得到神的默示被呼召到北國傳講神的信息
[00:05:36.000 --> 00:05:40.000]  當時北國的以色列政治穩定
[00:05:40.000 --> 00:05:42.000]  經濟蓬勃
[00:05:42.000 --> 00:05:45.000]  但背後隱藏著許多問題
[00:05:45.000 --> 00:05:49.000]  在道德上當時社會欠缺公義
[00:05:49.000 --> 00:05:51.000]  有錢人叫車日落
[00:05:51.000 --> 00:05:54.000]  窮苦人忍受著許多不公平的對待
[00:05:54.000 --> 00:05:56.000]  在宗教方面
[00:05:56.000 --> 00:05:59.000]  他們無拜迦南的假神
[00:05:59.000 --> 00:06:01.000]  又去拜耶和華神
[00:06:01.000 --> 00:06:04.000]  但有許多虛假的經典
[00:06:04.000 --> 00:06:06.000]  表面看來繁榮安定一片
[00:06:06.000 --> 00:06:08.000]  歌舞昇平
[00:06:08.000 --> 00:06:12.000]  以色列人以為一定是神恩代我們
[00:06:12.000 --> 00:06:19.000]  阿姆斯在盛世中宣告神發出的指責審判
[00:06:19.000 --> 00:06:21.000]  你說容易嗎
[00:06:21.000 --> 00:06:23.000]  一定很難入耳
[00:06:23.000 --> 00:06:26.000]  所以阿姆斯的工作其實很不簡單
[00:06:26.000 --> 00:06:28.000]  阿姆斯如何處理
[00:06:28.000 --> 00:06:31.000]  他先來做一個前奏
[00:06:31.000 --> 00:06:34.000]  上次有來聽講到
[00:06:34.000 --> 00:06:37.000]  阿姆斯書的一章一節已經清楚說明
[00:06:37.000 --> 00:06:41.000]  先知宣告的對象是北國以色列
[00:06:41.000 --> 00:06:47.000]  但他首先審判了六個敵國
[00:06:47.000 --> 00:06:49.000]  一章三節這樣說
[00:06:49.000 --> 00:06:53.000]  耶和華如此說大馬士革三番四次犯罪
[00:06:53.000 --> 00:06:54.000]  一章六節
[00:06:54.000 --> 00:06:56.000]  耶和華如此說加薩三番四次犯罪
[00:06:56.000 --> 00:06:57.000]  第九節
[00:06:57.000 --> 00:07:00.000]  耶和華如此說推羅三番四次犯罪
[00:07:00.000 --> 00:07:01.000]  十一節
