
[00:00:00.000 --> 00:00:02.000]  領子妹,早安
[00:00:02.000 --> 00:00:04.000]  讓我們先同心低頭禱告
[00:00:04.000 --> 00:00:08.000]  親禮天父感謝你,召聚我們回來
[00:00:08.000 --> 00:00:10.000]  相聚敬拜你
[00:00:10.000 --> 00:00:12.000]  天父我們感謝你
[00:00:12.000 --> 00:00:14.000]  你親自揀選我們
[00:00:14.000 --> 00:00:16.000]  讓我們在基督裡面
[00:00:16.000 --> 00:00:18.000]  有信心,有愛心
[00:00:18.000 --> 00:00:20.000]  天父我們都是
[00:00:20.000 --> 00:00:22.000]  不配的罪人
[00:00:22.000 --> 00:00:24.000]  但你不要嫌棄我們
[00:00:24.000 --> 00:00:26.000]  你尋找我們
[00:00:26.000 --> 00:00:28.000]  你捉摸我們
[00:00:28.000 --> 00:00:30.000]  你轉化我們
[00:00:30.000 --> 00:00:32.000]  求你讓我們不要忘記
[00:00:32.000 --> 00:00:34.000]  我們本是一個罪人
[00:00:34.000 --> 00:00:36.000]  讓我們不要因為忘記這件事
[00:00:36.000 --> 00:00:38.000]  使得我們
[00:00:38.000 --> 00:00:40.000]  輕視你的恩典
[00:00:40.000 --> 00:00:42.000]  我們這樣禱告
[00:00:42.000 --> 00:00:44.000]  是奉GSO基督的名字祈求
[00:00:44.000 --> 00:00:46.000]  阿們
[00:00:46.000 --> 00:00:48.000]  話說我們每天
[00:00:48.000 --> 00:00:50.000]  出街,我們逛街,搭車
[00:00:50.000 --> 00:00:52.000]  看電視,我們經常都見到
[00:00:52.000 --> 00:00:54.000]  很多的廣告
[00:00:54.000 --> 00:00:56.000]  有一種類型的廣告是特別典型
[00:00:56.000 --> 00:00:58.000]  是不同的產品
[00:00:58.000 --> 00:01:00.000]  服務都有這類的廣告
[00:01:00.000 --> 00:01:02.000]  我一講大家就知道我在講什麼
[00:01:02.000 --> 00:01:04.000]  我講的就是那些
[00:01:04.000 --> 00:01:06.000]  使用前,使用後的廣告
[00:01:06.000 --> 00:01:08.000]  就是那些對比
[00:01:08.000 --> 00:01:10.000]  一樣產品使用之前
[00:01:10.000 --> 00:01:12.000]  和之後的廣告
[00:01:12.000 --> 00:01:14.000]  一句很經典的對白
[00:01:14.000 --> 00:01:16.000]  出自一個研發廣告
[00:01:16.000 --> 00:01:18.000]  它的對白是「逐漸變黑又得」
[00:01:18.000 --> 00:01:20.000]  「立即變黑曬亦得」
[00:01:20.000 --> 00:01:22.000]  「得咗」
[00:01:22.000 --> 00:01:24.000]  這句大家聽下去應該有聲
[00:01:24.000 --> 00:01:26.000]  因為廣告播了三十多年
[00:01:26.000 --> 00:01:28.000]  除了這款
[00:01:28.000 --> 00:01:30.000]  研發產品之外,我們知道
[00:01:30.000 --> 00:01:32.000]  還有很多其他的產品都同樣有
[00:01:32.000 --> 00:01:34.000]  用這種使用前,使用後
[00:01:34.000 --> 00:01:36.000]  的廣告技巧
[00:01:36.000 --> 00:01:38.000]  例如一些清潔用品,就會左邊影著
[00:01:38.000 --> 00:01:40.000]  污糟邋遢的地下,用一塊
[00:01:40.000 --> 00:01:42.000]  普通毛巾抹,另一邊就用
[00:01:42.000 --> 00:01:44.000]  那個清潔用品,抹
[00:01:44.000 --> 00:01:46.000]  就馬上乾淨,換完一身
[00:01:46.000 --> 00:01:48.000]  很多其他產品
[00:01:48.000 --> 00:01:50.000]  提神飲料,感冒藥
[00:01:50.000 --> 00:01:52.000]  避敏感藥都有用這些廣告
[00:01:52.000 --> 00:01:54.000]  為什麼這類廣告
[00:01:54.000 --> 00:01:56.000]  會這麼普遍?
[00:01:56.000 --> 00:01:58.000]  我想一個很明顯的原因就是
[00:01:58.000 --> 00:02:00.000]  這種廣告可以讓人
[00:02:00.000 --> 00:02:02.000]  一目了然地知道產品
[00:02:02.000 --> 00:02:04.000]  的特性,知道受眾
[00:02:04.000 --> 00:02:06.000]  為什麼需要這個產品
[00:02:06.000 --> 00:02:08.000]  當然有些廣告
[00:02:08.000 --> 00:02:10.000]  有些誇大不實的成分
