
[00:00:00.000 --> 00:00:08.000]  平安,在今天,我相信是我在短期內最後一次跟大家講到,
[00:00:08.000 --> 00:00:14.000]  樣樣東西都定時,讓我們好好地在主的面前領受主的恩言,
[00:00:14.000 --> 00:00:18.000]  讓我們同心低頭,禱告,等候主。
[00:00:18.000 --> 00:00:22.000]  我是我們的主耶穌基督,多謝贊美你,
[00:00:22.000 --> 00:00:30.000]  多謝你給我們有生命氣息,給我們有時間下午開一齊聚集,
[00:00:30.000 --> 00:00:34.000]  我們一齊聆聽你的說話,領受你的教導。
[00:00:34.000 --> 00:00:39.000]  求主你養我們,藉著你的說話,生命得到成長,
[00:00:39.000 --> 00:00:44.000]  藉著在講道裡經歷你的同在,
[00:00:44.000 --> 00:00:51.000]  好讓我們能在生命裡反映從聽道而來的那種領受,
[00:00:51.000 --> 00:00:57.000]  活出你的樣式,見證你的美好。
[00:00:57.000 --> 00:01:03.000]  我們又求上主你養我口裡所講的說話,
[00:01:03.000 --> 00:01:08.000]  心裡所思所想,在你面前夢圓。
[00:01:08.000 --> 00:01:16.000]  求你也賜福在座當中的每一個,讓聽的,講的,同得益處。
[00:01:16.000 --> 00:01:23.000]  我們的祈禱交托,是逢求主耶穌基督,寶貴的聖名也是祈求。
[00:01:23.000 --> 00:01:29.000]  來到我在窩福堂最後一講,感謝教會,
[00:01:29.000 --> 00:01:33.000]  讓我有機會在崇拜裡跟大家分享信息。
[00:01:33.000 --> 00:01:37.000]  不知不覺,由我2014年在神學院畢業,
[00:01:37.000 --> 00:01:43.000]  回到窩福,全職侍奉,不覺不覺八年多了。
[00:01:43.000 --> 00:01:48.000]  回想這幾年的侍奉,我發現在我服侍的歷程,
[00:01:48.000 --> 00:01:53.000]  經歷的裡面,其實真的經驗了很多上帝的恩典,
[00:01:53.000 --> 00:01:59.000]  感受獲益良多。從這些經驗,我想到一首詩歌,
[00:01:59.000 --> 00:02:04.000]  稍後在回應詩會唱:主信實無變。
[00:02:04.000 --> 00:02:08.000]  歌詞這樣講:慈愛主信實無變,
[00:02:08.000 --> 00:02:13.000]  在每一天的清晨,主的愛已經彰顯了。
[00:02:13.000 --> 00:02:19.000]  慈愛主信實無變,其實無分陰晴的,主愛黎明。
[00:02:19.000 --> 00:02:27.000]  困苦、壓迫、憂心、掛念,神的愛始終不會停頓,
[00:02:27.000 --> 00:02:31.000]  神的愛永遠都不會改變。
[00:02:31.000 --> 00:02:35.000]  這也是我這幾年在服侍的過程裡面的體驗。
[00:02:35.000 --> 00:02:40.000]  我有時會想,是不是因為我比較聰明呢?
[00:02:40.000 --> 00:02:45.000]  還是我神學比較熟悉呢?
[00:02:45.000 --> 00:02:50.000]  以致我可以經驗到,好像歌詞裡面所講的那份恩典呢?
[00:02:50.000 --> 00:02:57.000]  我想未必,我反而會想,可能我可以經歷到這些恩典的背後,
[00:02:57.000 --> 00:03:07.000]  正正是代表我可能在教會的生活,在這裡的日子比較久。
[00:03:07.000 --> 00:03:13.000]  不知道你們知不知道,剛才那堂課可能會多一些人知道。
[00:03:13.000 --> 00:03:21.000]  我其實是由1989年在加拿大讀完書回來,回流,
[00:03:21.000 --> 00:03:28.000]  接著就回到這間教會。掃口徵的你,算一下數,數一下手指,
[00:03:28.000 --> 00:03:32.000]  都應該知道,日子不短。
[00:03:32.000 --> 00:03:35.000]  三十多年了,一個不覺意。
[00:03:35.000 --> 00:03:40.000]  這麼久的時間,在這間教會,我的感受,或者經歷到的就是,
