
[00:00:00.000 --> 00:00:07.000]  上次我說很難得在聖誕日是主日
[00:00:07.000 --> 00:00:10.000]  當然也是很難得
[00:00:10.000 --> 00:00:13.000]  121號新年是在主日
[00:00:13.000 --> 00:00:22.000]  在這裡祝賀大家新年快樂
[00:00:22.000 --> 00:00:27.000]  在來近的這一年能夠經歷到更多主的恩典
[00:00:30.000 --> 00:00:34.000]  我都提過弟兄姊妹都很流行
[00:00:34.000 --> 00:00:42.000]  在年尾年頭去納志納新年的願望
[00:00:42.000 --> 00:00:45.000]  無論你是已經有
[00:00:45.000 --> 00:00:49.000]  已經納了一些新年的心願或者還沒有
[00:00:49.000 --> 00:00:52.000]  我相信今天的訊息可以幫助你
[00:00:52.000 --> 00:00:58.000]  來去列低一些新年的願望
[00:00:58.000 --> 00:01:00.000]  如果你已經有了
[00:01:00.000 --> 00:01:03.000]  或者你可以參考一下去補充一下你的心願
[00:01:03.000 --> 00:01:07.000]  或者去加多一些你的心願
[00:01:07.000 --> 00:01:10.000]  如果還沒有更加是好了
[00:01:10.000 --> 00:01:16.000]  讓你可以去為今年來訂立一些心志、心願
[00:01:16.000 --> 00:01:21.000]  今天這一段的經文
[00:01:21.000 --> 00:01:24.000]  是剛才我們所讀的詩篇119篇
[00:01:24.000 --> 00:01:28.000]  最後那一段169節至176節
[00:01:28.000 --> 00:01:33.000]  這一篇詩是詩篇之中最長的一篇
[00:01:33.000 --> 00:01:38.000]  現在這一段也是最長一篇詩裡面的最後一段
[00:01:38.000 --> 00:01:42.000]  這一段可以也當它是做一個總結
[00:01:42.000 --> 00:01:45.000]  那麼長的一篇詩
[00:01:45.000 --> 00:01:49.000]  它的總結想說什麼呢?
[00:01:49.000 --> 00:01:54.000]  它的結論就是叫我們去告訴神知道
[00:01:54.000 --> 00:01:57.000]  我們所想所求的事
[00:01:57.000 --> 00:01:59.000]  就是我們一生之中
[00:01:59.000 --> 00:02:03.000]  我們願意用我們整個人的生命、生活
[00:02:03.000 --> 00:02:05.000]  來去榮耀神
[00:02:05.000 --> 00:02:08.000]  去活出神的教導
[00:02:08.000 --> 00:02:18.000]  我希望我們納的心志就是用我們一生的生命、生活
[00:02:18.000 --> 00:02:21.000]  去活出神的教訓
[00:02:21.000 --> 00:02:29.000]  將這個心意成為我們所想所求的事
[00:02:29.000 --> 00:02:35.000]  在這段經文8節裡面
[00:02:35.000 --> 00:02:43.000]  作者選用了兩種有特別意義的動詞的詞式
[00:02:43.000 --> 00:02:48.000]  它有很多種的,希伯來文動詞的詞式有很多種
[00:02:48.000 --> 00:02:50.000]  各有不同的功能
[00:02:50.000 --> 00:02:53.000]  這一種他用了兩種特別的
[00:02:53.000 --> 00:03:01.000]  是能夠表達有強烈渴望和渴求的心意在裡面
[00:03:01.000 --> 00:03:04.000]  在我等一下講道裡面
[00:03:04.000 --> 00:03:11.000]  我就會用渴想來去表達那個想字
[00:03:11.000 --> 00:03:13.000]  當你見到經文有個想字
[00:03:13.000 --> 00:03:15.000]  我的意思就是我渴想
[00:03:15.000 --> 00:03:17.000]  當經文裡面有個求字的時候
[00:03:17.000 --> 00:03:19.000]  我會用渴求
[00:03:19.000 --> 00:03:21.000]  其實是兩個不同形式的
[00:03:21.000 --> 00:03:27.000]  都是有很強烈表達自己的心願的意思的動詞
[00:03:27.000 --> 00:03:37.000]  這8節聖經裡面
[00:03:37.000 --> 00:03:42.000]  從這些願和求裡面
[00:03:42.000 --> 00:03:45.000]  去表達了8樣東西
[00:03:45.000 --> 00:03:51.000]  是神想我們作為我們一生裡面所想所求的事
[00:03:51.000 --> 00:03:55.000]  我們來看看這8樣東西是什麼
[00:03:55.000 --> 00:04:01.000]  這8節聖經裡面總共出現了9個願和3個求
[00:04:01.000 --> 00:04:05.000]  我們來看看這8樣東西是什麼
[00:04:05.000 --> 00:04:09.000]  我們看詩篇119篇169節
[00:04:09.000 --> 00:04:28.000]  在這節經文裡面帶有渴想的動詞
[00:04:28.000 --> 00:04:30.000]  就是達到的字
[00:04:30.000 --> 00:04:37.000]  渴想什麼東西能夠達到什麼東西呢?
[00:04:37.000 --> 00:04:39.000]  經文就告訴我們
[00:04:39.000 --> 00:04:43.000]  我們是渴想我們的呼求聲音
[00:04:43.000 --> 00:04:47.000]  能夠進到達到神的面前
[00:04:47.000 --> 00:04:51.000]  就是說我們渴想我們的呼求
[00:04:51.000 --> 00:04:53.000]  給神聽到
[00:04:53.000 --> 00:04:57.000]  另外一個字在這節聖經裡面
[00:04:57.000 --> 00:05:00.000]  有渴求心意的字
[00:05:00.000 --> 00:05:03.000]  就是賜我悟性的字
[00:05:03.000 --> 00:05:05.000]  其實是悟性的字
[00:05:05.000 --> 00:05:08.000]  不過悟性在我們中文來講是一個名詞
[00:05:08.000 --> 00:05:13.000]  所以在翻譯裡面要加一個賜我的字
[00:05:13.000 --> 00:05:15.000]  變成一個動詞
[00:05:15.000 --> 00:05:22.000]  當然是渴求神賜給我們悟性
[00:05:22.000 --> 00:05:26.000]  悟性也可以解釋為聰明
[00:05:26.000 --> 00:05:28.000]  或者是洞察力
[00:05:28.000 --> 00:05:31.000]  我們看針研就知道
[00:05:31.000 --> 00:05:33.000]  在不同的情況下會翻譯不同的字
[00:05:33.000 --> 00:05:36.000]  聰明、悟性、洞察力
[00:05:36.000 --> 00:05:42.000]  或者是通達
[00:05:42.000 --> 00:05:44.000]  有時候也會這樣翻譯
[00:05:44.000 --> 00:05:46.000]  來都是那些東西
[00:05:46.000 --> 00:05:49.000]  聰明智慧就是一個字可以代表了
[00:05:49.000 --> 00:05:53.000]  在我們人生的路上
[00:05:53.000 --> 00:05:55.000]  在我們的生活上
[00:05:55.000 --> 00:05:58.000]  我們的確常常會遇到困難挫折
[00:05:58.000 --> 00:06:01.000]  或者會遇到試探引誘
[00:06:01.000 --> 00:06:06.000]  這樣真的很需要求神給我們有聰明智慧
[00:06:06.000 --> 00:06:11.000]  讓我們知道我們應該怎樣走、怎樣做
[00:06:11.000 --> 00:06:15.000]  我們看到聖經的一個例子就是所羅門王
[00:06:15.000 --> 00:06:17.000]  當他年輕的時候
[00:06:17.000 --> 00:06:24.000]  他要面對、要管治一個這麼大的國家
[00:06:24.000 --> 00:06:30.000]  要去管治一個這麼多的百姓
[00:06:30.000 --> 00:06:34.000]  他自己很知道什麼事
[00:06:34.000 --> 00:06:37.000]  他很謙卑地說我不知道怎樣做
[00:06:37.000 --> 00:06:40.000]  於是他就向神求智慧
[00:06:40.000 --> 00:06:45.000]  目的是想能夠知道他應該怎樣走
[00:06:45.000 --> 00:06:48.000]  神聽了他的禱告
[00:06:48.000 --> 00:06:51.000]  賜給他有極高的聰明智慧
[00:06:54.000 --> 00:06:57.000]  看回這段經文我們留意這裡說
[00:06:57.000 --> 00:07:01.000]  「照你的話賜我五姓」
[00:07:01.000 --> 00:07:08.000]  即是說是有一些標準的
[00:07:08.000 --> 00:07:10.000]  賜我們五姓是怎樣呢?
[00:07:10.000 --> 00:07:13.000]  是按著神的應許
[00:07:13.000 --> 00:07:15.000]  祂的說話就是祂的應許
[00:07:15.000 --> 00:07:17.000]  祂的說話也是祂的教導
[00:07:17.000 --> 00:07:22.000]  即是說透過祂的教導、祂的話語來賜給我們聰明智慧
[00:07:23.000 --> 00:07:28.000]  所以我們要多讀神的話語
[00:07:28.000 --> 00:07:33.000]  你越讀得多你就會越聰明
[00:07:33.000 --> 00:07:43.000]  所以第一個渴想的事情
