
[00:00:00.000 --> 00:00:13.400]  題目是面對我們人生中許多不能預料的事情
[00:00:13.400 --> 00:00:20.800]  當我們講到 從我自己做傳道人的經驗
[00:00:20.800 --> 00:00:24.000]  我發現弟兄姐妹其實有很多的經驗
[00:00:24.000 --> 00:00:26.800]  當我們講到不能預料的事的時候
[00:00:26.800 --> 00:00:29.200]  其實我們每一個人都是專家
[00:00:29.200 --> 00:00:31.800]  那麼年紀越大越專
[00:00:31.800 --> 00:00:37.200]  那麼年紀小的時候有很多事情還不知道
[00:00:37.200 --> 00:00:40.000]  年輕的時候也是一樣
[00:00:40.000 --> 00:00:43.400]  在我們每一個人一生中都有許許多多
[00:00:43.400 --> 00:00:45.800]  不能預料的事情 對不對
[00:00:45.800 --> 00:00:49.200]  很多時候讓我們過了之後我們就會想說
[00:00:49.200 --> 00:00:52.800]  如果再碰到這個事情我會怎麼做 對不對
[00:00:52.800 --> 00:00:54.200]  這是我們的想法
[00:00:54.200 --> 00:00:58.200]  我們從孩童時代一直到成年時期
[00:00:58.200 --> 00:01:01.200]  真的是我們年紀越大越了解
[00:01:01.200 --> 00:01:06.800]  在人生當中有很多的事情是我們沒辦法預料的
[00:01:06.800 --> 00:01:12.800]  當然我們人都希望我們能夠掌控這一切的事情 對不對
[00:01:12.800 --> 00:01:17.400]  當我們不能預料的事情發生的時候
[00:01:17.400 --> 00:01:21.400]  我們真的是沒有辦法忍受
[00:01:21.400 --> 00:01:28.000]  我們真的是希望這些不能預料的事情越少越好
[00:01:28.000 --> 00:01:31.600]  你知道當你是自己一個人的時候 單身的時候
[00:01:31.600 --> 00:01:34.600]  這就是我說為什麼我們年紀越大
[00:01:34.600 --> 00:01:37.000]  不能預料的事情越來越多
[00:01:37.000 --> 00:01:39.000]  因為我們自己一個人的時候
[00:01:39.000 --> 00:01:43.400]  我們不能預料的事情真的是相對的是比較少一點
[00:01:43.400 --> 00:01:46.800]  為什麼呢 因為沒有牽涉到很多其他的事情
[00:01:46.800 --> 00:01:50.200]  也沒有牽涉到其他的人
[00:01:50.200 --> 00:01:52.400]  也沒有那麼多的關係
[00:01:52.400 --> 00:01:54.800]  可是當我們年事漸長
[00:01:54.800 --> 00:01:58.200]  我們人際關係慢慢複雜了
[00:01:58.200 --> 00:02:04.000]  我們職場上面的關係也好像複雜了一點
[00:02:04.000 --> 00:02:09.600]  那麼我們就會發現好像我們不能預料的事情就越來越多
[00:02:09.600 --> 00:02:12.800]  有很多事情真的是我們沒有辦法掌控
[00:02:12.800 --> 00:02:17.000]  因為是在別人的手裡 因為是在別的事情
[00:02:17.000 --> 00:02:18.600]  就是我沒有辦法
[00:02:18.600 --> 00:02:23.200]  許多事情慢慢慢慢的我們就會發現
[00:02:23.200 --> 00:02:25.400]  我沒辦法掌控
[00:02:25.400 --> 00:02:29.600]  那在家裡面也是一樣
[00:02:29.600 --> 00:02:31.400]  一個人單身的時候
[00:02:31.400 --> 00:02:32.800]  那北方人有一句話
[00:02:32.800 --> 00:02:36.800]  就是說如皂的綁在腿肚子上面
[00:02:36.800 --> 00:02:39.400]  就是隨時要走就走
[00:02:39.400 --> 00:02:41.200]  做決定很容易
[00:02:41.200 --> 00:02:44.200]  可是有了家了就不是那麼容易了
[00:02:44.200 --> 00:02:45.400]  對不對
[00:02:45.400 --> 00:02:48.600]  那麼你必須要顧到你自己的配偶
[00:02:48.600 --> 00:02:50.600]  你必須要顧到你的兒女
[00:02:50.600 --> 00:02:52.800]  你必須要顧到你的家人
[00:02:52.800 --> 00:02:55.000]  他們的需要
[00:02:55.000 --> 00:02:57.400]  那麼我們也會顧到我們的工作
[00:02:57.400 --> 00:02:59.400]  也會顧到我們的念書
[00:02:59.400 --> 00:03:00.600]  做生意
[00:03:00.600 --> 00:03:01.200]  對不對
[00:03:01.200 --> 00:03:02.400]  那更別提了
[00:03:02.400 --> 00:03:03.400]  投資
[00:03:03.400 --> 00:03:06.800]  那真的是有很多很多的沒有辦法預料的事情
[00:03:06.800 --> 00:03:10.000]  這就是我們把它歸類叫做風險
[00:03:10.000 --> 00:03:12.600]  你能不能擔這些風險
[00:03:12.600 --> 00:03:15.200]  那很多時候我們年紀大了
[00:03:15.200 --> 00:03:18.200]  但是我們自己的父母年紀也大了
[00:03:18.200 --> 00:03:19.000]  對不對
[00:03:19.000 --> 00:03:20.000]  然後這些父母
[00:03:20.000 --> 00:03:22.000]  我們的父母親年紀大了
[00:03:22.000 --> 00:03:25.600]  慢慢慢慢的他們也需要靠我們了
[00:03:25.600 --> 00:03:26.600]  那麼這個呢
