
[00:00:00.000 --> 00:00:02.740]  二零二五年御府祈靈修四十天
[00:00:02.740 --> 00:00:04.160]  我主我神
[00:00:04.160 --> 00:00:07.680]  由四十個角度去看主耶穌基督
[00:00:07.680 --> 00:00:09.200]  去認識祂
[00:00:09.200 --> 00:00:11.100]  今天是第二十七集
[00:00:11.100 --> 00:00:12.500]  第二十七天
[00:00:12.500 --> 00:00:16.720]  在聖咒裡是第十一講
[00:00:16.720 --> 00:00:21.260]  「民是和法理才人有和了」
[00:00:21.260 --> 00:00:25.940]  「民是和法理才人有和了」
[00:00:25.940 --> 00:00:29.020]  我們來看看這段經文之前
[00:00:29.020 --> 00:00:33.060]  我們先禱告
[00:00:33.060 --> 00:00:35.220]  主耶穌我們記得
[00:00:35.220 --> 00:00:39.280]  祢在當日在世上
[00:00:39.280 --> 00:00:43.220]  在聖殿裡用了很長的篇幅
[00:00:43.220 --> 00:00:47.320]  祢責備法理才人和民是
[00:00:47.320 --> 00:00:50.080]  幫助我們警醒自己
[00:00:50.080 --> 00:00:51.600]  多謝三一上主
[00:00:51.600 --> 00:00:56.180]  祢透過祢的兒子當面的曉悅教導我們
[00:00:56.180 --> 00:01:02.200]  免得我們走回當日民是法理才人所走的路
[00:01:02.200 --> 00:01:03.900]  免得我們假冒為善
[00:01:03.900 --> 00:01:08.380]  免得我們自以為意的時候
[00:01:08.380 --> 00:01:10.840]  我們輕視別人
[00:01:10.840 --> 00:01:14.140]  幫助我們不要經常堅持著外表的儀式
[00:01:14.140 --> 00:01:18.140]  而是內心要公義、要敬虔
[00:01:18.140 --> 00:01:20.080]  求主耶穌幫助
[00:01:20.080 --> 00:01:23.900]  大美上主祢就是這位那麼愛人的主
[00:01:23.900 --> 00:01:28.780]  祢差派獨生兒子耶穌基督為我們降生、為我們死
[00:01:28.780 --> 00:01:29.700]  多謝祢
[00:01:29.700 --> 00:01:32.920]  有一天祢會再回來
[00:01:32.920 --> 00:01:35.400]  改變這個多苦的世界
[00:01:35.400 --> 00:01:36.860]  我等候祢
[00:01:36.860 --> 00:01:38.480]  我讚美祢
[00:01:38.480 --> 00:01:41.000]  我高舉祢、我尊崇祢
[00:01:41.000 --> 00:01:43.940]  但願一切榮耀、權柄歸在祢名下
[00:01:43.940 --> 00:01:46.580]  國道、權柄、榮耀全是祢的
[00:01:46.580 --> 00:01:47.680]  直到永遠
[00:01:47.680 --> 00:01:48.680]  阿門
[00:01:52.440 --> 00:01:56.360]  文氏和法里塞人的筆事
[00:01:56.360 --> 00:01:59.260]  他們被責備
[00:01:59.260 --> 00:02:01.280]  《馬太福音》二十三章
[00:02:01.280 --> 00:02:02.820]  還是在聖咒裏面
[00:02:02.820 --> 00:02:04.900]  你會見到一些東西
[00:02:04.900 --> 00:02:05.840]  我們經常聽到的
[00:02:05.840 --> 00:02:08.800]  原來都是來自聖咒裏面
[00:02:08.800 --> 00:02:10.760]  主耶穌那個禮拜
[00:02:10.760 --> 00:02:11.960]  特別是頭幾天
[00:02:11.960 --> 00:02:14.320]  講了很多道
[00:02:14.320 --> 00:02:16.880]  在聖經裏面都那麼長
[00:02:16.880 --> 00:02:20.920]  如果當日主耶穌是用了很多時間講的
[00:02:20.920 --> 00:02:22.580]  因為記錄的人
[00:02:22.580 --> 00:02:23.600]  幾位使徒
[00:02:23.600 --> 00:02:26.560]  他們都只能夠用有限的篇幅
[00:02:26.560 --> 00:02:30.240]  和他們記憶最精粹的地方
[00:02:30.240 --> 00:02:31.600]  所以是短一點的
[00:02:31.600 --> 00:02:33.640]  如果當日應該很長的
[00:02:33.640 --> 00:02:36.520]  《馬太福音》二十三章第一、第二節
[00:02:36.520 --> 00:02:41.820]  那時耶穌對眾人和門徒講論
[00:02:41.820 --> 00:02:44.060]  主耶穌又在聖殿裏面
[00:02:44.060 --> 00:02:47.680]  和眾人和門徒講論
[00:02:47.680 --> 00:02:49.560]  講論什麼呢?
[00:02:49.560 --> 00:02:53.520]  就是講論文氏和法利塞人
[00:02:53.520 --> 00:02:54.680]  嘩!
