
[00:00:00.000 --> 00:00:04.220]  過去幾十年,剛才我說,整個香港社會都有很大的變遷
[00:00:04.220 --> 00:00:08.960]  而這個變遷令到我們整個人面對的挑戰、面對的壓力
[00:00:08.960 --> 00:00:11.260]  的確是愈來愈厲害
[00:00:11.260 --> 00:00:13.900]  三十多年前,當我自己讀神學院的時候
[00:00:13.900 --> 00:00:15.300]  我們的老師跟我們說
[00:00:15.300 --> 00:00:19.460]  他說當你畢業之後,去作為一個牧者、作為一個傳道人
[00:00:19.460 --> 00:00:25.860]  他說平均一個牧者是牧養大概八十至九十的信徒
[00:00:25.860 --> 00:00:30.200]  換句話說,如果一間教會大概是八十至九十人左右
[00:00:30.200 --> 00:00:34.560]  大概一個牧者已經是足夠應付
[00:00:34.560 --> 00:00:40.960]  這也是我一直所聆聽的教導,這是三十多年之前
[00:00:40.960 --> 00:00:44.040]  但上個月,我跟一位長輩聊天的時候
[00:00:44.040 --> 00:00:46.860]  忽然間長輩跟我說了一句話
[00:00:46.860 --> 00:00:51.720]  他說牧師,你知不知道現在出來做傳道人
[00:00:51.720 --> 00:00:55.300]  一個傳道人,平均牧養的信徒
[00:00:55.300 --> 00:00:59.580]  頂多是五十個,即是四十至五十
[00:00:59.580 --> 00:01:05.700]  差不多是將昔日三十多年前的牧養信徒的人數減半
[00:01:05.700 --> 00:01:07.580]  我說不是那麼嚴重吧
[00:01:07.580 --> 00:01:10.660]  即是說,如果今天我們同福連同我們所有的堂典
[00:01:10.660 --> 00:01:11.940]  當我們有五千人
[00:01:11.940 --> 00:01:14.500]  換句話說,如果有五千人的教會
[00:01:14.500 --> 00:01:17.820]  理應應該有一百個的傳道童工
[00:01:17.820 --> 00:01:20.900]  來先救去牧養那五千人
[00:01:20.900 --> 00:01:26.540]  但當然我未考據這個問題,這個答案是否正確我不知道
[00:01:26.540 --> 00:01:28.320]  不過另一方面,我們也明白的
[00:01:28.320 --> 00:01:30.380]  因著這麼大的壓力底下
[00:01:30.380 --> 00:01:33.180]  很多弟兄姊妹面對很多的壓力底下
[00:01:33.180 --> 00:01:37.020]  我們怎樣從我們的壓力裏面走出來
[00:01:37.020 --> 00:01:39.580]  很多時候我們都會去找牧者聊天
[00:01:39.580 --> 00:01:41.640]  找牧者來做一些輔導
[00:01:41.640 --> 00:01:43.940]  甚至去到小組組長,也不奇怪的
[00:01:43.940 --> 00:01:48.300]  我們的組長都可能有一些機會去幫助我們的組員
[00:01:48.300 --> 00:01:51.880]  所以我們每一個組長都要上課程
[00:01:51.880 --> 00:01:55.460]  就是怎樣去輔導,一個很基本的輔導
[00:01:55.460 --> 00:01:59.060]  所以換句話說,今天人面對困難的時候
[00:01:59.060 --> 00:02:02.640]  我們一定會找一些人的幫助
[00:02:02.640 --> 00:02:05.960]  約伯一樣,第一章第二章我們看到約伯
[00:02:05.960 --> 00:02:09.800]  當他面對撒旦的攻擊
[00:02:09.800 --> 00:02:14.160]  而撒旦的攻擊是得到上帝的容許底下
[00:02:14.160 --> 00:02:19.280]  他一夜之間沒有了所有的財物,沒有了他自己的子女
[00:02:19.280 --> 00:02:23.120]  又一夜之間,他的健康完全的失去
[00:02:23.120 --> 00:02:26.440]  由腳到頭,塞滿了毒瘡
[00:02:26.440 --> 00:02:28.240]  沒有人再想和他在一起
[00:02:28.240 --> 00:02:32.840]  因為他的身體腐爛,他的肉全部腐爛了
[00:02:32.840 --> 00:02:36.440]  甚至聖經告訴我們,他描述他有嚴重的口臭
[00:02:36.440 --> 00:02:38.220]  可以全身都發臭
[00:02:38.220 --> 00:02:42.580]  所以他只能夠住在城外面獨處
[00:02:42.580 --> 00:02:45.400]  但在過程當中,他有三位好朋友
[00:02:45.400 --> 00:02:48.460]  這三位好朋友,聖經告訴我們,第二章第十一節
[00:02:48.460 --> 00:02:51.280]  他說這三位好朋友,提曼人爾利法
[00:02:51.280 --> 00:02:53.580]  舒亞人比亞達,南馬人索法
