
[00:00:00.000 --> 00:00:01.740]  今天早上選讀的經文
[00:00:01.740 --> 00:00:04.380]  講到耶穌生平的兩件事
[00:00:04.380 --> 00:00:09.040]  首先是講到耶穌回應法律財源的問題
[00:00:09.040 --> 00:00:12.680]  就是人休妻
[00:00:12.680 --> 00:00:14.480]  人離婚
[00:00:14.480 --> 00:00:15.580]  可不可以
[00:00:15.580 --> 00:00:20.280]  繼而他又講到耶穌祝福小孩子
[00:00:20.280 --> 00:00:24.780]  兩件事相信大家都不是很陌生
[00:00:24.780 --> 00:00:28.140]  不過在這次預備這個講道的時候
[00:00:28.140 --> 00:00:32.240]  我在想離婚和生小孩
[00:00:32.240 --> 00:00:36.740]  好像是兩個很不同的事情
[00:00:36.740 --> 00:00:38.940]  現在放在一起
[00:00:38.940 --> 00:00:41.540]  中間有沒有什麼關聯
[00:00:41.540 --> 00:00:44.240]  有沒有什麼特別的意思呢
[00:00:44.240 --> 00:00:51.040]  在我再來三個讀這段經文的時候
[00:00:51.040 --> 00:00:51.940]  我就發覺
[00:00:51.940 --> 00:00:55.340]  雖然兩段經文的實質內容
[00:00:55.340 --> 00:00:57.340]  講的是兩件不同的事
[00:00:57.640 --> 00:01:00.540]  但是似乎中間都有一定的關聯
[00:01:00.540 --> 00:01:05.140]  而那個關聯的地方就在於人的意思
[00:01:05.140 --> 00:01:09.040]  和神的旨意之間的張力
[00:01:09.040 --> 00:01:11.540]  簡單的來說
[00:01:11.540 --> 00:01:13.740]  這段經文給我們看到
[00:01:13.740 --> 00:01:16.240]  人的想法和做法
[00:01:16.240 --> 00:01:19.240]  不論是傳統所代表的
[00:01:19.240 --> 00:01:23.440]  還是眼下的行為所表現的
[00:01:23.440 --> 00:01:25.540]  可能是合法的
[00:01:25.840 --> 00:01:28.940]  可能是合乎人所定的標準的
[00:01:28.940 --> 00:01:32.740]  但是雖然合法
[00:01:32.740 --> 00:01:37.140]  卻不一定是神喜歡看見的事
[00:01:37.140 --> 00:01:42.140]  甚至有可能是和神的心意是違背的
[00:01:42.140 --> 00:01:46.640]  這段經文裡面的兩個故事
[00:01:46.640 --> 00:01:49.140]  同樣提醒我們一件事就是說
[00:01:49.140 --> 00:01:51.940]  耶穌的對頭人,這些法利賽人
[00:01:51.940 --> 00:01:54.940]  和不認識神的人,這些外邦人
[00:01:55.340 --> 00:01:58.440]  當然他們不會問這個問題
[00:01:58.440 --> 00:02:01.640]  到底神的心意是什麼
[00:02:01.640 --> 00:02:05.940]  但是跟隨了耶穌一段時間的人
[00:02:05.940 --> 00:02:07.740]  這一班的門徒
[00:02:07.740 --> 00:02:13.540]  原來都有可能是憑自己的意思來做事
[00:02:13.540 --> 00:02:17.540]  從這裡我們會留意
[00:02:17.540 --> 00:02:18.940]  其實我們每一個人
[00:02:18.940 --> 00:02:22.140]  都是需要上帝的憐憫
[00:02:24.240 --> 00:02:26.540]  下面就讓我們再看一看這段經文
[00:02:26.540 --> 00:02:29.240]  希望今天這段經文成為一面鏡
[00:02:29.240 --> 00:02:32.540]  幫助我們看到自己的面貌
[00:02:32.540 --> 00:02:34.740]  認識我們的真相
[00:02:34.740 --> 00:02:37.940]  好讓我們能夠靠神來施恩
[00:02:37.940 --> 00:02:40.940]  幫助我們重新去追求
[00:02:40.940 --> 00:02:43.440]  順服祂的旨意
[00:02:43.440 --> 00:02:48.940]  首先有一班法利賽人來找耶穌
[00:02:48.940 --> 00:02:51.740]  向祂請教法律的問題
