
[00:00:00.000 --> 00:00:01.540]  靜慈媒 午安
[00:00:01.540 --> 00:00:04.800]  今天跟大家講這段經文
[00:00:04.800 --> 00:00:09.920]  一般我們都稱它為第四首的《僕人之歌》
[00:00:09.920 --> 00:00:18.360]  如果四月份大家有去過我們的壽保節日營
[00:00:18.360 --> 00:00:20.440]  不知道大家是否記得
[00:00:20.440 --> 00:00:24.480]  其實是用同一段經文
[00:00:25.720 --> 00:00:30.040]  我當時說這段經文十分豐富
[00:00:30.040 --> 00:00:36.120]  所以當時我只是集中跟大家分享
[00:00:36.120 --> 00:00:41.120]  五十三章的四節六節和第十節
[00:00:41.120 --> 00:00:46.400]  今天我會用另外一個焦點
[00:00:46.400 --> 00:00:50.200]  跟大家分享餘下的經文
[00:00:51.200 --> 00:01:02.440]  當日我說過我將兩位聖經學者的分段做了少許修訂
[00:01:02.440 --> 00:01:05.280]  變成了五個段落
[00:01:05.280 --> 00:01:10.200]  而每個段落分別都是三節經文
[00:01:10.200 --> 00:01:17.440]  你會見到ABCBπAπ
[00:01:18.040 --> 00:01:23.280]  這個線型或者倒影的結構
[00:01:23.280 --> 00:01:30.320]  當然這樣排法你會見到中心點在C
[00:01:30.320 --> 00:01:37.360]  你若摸一摸會發現原來是一對一對對著的
[00:01:37.360 --> 00:01:42.320]  說到「僕人」C這個部份
[00:01:42.320 --> 00:01:47.920]  就是說他為了擔當我們的罪的緣故
[00:01:48.360 --> 00:01:49.640]  所以他就受苦了
[00:01:49.640 --> 00:01:51.960]  就是透過這一份愛
[00:01:51.960 --> 00:01:56.400]  他邀請我們在錯誤當中回轉
[00:01:56.400 --> 00:01:59.960]  去接受這個救恩
[00:01:59.960 --> 00:02:04.600]  當日的營會是有一個主題的
[00:02:04.600 --> 00:02:07.200]  叫做「跟隨他的腳踪」
[00:02:07.200 --> 00:02:13.720]  雖然我們在歷史的進程來看
[00:02:14.640 --> 00:02:20.720]  神的子民由崔埃及開始到今天為止
[00:02:20.720 --> 00:02:31.040]  沒有一個人或者群體能夠做好受苦僕人的角色
[00:02:31.040 --> 00:02:34.040]  但當日我有說過
[00:02:34.040 --> 00:02:39.600]  神其實是透過啟示錄21章10至14節
[00:02:39.600 --> 00:02:44.320]  讓我們看得到一幅未來的圖畫
[00:02:44.960 --> 00:02:50.240]  他鼓勵我們要在困難當中堅持忍耐
[00:02:50.240 --> 00:02:55.040]  繼續去中心跟隨主耶穌的腳踪而行
[00:02:55.040 --> 00:03:00.800]  在營會裏面我交代了大概
[00:03:00.800 --> 00:03:07.400]  既然在營會裏面說了C這個中心的部份
[00:03:07.400 --> 00:03:11.560]  今天我就想逐步向外推展
[00:03:12.000 --> 00:03:14.880]  就像兩個括號一樣向外推展
[00:03:14.880 --> 00:03:17.600]  你見到你的廣道大綱你就會知道
[00:03:17.600 --> 00:03:23.840]  所以我首先會和大家說B和Bπ的部份
[00:03:23.840 --> 00:03:29.600]  即是53章的1至3節和7至9節
[00:03:29.600 --> 00:03:35.640]  在分享這兩個段落分別各自是3節經文
[00:03:35.640 --> 00:03:41.240]  我想請大家先和我一起讀一讀這6節的聖經
[00:03:42.040 --> 00:03:44.240]  我們先讀一讀這6節的聖經吧
[00:04:12.000 --> 00:04:21.000]  他被欺壓,在受苦的時候卻不開口
[00:04:21.000 --> 00:04:25.000]  他像羊羔被牽到宰殺之地
[00:04:25.000 --> 00:04:29.000]  又像羊在輾舞的人手下無聲
[00:04:29.000 --> 00:04:32.000]  他也是這樣不開口
[00:04:32.000 --> 00:04:36.000]  因受欺壓和審判,他被奪去
[00:04:36.000 --> 00:04:40.000]  至於他同世的人,誰想他受鞭打
[00:04:41.000 --> 00:04:45.000]  誰知地被剪除,是因我百姓的罪過
[00:04:45.000 --> 00:04:50.000]  他雖然未行強暴,口中也沒有詭詐
[00:04:50.000 --> 00:04:53.000]  人還使他與惡人同埋
[00:04:53.000 --> 00:04:57.000]  誰知死的時候與財主同葬
[00:04:57.000 --> 00:05:01.000]  這6節的經文開始的時候
[00:05:01.000 --> 00:05:08.000]  53章第一節是用了「我們」這個代名詞
[00:05:09.000 --> 00:05:13.000]  「我們」是指什麼群體呢?
[00:05:13.000 --> 00:05:16.000]  如果我們一路看下去
[00:05:16.000 --> 00:05:22.000]  我們看到第6節提到眾人的罪孽
[00:05:22.000 --> 00:05:27.000]  提到這群「我們」的人集體犯罪
[00:05:27.000 --> 00:05:31.000]  我們就會知道這個「我們」其實是指
[00:05:31.000 --> 00:05:36.000]  連埋先知在內的一群神的子民
[00:05:37.000 --> 00:05:40.000]  他們對於這個神的僕人怎樣看待他呢?
[00:05:40.000 --> 00:05:46.000]  接著有一連發出了兩個反文句
[00:05:46.000 --> 00:05:53.000]  「我們所傳的有誰信,亦會話一磅碑向誰顯奧呢?」
[00:05:53.000 --> 00:05:58.000]  很清楚了,其實他們根本不相信
[00:05:58.000 --> 00:06:02.000]  這位僕人的宣告,說來也浪費力氣
[00:06:03.000 --> 00:06:08.000]  他們根本就不認同他的能力
[00:06:08.000 --> 00:06:13.000]  第53章第二節說
