
[00:00:00.000 --> 00:00:01.760]  但我們今天要講道的時候
[00:00:01.760 --> 00:00:04.560]  一定要知道聖經怎樣教我們
[00:00:04.560 --> 00:00:07.840]  從大喜大樂到大喜大樂的人生當中
[00:00:07.840 --> 00:00:12.280]  剛才我們選讀的經文是在《路加福音》第十九章一到十節
[00:00:12.280 --> 00:00:14.520]  是講一個人的
[00:00:14.520 --> 00:00:16.320]  人生當中有時我們都知道
[00:00:16.320 --> 00:00:17.600]  有時我們行差踏錯
[00:00:17.600 --> 00:00:19.320]  好像文森弟兄說的
[00:00:19.320 --> 00:00:20.680]  初初不知道自己做錯
[00:00:20.680 --> 00:00:22.400]  覺得是理所當然的
[00:00:22.400 --> 00:00:25.600]  出去風花雪月 交朋結友
[00:00:25.600 --> 00:00:26.560]  有時就是這樣
[00:00:26.560 --> 00:00:28.960]  有個校長說錯一句說話
[00:00:28.960 --> 00:00:31.120]  在巴士上說一句不知是不是髒話
[00:00:31.120 --> 00:00:32.080]  就髒話了
[00:00:32.080 --> 00:00:36.200]  就已經搞到要馬上離職
[00:00:36.200 --> 00:00:38.080]  這些很熟悉的個案
[00:00:38.080 --> 00:00:39.440]  全程哄動
[00:00:39.440 --> 00:00:41.240]  本來是高薪厚職做校長的
[00:00:41.240 --> 00:00:42.320]  現在變成炒魷魚
[00:00:42.320 --> 00:00:43.800]  還要即時去炒魷魚
[00:00:43.800 --> 00:00:47.400]  不可以先做暑假
[00:00:47.400 --> 00:00:48.800]  真的很麻煩
[00:00:48.800 --> 00:00:52.680]  亦有很多不同的人都有很多不同的際遇
[00:00:52.680 --> 00:00:56.520]  可能有時一失足成千古恨
[00:00:56.520 --> 00:00:59.840]  總之是這樣就有種子無乞兒
[00:00:59.840 --> 00:01:01.120]  但有時又很難說
[00:01:01.120 --> 00:01:02.880]  幸福不是必然的事情
[00:01:02.880 --> 00:01:05.440]  好像馮福遠
[00:01:05.440 --> 00:01:07.000]  大家以為都安居樂業
[00:01:07.000 --> 00:01:08.440]  一個中產家庭
[00:01:08.440 --> 00:01:12.200]  誰不知一個煙頭
[00:01:12.200 --> 00:01:15.680]  一些不合規格的建築材料
[00:01:15.680 --> 00:01:17.640]  或者一些不守規矩的建築箱
[00:01:17.640 --> 00:01:19.400]  或者是消防的設備
[00:01:19.400 --> 00:01:22.280]  搞到這麼多棟樓都出事
[00:01:22.280 --> 00:01:27.280]  本來說可以有些重建或者原地的選址等等
[00:01:27.280 --> 00:01:30.120]  現在可能亦都另外一些的說法
[00:01:30.120 --> 00:01:32.200]  沒人知道下一步怎樣
[00:01:32.200 --> 00:01:35.840]  現在已經開始有些人被追究責任
[00:01:35.840 --> 00:01:40.240]  開始ICAC已經告一些工程界人士
[00:01:40.240 --> 00:01:41.480]  但除了工程界之外
[00:01:41.480 --> 00:01:43.280]  還有沒有其他更多的一些人
[00:01:43.280 --> 00:01:45.240]  是需要去負責任的呢
[00:01:45.240 --> 00:01:47.960]  最重要不只是追究責任
[00:01:47.960 --> 00:01:50.280]  而是怎樣去改善那個措施
[00:01:50.280 --> 00:01:52.480]  以至其他類似的建築
[00:01:52.480 --> 00:01:53.640]  或者類似的工程
[00:01:53.640 --> 00:01:56.320]  都能夠有多一點的保障
[00:01:56.320 --> 00:01:58.880]  我們都想搞好那個制度
[00:01:58.880 --> 00:02:00.560]  當然我們亦都知道
[00:02:00.560 --> 00:02:02.960]  前線很多的工作人員都好辛苦
[00:02:02.960 --> 00:02:05.360]  有些消防員都是無私的奉獻
[00:02:05.360 --> 00:02:09.000]  為了救火 建築自己的生命
[00:02:09.000 --> 00:02:10.200]  所以幸福不是必然
[00:02:10.200 --> 00:02:11.880]  所以今天我們能夠坐到這裡
[00:02:11.880 --> 00:02:14.920]  能夠有機會去分享上帝的一些工作
[00:02:14.920 --> 00:02:15.800]  其實很感恩
[00:02:15.800 --> 00:02:16.960]  是不是 頂姐妹
[00:02:16.960 --> 00:02:18.360]  很感恩
[00:02:18.360 --> 00:02:20.360]  但是我們今天講一個經文
[00:02:20.360 --> 00:02:21.960]  耶利哥裏面的地方
[00:02:21.960 --> 00:02:23.520]  有一個故事發生
[00:02:23.520 --> 00:02:25.200]  耶利哥海洋地球上面
[00:02:25.200 --> 00:02:28.160]  最低的一個水平線
[00:02:28.160 --> 00:02:30.120]  它是低過海拔
[00:02:30.120 --> 00:02:32.880]  地中海是負258米
[00:02:32.880 --> 00:02:33.680]  即是地中海在這裏
[00:02:33.680 --> 00:02:34.920]  它在下面那裏
[00:02:34.920 --> 00:02:36.640]  那些水就水向低流
[00:02:36.640 --> 00:02:38.760]  所以所有的水落到地中海
[00:02:38.760 --> 00:02:40.560]  即是落到這個死海之後
[00:02:40.560 --> 00:02:42.440]  是不會走出來的
[00:02:42.440 --> 00:02:44.200]  那個耶利哥這個城市
[00:02:44.200 --> 00:02:47.400]  就在耶路撒冷亞東北的23公里
[00:02:47.400 --> 00:02:51.120]  這也是當時我們知道聖經裏面
[00:02:51.120 --> 00:02:54.880]  第一個以色列人進入的城邑
[00:02:54.880 --> 00:02:59.200]  就是由約旦過河進入了耶利哥
[00:02:59.200 --> 00:03:01.440]  這是一個很重要的歷史故事
[00:03:01.440 --> 00:03:03.320]  歷史是會重寫的
[00:03:03.320 --> 00:03:04.440]  即是最初進入耶利哥
[00:03:04.440 --> 00:03:07.440]  現在耶穌最後這個站又去京興耶利哥
[00:03:07.440 --> 00:03:12.000]  這個地方我們叫做「低處未算低」
[00:03:12.000 --> 00:03:14.800]  地理上的低是一個肯定的
[00:03:14.800 --> 00:03:17.800]  那裏的水各方面的氣壓等等都不同
[00:03:17.800 --> 00:03:19.840]  但那裏有一個人是更加低
[00:03:19.840 --> 00:03:22.080]  就是有一個叫做薩蓋
[00:03:22.080 --> 00:03:23.160]  薩蓋是個甚麼人來的
