
[00:00:00.000 --> 00:00:04.000]  菩薩前輩願我們聽到以先元文也同心禱告
[00:00:04.000 --> 00:00:08.100]  釋迦天父感謝你給我們能夠再次有聖命來到你的跟前
[00:00:08.100 --> 00:00:09.600]  打開你的說話
[00:00:09.600 --> 00:00:11.600]  在每一天的早上
[00:00:11.600 --> 00:00:14.000]  當我們的腳
[00:00:14.000 --> 00:00:16.000]  德在地上面的時候
[00:00:16.000 --> 00:00:18.900]  我們必須要再次感謝
[00:00:18.900 --> 00:00:24.000]  因為我們再次有聖命祭祀來到你的跟前
[00:00:24.000 --> 00:00:26.400]  能夠活一天的生活
[00:00:26.400 --> 00:00:27.900]  做一天的見證
[00:00:28.700 --> 00:00:32.600]  求你讓我們今天能夠有更大的機會
[00:00:32.600 --> 00:00:34.900]  來到一同釋迦天父的說話的時候
[00:00:34.900 --> 00:00:37.000]  求你與我們同在
[00:00:37.000 --> 00:00:42.600]  許我們珍視現在我們所有的聖命祭祀
[00:00:42.600 --> 00:00:47.000]  也同時讓我們能夠把今天所聽到的真道
[00:00:47.000 --> 00:00:48.900]  藏在心裡面
[00:00:48.900 --> 00:00:50.600]  活在生活當中
[00:00:50.600 --> 00:00:53.700]  我們禱告奉主耶穌的名球
[00:00:53.700 --> 00:00:54.800]  Amen
[00:00:56.300 --> 00:01:01.100]  今天是我們來到親伯太前書的最後的一段
[00:01:01.100 --> 00:01:04.400]  是第六章的二十到二十一節
[00:01:04.400 --> 00:01:05.700]  主題是
[00:01:05.700 --> 00:01:08.000]  末世的處世之大
[00:01:08.000 --> 00:01:10.400]  這個是我們必須要來學習
[00:01:10.400 --> 00:01:13.300]  為什麼左姐也在最後的時候提到這一點
[00:01:13.300 --> 00:01:14.800]  這個也是我們今天
[00:01:14.800 --> 00:01:16.700]  一同來到
[00:01:16.700 --> 00:01:19.200]  雜頌來判斷的題目
[00:01:19.200 --> 00:01:21.800]  不過在我們回到經文之前
[00:01:21.800 --> 00:01:28.100]  讓我分享到有一次我的在信仰上面的一個對談
[00:01:28.100 --> 00:01:30.000]  有一次有一個
[00:01:30.000 --> 00:01:32.400]  一個不是基督
[00:01:32.400 --> 00:01:33.500]  應該是一個基督徒
[00:01:33.500 --> 00:01:37.100]  不過還不太確定他到底上面是基督徒還不是
[00:01:37.100 --> 00:01:40.100]  不過他問我一個很有趣的問題
[00:01:40.100 --> 00:01:41.300]  他說
[00:01:41.300 --> 00:01:47.200]  到底上面基督徒跟非基督徒在處世上面
[00:01:47.200 --> 00:01:48.200]  有什麼分別
[00:01:49.000 --> 00:01:52.200]  那麼他問我因為他說你是牧師
[00:01:52.200 --> 00:01:56.100]  所以應該比較有一個好的一個了解
[00:01:56.100 --> 00:01:58.600]  我聽到他問題之後
[00:01:58.600 --> 00:01:59.900]  我馬上跟他回答
[00:01:59.900 --> 00:02:04.000]  我說基督徒跟非基督徒最大的處世上面的
[00:02:04.000 --> 00:02:06.500]  分別就是基督徒治罪悔改
[00:02:06.500 --> 00:02:08.800]  這個是最重要的分別
[00:02:08.800 --> 00:02:13.800]  基督徒跟非基督徒最大的分別就是基督徒
[00:02:13.800 --> 00:02:16.100]  不認識自己的錯誤
[00:02:16.800 --> 00:02:19.300]  還同時他會把自己的錯誤
[00:02:19.300 --> 00:02:21.500]  來到確立來到更改過來
[00:02:21.500 --> 00:02:23.200]  就是我們所說的悔改
[00:02:23.200 --> 00:02:25.000]  事實上面
[00:02:25.000 --> 00:02:26.900]  當我們分別一個基督徒
[00:02:26.900 --> 00:02:29.300]  到底上面他是真的還是假的
[00:02:29.300 --> 00:02:31.300]  一個偽裝的一個基督徒的話
[00:02:31.300 --> 00:02:33.700]  這個也是最細節的一個方法
[00:02:33.700 --> 00:02:34.700]  因為很多基督徒
