
[00:00:00.000 --> 00:00:05.340]  大家好,今天這篇可能是我們講了這麼久
[00:00:05.340 --> 00:00:09.760]  讓福音裏面最困難去明白的一篇
[00:00:09.760 --> 00:00:15.920]  你這樣看,它是在講羊和牧羊人
[00:00:15.920 --> 00:00:19.560]  但其實牽涉到前面第九章
[00:00:19.560 --> 00:00:21.080]  甚至第八章、第七章
[00:00:21.080 --> 00:00:23.800]  所有東西都是牽連在一起的
[00:00:23.800 --> 00:00:25.960]  所以這個是一個難度
[00:00:25.960 --> 00:00:29.400]  另一個難度就是它牽涉到很多舊約的背景
[00:00:29.400 --> 00:00:35.080]  你會發現我會花半篇的講道在舊約裏面去盤算
[00:00:35.080 --> 00:00:37.000]  然後我們才回到新約
[00:00:37.000 --> 00:00:39.920]  所以我們今天那段聖經我只是選了十節
[00:00:39.920 --> 00:00:41.880]  我只可以講到十節
[00:00:41.880 --> 00:00:45.480]  下次繼續回去都是在講同一段經文
[00:00:45.480 --> 00:00:49.800]  如果我們當中有弟兄姊妹是要做Maths功課
[00:00:49.800 --> 00:00:51.200]  那你就捉到寶了
[00:00:51.200 --> 00:00:57.160]  因為這篇圖裏面有很多值得我們思想的地方
[00:00:57.160 --> 00:00:59.560]  我們一起努力的去聆聽
[00:00:59.560 --> 00:01:03.280]  歡迎大家來到我們的周到崇拜
[00:01:03.280 --> 00:01:08.040]  上年七月我們開始研讀新約聖經當中的約翰福音
[00:01:08.040 --> 00:01:12.520]  講道系列的題目是榮耀君王
[00:01:12.520 --> 00:01:16.680]  我們花了半年的時間去宣講約翰福音一至四章
[00:01:16.680 --> 00:01:20.680]  今年一月我們開始研讀約翰福音第五章
[00:01:20.680 --> 00:01:23.400]  五月份我們來到約翰福音第七章
[00:01:23.400 --> 00:01:27.440]  六月初我們進入約翰福音第八章
[00:01:27.440 --> 00:01:32.360]  約翰福音第七章和第八章的靈魂和核心
[00:01:32.360 --> 00:01:37.760]  是耶穌在駐彭捷最後一日大聲的宣告
[00:01:37.760 --> 00:01:40.520]  是一個二合一的自我啟示
[00:01:40.520 --> 00:01:42.080]  耶穌說我就是
[00:01:42.080 --> 00:01:44.800]  我就是是耶和華上帝的名字
[00:01:44.800 --> 00:01:46.400]  我是耶和華上帝
