
[00:00:00.000 --> 00:00:02.560]  我們今天就是思想聖經裏面的
[00:00:02.560 --> 00:00:04.440]  詩篇裏面的祈禱詩
[00:00:04.440 --> 00:00:07.000]  我們大家在一起再仰望著
[00:00:07.000 --> 00:00:14.480]  主啊 祢自己的說話
[00:00:14.480 --> 00:00:16.960]  是天上的瑪那
[00:00:16.960 --> 00:00:20.440]  是叫人得到真正的飽足
[00:00:20.440 --> 00:00:23.360]  主啊 我們蒙恩
[00:00:23.360 --> 00:00:25.520]  能夠在敬拜祢的時候
[00:00:25.520 --> 00:00:27.400]  去思想祢的說話
[00:00:28.280 --> 00:00:31.640]  主啊 求祢給我們內心有一種渴慕
[00:00:31.640 --> 00:00:34.320]  亦都看到自己的需要
[00:00:34.320 --> 00:00:38.320]  亦都蒙祢自己聖靈的幫助
[00:00:38.320 --> 00:00:42.120]  我們不會是閉塞了心靈
[00:00:42.120 --> 00:00:44.440]  而是蒙祢的幫助
[00:00:44.440 --> 00:00:46.440]  我們的心有空處
[00:00:46.440 --> 00:00:48.440]  可以領受祢的道
[00:00:48.440 --> 00:00:51.720]  主啊 求祢親自的施恩
[00:00:51.720 --> 00:00:53.720]  除去很多的障礙
[00:00:53.720 --> 00:00:55.240]  讓我們在祢面前
[00:00:55.240 --> 00:00:58.520]  因為祢的道 我們再次蒙恩
[00:00:58.520 --> 00:01:00.480]  仰望祈禱
[00:01:00.480 --> 00:01:02.280]  奉耶穌成名求
[00:01:02.280 --> 00:01:03.280]  阿們
[00:01:25.240 --> 00:01:27.240]  有關詩篇的祈禱詩
[00:01:27.240 --> 00:01:29.400]  今天來到第九篇了
[00:01:29.400 --> 00:01:31.920]  如果你小心一路聽的時候
[00:01:31.920 --> 00:01:33.120]  你會明白
[00:01:33.120 --> 00:01:35.600]  在很多詩篇的祈禱詩裏面
[00:01:35.600 --> 00:01:37.240]  有一些共通點
[00:01:37.240 --> 00:01:40.200]  或者我簡單和大家分享
[00:01:40.200 --> 00:01:41.760]  當你讀的時候
[00:01:41.760 --> 00:01:44.080]  你會發覺有幾個共通點
[00:01:44.080 --> 00:01:45.080]  第一
[00:01:45.080 --> 00:01:48.560]  你會發覺詩人常常都會很清楚地
[00:01:48.560 --> 00:01:51.800]  確認他和神之間的關係
[00:01:51.800 --> 00:01:54.240]  在禱告裏面常常會提到
[00:01:54.240 --> 00:01:55.840]  「祢是我的神」
[00:01:55.840 --> 00:01:58.080]  「祢是我的上帝」
[00:01:58.080 --> 00:02:02.160]  亦都在表達裏面很清楚地知道
[00:02:02.160 --> 00:02:03.680]  既然祂是我的上帝
[00:02:03.680 --> 00:02:05.440]  祂不會忘記我的
[00:02:05.440 --> 00:02:07.840]  祂不會離棄我的
[00:02:07.840 --> 00:02:11.720]  因此放心、放膽向神祈禱
[00:02:11.720 --> 00:02:13.400]  第二
[00:02:13.400 --> 00:02:15.400]  很多詩人當他們祈禱的時候
[00:02:15.400 --> 00:02:19.640]  禱告裏面一定帶著很多的感恩和讚美
[00:02:19.640 --> 00:02:22.720]  你很少見到一篇詩篇的祈禱詩
[00:02:22.720 --> 00:02:25.200]  全部都是訴求
[00:02:25.200 --> 00:02:27.080]  全部都是祈禱
[00:02:27.080 --> 00:02:31.240]  而常常都帶著很多的感恩和讚美
[00:02:31.240 --> 00:02:34.560]  回想神過去的工作
[00:02:34.560 --> 00:02:36.040]  在歷史當中
[00:02:36.040 --> 00:02:38.720]  或者在個人生命當中神的作為
[00:02:38.720 --> 00:02:40.960]  在回想過程當中
[00:02:40.960 --> 00:02:42.960]  承認神是有能力的
[00:02:42.960 --> 00:02:45.800]  承認神是無所不能的
[00:02:45.800 --> 00:02:48.600]  因此帶著那份信心
[00:02:48.600 --> 00:02:50.560]  帶著那份感謝的心
[00:02:50.560 --> 00:02:53.120]  一路的感謝、一路的讚美
[00:02:53.120 --> 00:02:54.640]  然後向神祈求
[00:02:54.640 --> 00:02:56.880]  第三
[00:02:56.880 --> 00:02:58.880]  當你讀這些祈禱詩的時候
[00:02:58.880 --> 00:03:01.040]  你會察覺到一個共通點
[00:03:01.040 --> 00:03:05.240]  就是他們在禱告當中一定是緊握著神的「應許」
[00:03:05.240 --> 00:03:07.160]  要知道
[00:03:07.160 --> 00:03:08.840]  上帝是「應許」
[00:03:08.840 --> 00:03:11.720]  祂的慈愛是不會改變的
[00:03:11.720 --> 00:03:14.240]  亦都認識這位上帝
[00:03:14.240 --> 00:03:16.040]  祂是信實的
[00:03:16.040 --> 00:03:17.760]  這是祂的屬性
[00:03:17.760 --> 00:03:20.040]  就算我們失信
[00:03:20.040 --> 00:03:21.880]  祂不會對我們不信
[00:03:21.880 --> 00:03:24.080]  因為祂不能背負自己
[00:03:24.080 --> 00:03:25.440]  因此很清楚
[00:03:25.440 --> 00:03:28.000]  抓緊著神的那種「應許」
[00:03:28.000 --> 00:03:30.120]  就算環境改變
[00:03:30.120 --> 00:03:32.600]  包括自己改變也好
[00:03:32.600 --> 00:03:35.400]  仍然知道上帝是不會改變的
[00:03:35.400 --> 00:03:38.200]  所以在自己就算軟弱的時候
[00:03:38.200 --> 00:03:40.520]  仍然很放膽地求神
[00:03:40.520 --> 00:03:46.160]  相信神會按照祂的屬性來工作
[00:03:46.160 --> 00:03:48.240]  緊握著祂的「應許」
[00:03:48.240 --> 00:03:51.320]  就在當中繼續不斷地向神尋求
[00:03:51.320 --> 00:03:53.480]  各位弟兄姊妹
[00:03:53.480 --> 00:03:56.600]  使人給我們很特別的榜樣
[00:03:56.600 --> 00:03:58.040]  對我們的勉勵
[00:03:58.040 --> 00:04:00.840]  就是確認祂是我們的神
[00:04:00.840 --> 00:04:04.960]  很清楚知道帶著感謝的心來祈禱
[00:04:04.960 --> 00:04:07.040]  也緊握著祂的「應許」
[00:04:07.040 --> 00:04:08.360]  當你祈禱的時候
[00:04:08.360 --> 00:04:10.720]  你會發覺有一種心靈的膽量
[00:04:10.720 --> 00:04:12.720]  可以放心向神求
[00:04:12.720 --> 00:04:16.200]  而去經歷到神怎樣聽人的祈禱
[00:04:17.120 --> 00:04:20.080]  當我們再讀到詩篇八十六篇的時候
[00:04:20.080 --> 00:04:23.200]  你再留心從這三個角度去看
[00:04:23.200 --> 00:04:25.480]  使人怎樣向神祈禱
[00:04:25.480 --> 00:04:27.120]  特別其中一點就是
[00:04:27.120 --> 00:04:29.320]  他怎樣專一地向神求
[00:04:29.320 --> 00:04:31.160]  知道不灰心
[00:04:31.160 --> 00:04:35.560]  他一定會成就我們向他所尋求的事情
[00:04:35.560 --> 00:04:36.840]  按照他的時候
[00:04:36.840 --> 00:04:38.040]  按照他的心意
[00:04:38.040 --> 00:04:41.840]  重要的就是不會放棄向神來禱告
[00:04:41.840 --> 00:04:45.240]  所以現在你翻到八十六篇
[00:04:47.240 --> 00:04:48.440]  你再看第一節
[00:04:48.440 --> 00:04:51.240]  使人在開始的時候
[00:04:51.240 --> 00:04:54.200]  就這樣表明出他怎樣緊握著主
[00:04:54.200 --> 00:04:58.760]  緊握著主的「應許」不放手地祈求
[00:04:58.760 --> 00:05:02.640]  耶和華求祢留心聽我
[00:05:02.640 --> 00:05:03.640]  應運我
[00:05:03.640 --> 00:05:05.720]  因我是困苦貧窮的
[00:05:05.720 --> 00:05:06.920]  一路看下去
[00:05:06.920 --> 00:05:09.040]  求祢保護我的性命
[00:05:09.040 --> 00:05:10.000]  第三節
[00:05:10.000 --> 00:05:12.000]  主啊求祢恩待我
[00:05:12.000 --> 00:05:12.840]  第四節
[00:05:12.840 --> 00:05:16.120]  主啊求祢使你的僕人心裡歡喜
[00:05:16.120 --> 00:05:16.880]  第五節
[00:05:17.240 --> 00:05:19.080]  主啊祢是良善的
[00:05:19.080 --> 00:05:20.680]  我向祢呼求的
[00:05:20.680 --> 00:05:24.120]  祢一定以豐盛的慈愛待他們
[00:05:24.120 --> 00:05:26.320]  你一路讀的時候發覺
[00:05:26.320 --> 00:05:28.920]  這位詩人他很清楚看到
[00:05:28.920 --> 00:05:31.440]  就是主是他的幫助
[00:05:31.440 --> 00:05:35.960]  一路很熱誠地向神發出他尋求的心
[00:05:35.960 --> 00:05:38.800]  很懇切地表達出他的需要
[00:05:38.800 --> 00:05:40.520]  向神尋求
[00:05:40.520 --> 00:05:44.680]  而當他開始向神尋求的時候
[00:05:44.920 --> 00:05:48.840]  他首先表達出他自己那種真實的狀況
[00:05:48.840 --> 00:05:51.760]  他說我是困苦貧窮的
[00:05:51.760 --> 00:05:52.480]  第一節
[00:05:52.480 --> 00:05:54.360]  我是困苦的
[00:05:54.360 --> 00:05:57.240]  你知道這位作者是大衛
[00:05:57.240 --> 00:05:58.680]  大衛是君王
