
[00:00:00.000 --> 00:00:04.540]  今天的講題我用了聖誕崇拜的其中一個主題
[00:00:04.540 --> 00:00:09.000]  一個主題「我們這一家」成為一個引子
[00:00:09.000 --> 00:00:12.700]  你可能會說「聖誕崇拜都結束了」
[00:00:12.700 --> 00:00:18.120]  但我經常覺得聖誕崇拜的主題不單是一個主題
[00:00:18.120 --> 00:00:20.180]  而是帶給我們一個思想
[00:00:20.180 --> 00:00:23.580]  究竟我們這一家是什麼來的呢?
[00:00:23.580 --> 00:00:25.760]  對我們的意義是什麼來的呢?
[00:00:25.760 --> 00:00:29.980]  我打個比喻就好像一對新婚的夫婦
[00:00:29.980 --> 00:00:33.720]  踏入教堂,行完婚禮
[00:00:33.720 --> 00:00:35.620]  是不是婚姻已經完結呢?
[00:00:35.620 --> 00:00:38.220]  不是的,婚禮就已經完結了
[00:00:38.220 --> 00:00:40.020]  但他們怎樣去建立這個家庭
[00:00:40.020 --> 00:00:43.160]  是他們一生要去努力的事情
[00:00:43.160 --> 00:00:45.760]  前一個星期吳博士跟我們分享
[00:00:45.760 --> 00:00:49.940]  他說我們的家不是一個人侍奉的
[00:00:49.940 --> 00:00:51.900]  是整個家庭去侍奉
[00:00:51.900 --> 00:00:54.680]  整個群體一起去侍奉
[00:00:54.680 --> 00:00:56.940]  我們不是建立一個王國
[00:00:56.940 --> 00:00:59.140]  因為教會不是一間公司
[00:00:59.140 --> 00:01:02.120]  不需要看形式
[00:01:02.120 --> 00:01:03.680]  這個是神的家
[00:01:03.680 --> 00:01:06.920]  是我們每一個信徒的家
[00:01:06.920 --> 00:01:11.820]  不過今天很多家庭落在一些困難
[00:01:11.820 --> 00:01:17.400]  家庭帶給人很多傷害、很多破裂
[00:01:17.400 --> 00:01:18.740]  甚至有時覺得很遺憾
[00:01:18.740 --> 00:01:23.200]  有時在教會我們好像覺得不能倖免一樣
[00:01:23.200 --> 00:01:27.740]  但很盼望我們去思想我們這一家的時候
