
[00:00:00.000 --> 00:00:06.000]  好了 今天我們的社會都是相當強調身體健康的
[00:00:06.000 --> 00:00:10.000]  這幾天來那些 嘩 吃水是有玄的
[00:00:10.000 --> 00:00:12.000]  整個香港都緊張起來了
[00:00:12.000 --> 00:00:15.000]  這幾天新聞裏面很多都是這個報導
[00:00:15.000 --> 00:00:20.000]  今天這個世代其實都挺搞笑
[00:00:20.000 --> 00:00:25.000]  我們實在原則上今時今日是人類歷史當中
[00:00:25.000 --> 00:00:28.000]  最有科學和醫學常識的一代
[00:00:28.000 --> 00:00:30.000]  但不過亦都是一個時候
[00:00:30.000 --> 00:00:34.000]  我們對於疾病是極度驚慌的一個時期
[00:00:34.000 --> 00:00:36.000]  那時候我自己小時候
[00:00:36.000 --> 00:00:39.000]  很強調就是我們吃甚麼不吃甚麼
[00:00:39.000 --> 00:00:42.000]  我小時候吃那些梅林的貫餐肉大的各位
[00:00:42.000 --> 00:00:45.000]  午餐肉 現在都不敢吃的了
[00:00:45.000 --> 00:00:47.000]  吃甚麼不吃甚麼
[00:00:47.000 --> 00:00:51.000]  昨天內地就收到一個很有趣的健康的資訊
[00:00:51.000 --> 00:00:52.000]  最新都未聽的了
[00:00:52.000 --> 00:00:54.000]  就說你們不要吃豬肉
[00:00:54.000 --> 00:00:56.000]  因為那些豬是吃豬哨大的
[00:00:56.000 --> 00:00:58.000]  又不要吃雞肉
[00:00:58.000 --> 00:01:00.000]  雞是打針雞大的
[00:01:00.000 --> 00:01:01.000]  不要吃牛肉
[00:01:01.000 --> 00:01:03.000]  因為牛是有蜂牛症的
[00:01:03.000 --> 00:01:05.000]  那剩下的有甚麼可以吃
[00:01:05.000 --> 00:01:07.000]  魚 魚魚都不是
[00:01:07.000 --> 00:01:10.000]  有很多甘素 特別是那些貴的那些
[00:01:10.000 --> 00:01:12.000]  那剩下的甚麼可以吃
[00:01:12.000 --> 00:01:14.000]  剩下的羊可以吃
[00:01:14.000 --> 00:01:16.000]  那些呢
[00:01:16.000 --> 00:01:18.000]  因為是吃草的
[00:01:18.000 --> 00:01:19.000]  那時候就健康
[00:01:19.000 --> 00:01:22.000]  想著想著 什麼都不用吃了
[00:01:22.000 --> 00:01:25.000]  遲些不知道輪不輪到我們要吃草都未定了
[00:01:25.000 --> 00:01:27.000]  沙律都是草
[00:01:27.000 --> 00:01:29.000]  都是菜
[00:01:29.000 --> 00:01:32.000]  但今天家庭的健康又如何呢
[00:01:32.000 --> 00:01:35.000]  我們又有多體重呢
[00:01:35.000 --> 00:01:38.000]  我們昨天會不會我們的社會
[00:01:38.000 --> 00:01:41.000]  在那個家庭健康的方向走迷了路呢
[00:01:41.000 --> 00:01:43.000]  經常都聽到那些人說
[00:01:43.000 --> 00:01:46.000]  要贏再起跑線
[00:01:46.000 --> 00:01:47.000]  嘩 即是怎樣
[00:01:47.000 --> 00:01:49.000]  個個都在競爭 競爭得很厲害
[00:01:49.000 --> 00:01:51.000]  在我居住的地方
[00:01:51.000 --> 00:01:55.000]  經常都聽到一些不閒不談的英文
[00:01:55.000 --> 00:01:57.000]  在周圍在講
[00:01:57.000 --> 00:01:59.000]  那我就想 是不是那些外傭來的呢
[00:01:59.000 --> 00:02:01.000]  轉頭看看 原來不是
[00:02:01.000 --> 00:02:05.000]  是那些不閒不談的廣東人的爸爸媽媽
[00:02:05.000 --> 00:02:07.000]  跟那些小朋友講英文的
[00:02:07.000 --> 00:02:09.000]  多過講中文的
