
[00:00:00.000 --> 00:00:06.000]  各位弟兄姊妹,平安,我們開始的時候,我們先來一個禱告。
[00:00:06.000 --> 00:00:13.000]  主耶穌,我們很感謝祢,因為祢每個星期都藉著聖經來跟我們講說話,
[00:00:13.000 --> 00:00:20.000]  跟我們把祢的話語放在我們的心裡面,特別是要我們時刻都能夠記住,
[00:00:20.000 --> 00:00:26.000]  祢是導誠肉身來到我們中間,並且賜給我們一條愛的命令,
[00:00:27.000 --> 00:00:36.000]  祢的愛是不像世人的愛,求祢使我們能夠明白,並且懂得將祢的愛能夠實行出來,
[00:00:36.000 --> 00:00:41.000]  禱告奉主耶穌基督的聖名,阿們。
[00:00:41.000 --> 00:00:52.000]  大家都知道我們澳洲有一個五仙的硬幣,一面是女皇的頭像,
[00:00:53.000 --> 00:01:07.000]  而另一面是澳洲的國徽,大家一定知道硬幣一定是需要同時有兩面的,
[00:01:07.000 --> 00:01:18.000]  我們不能夠只選一面而不選另外一面,就算我們把它磨了一面,
[00:01:19.000 --> 00:01:23.000]  那就不是硬幣了,這個可能是一個假幣。
[00:01:23.000 --> 00:01:28.000]  今天我們所讀的這段經文,其實耶穌都是告訴我們同一個道理,
[00:01:28.000 --> 00:01:36.000]  我們愛神,一定是需要愛人,耶穌是神,祂也是人。
[00:01:36.000 --> 00:01:45.000]  我會分三個部份跟大家一起探討這些問題,並且講講他們之間的關係。
[00:01:46.000 --> 00:01:55.000]  首先我們看看愛神和愛人,在常文中,先後有希律黨人和撒都該人,
[00:01:55.000 --> 00:02:02.000]  跟耶穌說有關聖經的問題,而這次就輪到法利塞人,
[00:02:02.000 --> 00:02:09.000]  他更找來了一些叫做律法師的人來,就是說對聖經有研究的學者,
[00:02:10.000 --> 00:02:18.000]  大家都知道以色列的律法是有很多的,除了十戒之外,還有摩西的法典,
[00:02:18.000 --> 00:02:24.000]  猶太人更加將它演繹成為613條這麼多,
[00:02:24.000 --> 00:02:33.000]  而在宗教領袖之間,他們更加會為了哪一條律法是最大,來發生爭論。
[00:02:34.000 --> 00:02:40.000]  但是大家都知道,律法即使是犯了一條,其實也是犯了全部的,
[00:02:40.000 --> 00:02:45.000]  因為每一條其實都有同等的約束力。
[00:02:45.000 --> 00:02:53.000]  所以其實這個法利塞人是試圖誘使耶穌來跟他陷入一個口舌之爭,
[00:02:53.000 --> 00:03:02.000]  於是律法師就來問耶穌,律法上的誡命中哪一條是最大的呢?
[00:03:03.000 --> 00:03:10.000]  耶穌的回答是非常明確的,他更加引用了生命記第六章第五節那裡說到,
[00:03:10.000 --> 00:03:16.000]  祂說你要盡心盡性盡力愛耶和華,你的神。
[00:03:16.000 --> 00:03:22.000]  這句其實是猶太人一個示馬來的,
[00:03:22.000 --> 00:03:28.000]  他們將生命記第六章第四至九節變成了一句,
[00:03:29.000 --> 00:03:35.000]  好像我們剛才讀的《尼西亞信經》那樣。
[00:03:35.000 --> 00:03:43.000]  而希伯雷文的「示馬」這個字,就是說「聽」的意思,
[00:03:43.000 --> 00:03:48.000]  其實是一句命令的語句來的,叫我們要「聽從」。
[00:03:48.000 --> 00:03:57.000]  所以虔誠的猶太人,他們每一天早晚都要背誦這一節的經文,
[00:03:58.000 --> 00:04:07.000]  表明百姓應該要記得,並且要專一的愛神,全心全意,毫無保留,忠心獻上自己。
[00:04:07.000 --> 00:04:15.000]  心中他們不應該有其他的東西,是與神同等,或者是高過神。
[00:04:15.000 --> 00:04:23.000]  他更加要將這段經文帶在額上,並且纏在手上,
[00:04:24.000 --> 00:04:30.000]  寫在門腔上,以及教導他的兒女去遵守。
[00:04:30.000 --> 00:04:37.000]  所以神樂家就指出,心是最先在這句話裡面提出來的。
[00:04:37.000 --> 00:04:40.000]  那心是代表什麼呢?
[00:04:40.000 --> 00:04:45.000]  是代表著理性、情感的所在,尤其是愛。
[00:04:45.000 --> 00:04:50.000]  然後輪到「性」了,我的中文翻譯得可能不是那麼好,
[00:04:51.000 --> 00:04:57.000]  英文是「soul」,希伯來文是「nafesh」。
[00:04:57.000 --> 00:05:03.000]  是指人的整體,當然是包括身體和靈魂。
[00:05:03.000 --> 00:05:13.000]  所以愛是需要整個人的身體和自我意識等等去愛的。
