
[00:00:00.000 --> 00:00:03.360]  弟兄姊妹,今天和大家分享的題目是
[00:00:03.360 --> 00:00:06.160]  讓愛與平安佔領你心
[00:00:06.160 --> 00:00:10.400]  在聖經裡講愛的時候
[00:00:10.400 --> 00:00:13.120]  特別是在艱難、困苦的環境
[00:00:13.120 --> 00:00:16.680]  聖經講愛從來都不是reactive
[00:00:16.680 --> 00:00:18.360]  而是poetic
[00:00:18.360 --> 00:00:19.360]  什麼是reactive呢?
[00:00:19.360 --> 00:00:21.120]  reactive是一種本能的反應
[00:00:21.120 --> 00:00:21.960]  順流的反應
[00:00:21.960 --> 00:00:22.960]  當環境是這樣的時候
[00:00:22.960 --> 00:00:25.760]  我會即時採取一種自然的反應
[00:00:25.760 --> 00:00:27.920]  但poetic就很不同了
[00:00:27.920 --> 00:00:30.720]  它是相反的逆流的反應
[00:00:30.720 --> 00:00:35.680]  在逆著環境主動作出很積極正面的回應
[00:00:35.680 --> 00:00:37.000]  舉一個例子
[00:00:37.000 --> 00:00:39.720]  以前在網上收到這樣的故事
[00:00:39.720 --> 00:00:43.600]  有個家庭有先生、太太和一個小朋友
[00:00:43.600 --> 00:00:44.960]  故事發生一早上
[00:00:44.960 --> 00:00:47.400]  先生很忙的要趕著出門口
[00:00:47.400 --> 00:00:49.920]  經過客廳見到一瓶藥水放在桌面裡
[00:00:49.920 --> 00:00:51.160]  馬上提醒太太
[00:00:51.160 --> 00:00:53.200]  記住要收好這瓶藥水
[00:00:53.200 --> 00:00:54.200]  不要給小朋友吃
[00:00:54.200 --> 00:00:55.800]  否則就很危險了
[00:00:55.800 --> 00:00:56.640]  太太回應了一聲
[00:00:56.640 --> 00:00:57.920]  「是呀,知道了」
[00:00:57.920 --> 00:01:00.080]  先生就趕著去上班
[00:01:00.080 --> 00:01:01.600]  太太完成工作的時候
[00:01:01.600 --> 00:01:02.320]  走到客廳的時候
[00:01:02.320 --> 00:01:03.920]  發現不見了一瓶藥水
[00:01:03.920 --> 00:01:05.600]  看到小朋友躺在地上
[00:01:05.600 --> 00:01:06.640]  藥水瓶在旁邊
[00:01:06.640 --> 00:01:08.680]  就知道他喝光了這些藥水
[00:01:08.680 --> 00:01:09.480]  就很害怕了
[00:01:09.480 --> 00:01:11.640]  馬上送他去醫院
[00:01:11.640 --> 00:01:13.520]  但是去到醫院
[00:01:13.520 --> 00:01:14.600]  經過搶救之後
[00:01:14.600 --> 00:01:16.680]  醫生說救不回這個小朋友
[00:01:16.680 --> 00:01:18.200]  太太就大哭
[00:01:18.200 --> 00:01:20.320]  先生也收到這個消息的時候
[00:01:20.320 --> 00:01:21.840]  也趕到他現場
[00:01:21.840 --> 00:01:24.320]  但知道兒子死了
[00:01:24.320 --> 00:01:25.720]  太太在哭的時候
[00:01:25.720 --> 00:01:27.720]  他就走向太太
[00:01:27.720 --> 00:01:29.640]  然後跟太太說
[00:01:29.640 --> 00:01:31.720]  「你猜先生說了些什麼」
[00:01:31.720 --> 00:01:33.120]  如果這個先生是用一種
[00:01:33.120 --> 00:01:34.320]  反應的反應
[00:01:34.320 --> 00:01:35.600]  他可能會大罵
[00:01:35.600 --> 00:01:37.280]  「我這麼早就告訴你
[00:01:37.280 --> 00:01:39.480]  要好好收好這個藥水瓶
[00:01:39.480 --> 00:01:40.560]  為什麼你不聽呢」
[00:01:40.560 --> 00:01:42.960]  現在導致這樣的結果
[00:01:42.960 --> 00:01:45.280]  但是故事的先生
[00:01:45.280 --> 00:01:47.040]  他的反應不是這樣
[00:01:47.040 --> 00:01:48.080]  故事的先生
[00:01:48.080 --> 00:01:49.640]  他走到太太面前
[00:01:49.640 --> 00:01:53.080]  他用一個很積極的態度來回應
[00:01:53.080 --> 00:01:54.960]  他抱著太太
[00:01:54.960 --> 00:01:56.240]  跟太太說
[00:01:56.240 --> 00:01:57.720]  「我愛你,親愛的」
[00:01:57.720 --> 00:01:59.720]  「我愛你,太太」
[00:01:59.720 --> 00:02:02.040]  這個就是一個積極的愛
[00:02:02.040 --> 00:02:03.440]  在這樣的環境裡
[00:02:03.440 --> 00:02:05.880]  本來人是很積極的
[00:02:05.880 --> 00:02:06.920]  會馬上罵人
[00:02:06.920 --> 00:02:09.720]  但是他作出一個很積極的反應
[00:02:09.720 --> 00:02:11.200]  來擁抱太太
[00:02:11.200 --> 00:02:14.920]  因為大家都是在一個傷心裡面
[00:02:14.920 --> 00:02:16.880]  面對今天的疫情
[00:02:16.880 --> 00:02:18.120]  疫症流行的時候
[00:02:18.120 --> 00:02:19.520]  很艱難的時候
[00:02:19.520 --> 00:02:20.520]  作為基督徒裡面
[00:02:20.520 --> 00:02:23.840]  我們很需要有這種積極的態度
[00:02:23.840 --> 00:02:26.200]  特別是今天口罩很缺乏
[00:02:26.200 --> 00:02:27.640]  很多人很積極的反應
[00:02:27.640 --> 00:02:30.800]  就是四處排隊搶購這些口罩
[00:02:30.800 --> 00:02:31.480]  但是作為基督徒
[00:02:31.480 --> 00:02:33.040]  我們積極的態度
[00:02:33.040 --> 00:02:34.440]  我們是逆流的
[00:02:34.440 --> 00:02:36.360]  我們不可以過度慌張
[00:02:36.360 --> 00:02:37.760]  反而我們都覺得
[00:02:37.760 --> 00:02:38.960]  如果我們有的時候
[00:02:38.960 --> 00:02:39.880]  足夠就OK
[00:02:39.880 --> 00:02:41.240]  並且覺得有需要
[00:02:41.240 --> 00:02:43.400]  還要跟其他人分享
[00:02:43.400 --> 00:02:45.320]  這就是積極的
[00:02:45.320 --> 00:02:48.960]  聖經裡面
[00:02:48.960 --> 00:02:51.400]  耶穌基督都做了一個榜樣
[00:02:51.400 --> 00:02:54.200]  一個積極的愛的榜樣
[00:02:54.200 --> 00:02:56.120]  當人犯了罪的時候
[00:02:56.120 --> 00:02:58.280]  神都可以很積極的回應人
[00:02:58.280 --> 00:02:59.880]  「刑罰人,你又犯了罪」
[00:02:59.880 --> 00:03:01.440]  這就是積極的
[00:03:01.440 --> 00:03:02.200]  但是聖經記載
[00:03:02.200 --> 00:03:04.240]  「神愛世人」
[00:03:04.240 --> 00:03:06.760]  耶穌用一個積極的反應
[00:03:06.760 --> 00:03:07.880]  就是愛我們
[00:03:07.880 --> 00:03:09.200]  願意來到人間
[00:03:09.200 --> 00:03:11.600]  來擔當我們的責任
[00:03:11.600 --> 00:03:14.000]  承擔我們的罪責
[00:03:14.000 --> 00:03:15.320]  所以看到耶穌基督
[00:03:15.320 --> 00:03:19.360]  都成為一個積極的愛的榜樣
[00:03:19.360 --> 00:03:20.920]  初期教會的基督徒
[00:03:20.920 --> 00:03:23.040]  也都作了一個美好的見證
[00:03:23.040 --> 00:03:27.080]  怎樣將一個很積極的愛在當中
[00:03:27.080 --> 00:03:28.520]  余達新博士
[00:03:28.520 --> 00:03:31.760]  前中國神學院研究院院長
[00:03:31.760 --> 00:03:35.680]  他寫了一本書叫《基督教發展史申釋》
[00:03:35.680 --> 00:03:36.600]  在當中裡邊
[00:03:36.600 --> 00:03:40.760]  他引用當時一個不是基督徒的歷史學家
[00:03:40.760 --> 00:03:42.600]  叫做吉群·艾瓦潔伯
[00:03:42.600 --> 00:03:46.080]  他寫了一本書叫《羅馬帝國衰亡史》
[00:03:46.080 --> 00:03:48.040]  在裡面用了不少篇幅描述
[00:03:48.040 --> 00:03:50.960]  基督教在當時裡邊有很蓬勃的發展
[00:03:50.960 --> 00:03:52.880]  其中有五個原因
[00:03:52.880 --> 00:03:57.000]  令到當時的人很願意加入基督,做基督徒
[00:03:57.000 --> 00:03:57.960]  第五個原因
[00:03:57.960 --> 00:04:00.720]  他說當時基督徒的團體生活
[00:04:00.720 --> 00:04:03.200]  團體生活是很吸引人
[00:04:03.200 --> 00:04:05.120]  大家平等而左
[00:04:05.120 --> 00:04:06.360]  分享愛意
[00:04:06.360 --> 00:04:08.840]  甚至有些人願意變賣家產
[00:04:08.840 --> 00:04:12.520]  去分給那些貧窮的人
[00:04:12.520 --> 00:04:14.520]  在裡面他記載了一件事
[00:04:14.520 --> 00:04:16.760]  發生在公元263年
[00:04:16.760 --> 00:04:20.600]  亞歷山大這個城市裡面有一場瘟疫發生
[00:04:20.600 --> 00:04:23.120]  當中的描述是這樣
