
[00:00:00.000 --> 00:00:02.000]  各位兄弟姐妹 平安
[00:00:02.000 --> 00:00:07.000]  算俗言 大家在新的一年
[00:00:07.000 --> 00:00:09.000]  是每天愛著多一些
[00:00:09.000 --> 00:00:13.000]  每天經歷更加多的神的恩典
[00:00:13.000 --> 00:00:19.000]  每天 新心靈都更加健壯 為主使用
[00:00:19.000 --> 00:00:23.000]  剛過去的一個聖誕節
[00:00:23.000 --> 00:00:25.000]  不知道你有沒有出去報佳音呢?
[00:00:25.000 --> 00:00:27.000]  有沒有?
[00:00:27.000 --> 00:00:33.000]  有沒有領人回來參加我們的報道會呢?
[00:00:33.000 --> 00:00:35.000]  有沒有?
[00:00:35.000 --> 00:00:39.000]  做各樣的事呢?
[00:00:39.000 --> 00:00:43.000]  不過無論你有做或沒有做
[00:00:43.000 --> 00:00:45.000]  我們應該都很清楚
[00:00:45.000 --> 00:00:48.000]  聖誕節就是提醒我們
[00:00:48.000 --> 00:00:52.000]  幫助我們去紀念主耶穌基督的降生
[00:00:52.000 --> 00:00:54.000]  主耶穌基督的降生
[00:00:54.000 --> 00:01:01.000]  是打開了為世人預備的救恩計劃
[00:01:01.000 --> 00:01:05.000]  今天開始的新一輪
[00:01:05.000 --> 00:01:07.000]  馬學福音的講道系列
[00:01:07.000 --> 00:01:09.000]  可以說是延續篇
[00:01:09.000 --> 00:01:12.000]  因為馬學福音的技術
[00:01:12.000 --> 00:01:15.000]  不是耶穌基督的降生
[00:01:15.000 --> 00:01:17.000]  不是祂的成長
[00:01:17.000 --> 00:01:20.000]  卻是耶穌基督的公開侍奉
[00:01:20.000 --> 00:01:25.000]  展開救贖罪人的傳福音、傳道的工作
[00:01:25.000 --> 00:01:27.000]  如果你看馬學福音
[00:01:27.000 --> 00:01:31.000]  你會發覺它是一本充滿動態方式
[00:01:31.000 --> 00:01:35.000]  寄述耶穌所作、所說的話
[00:01:35.000 --> 00:01:37.000]  長篇大論的講章
[00:01:37.000 --> 00:01:39.000]  在其他福音書很多
[00:01:39.000 --> 00:01:43.000]  馬學福音只有一至兩篇
[00:01:43.000 --> 00:01:46.000]  馬學筆下的馬學福音
[00:01:46.000 --> 00:01:48.000]  所記錄的耶穌基督
[00:01:48.000 --> 00:01:55.000]  是日以繼夜、很忙碌的侍奉神
[00:01:55.000 --> 00:01:57.000]  舉個例子
[00:01:57.000 --> 00:01:59.000]  好像一章三十二節
[00:01:59.000 --> 00:02:02.000]  講到耶穌日以繼夜傳道
[00:02:02.000 --> 00:02:03.000]  日落了
[00:02:03.000 --> 00:02:08.000]  耶穌基督還掛在那裡為人治病、趕鬼
[00:02:08.000 --> 00:02:12.000]  接著三十五節就講到第二章
[00:02:12.000 --> 00:02:14.000]  天還沒亮
[00:02:14.000 --> 00:02:17.000]  耶穌就起來作第二種的侍奉
[00:02:17.000 --> 00:02:20.000]  去曠野祈禱
[00:02:20.000 --> 00:02:26.000]  三章二十節就講到耶穌的侍奉是忙到廢寢忘餐
[00:02:26.000 --> 00:02:28.000]  連吃飯的時間都沒有
[00:02:28.000 --> 00:02:31.000]  種種的描寫
[00:02:31.000 --> 00:02:33.000]  其實就是讓我們看到
