
[00:00:00.000 --> 00:00:02.600]  今天是一年一度的母親節
[00:00:02.600 --> 00:00:07.800]  對我來說,母親節是一個慶賀愛的日子
[00:00:07.800 --> 00:00:10.000]  所以和每一個人都有關係
[00:00:10.000 --> 00:00:15.200]  身體直象,地上不同的人、角色
[00:00:15.200 --> 00:00:19.000]  在愛當中,讓我們明白何謂愛
[00:00:19.000 --> 00:00:21.000]  亦都見到愛在人間
[00:00:21.000 --> 00:00:25.200]  所以透過母親的愛,教養下一代
[00:00:25.200 --> 00:00:28.000]  我見到很多的下一代都活得更加精彩
[00:00:28.000 --> 00:00:33.000]  正如我經常和其他的下一代說
[00:00:33.000 --> 00:00:36.000]  你們比我們更加精彩
[00:00:36.000 --> 00:00:41.000]  有本書我上次講道時和大家分享過
[00:00:41.000 --> 00:00:44.000]  很多朋友都很有興趣
[00:00:44.000 --> 00:00:47.000]  我想遲些書室應該有得賣
[00:00:47.000 --> 00:00:50.000]  有位同工問我借來看
[00:00:50.000 --> 00:00:53.000]  他在地鐵時和丈夫分享
[00:00:53.000 --> 00:00:55.000]  當他一二一讀出來
[00:00:55.000 --> 00:00:59.000]  他說發現周圍的人都靜下來聽他讀出
[00:00:59.000 --> 00:01:03.000]  原來愛是很有吸引力的
[00:01:03.000 --> 00:01:09.000]  當我們散播愛,我們就見到神在我們當中
[00:01:09.000 --> 00:01:14.000]  有我再分享這本書,和大家看看何謂愛
[00:01:14.000 --> 00:01:16.000]  這裏說
[00:01:16.000 --> 00:01:21.000]  愛是看見,愛是當媽媽叫我和妹妹玩
[00:01:21.000 --> 00:01:24.000]  雖然我已經很累了,但我都願意
[00:01:25.000 --> 00:01:28.000]  愛是雖然我喜歡的小火車
[00:01:28.000 --> 00:01:32.000]  但弟弟想玩,我就讓他先玩
[00:01:32.000 --> 00:01:36.000]  愛是雖然我見到我的同學
[00:01:36.000 --> 00:01:38.000]  他的功課比我好,跑步比我快
[00:01:38.000 --> 00:01:42.000]  玩具比我多,衣服比我漂亮,屋子比我大
[00:01:42.000 --> 00:01:46.000]  但我都不會生氣或難過
[00:01:46.000 --> 00:01:49.000]  愛是當我這次考試拿到一百分
[00:01:49.000 --> 00:01:53.000]  但我不會不停告訴別人我是天下第一
[00:01:53.000 --> 00:01:56.000]  我真的無敵,最了不起
[00:01:56.000 --> 00:02:03.000]  愛是當我把我的房間收拾得很整齊
[00:02:03.000 --> 00:02:06.000]  我不會裝聰明地向隔壁房間的弟弟說
[00:02:06.000 --> 00:02:08.000]  你真的沒用
[00:02:08.000 --> 00:02:12.000]  愛是當我看到很想吃的糖果
[00:02:12.000 --> 00:02:16.000]  雖然我沒有錢買,但我都不會偷來吃
[00:02:16.000 --> 00:02:21.000]  愛是有同學叫我幫忙作弊
[00:02:21.000 --> 00:02:23.000]  並且送我一輛小火車
[00:02:23.000 --> 00:02:28.000]  但我都不會答應他,因為不義的事我不會做
[00:02:28.000 --> 00:02:31.000]  愛是像這幾天我們下雨一樣
[00:02:31.000 --> 00:02:33.000]  和你所愛的人一起擔枕
[00:02:33.000 --> 00:02:37.000]  就算自己濕了一半身都不要緊
[00:02:37.000 --> 00:02:42.000]  愛是雖然放學後老師沒有看到,沒有獎勵
[00:02:42.000 --> 00:02:46.000]  但當同學邀請我一起擔椅,我都願意
[00:02:46.000 --> 00:02:49.000]  愛是當妹妹搶了我的玩具玩
[00:02:49.000 --> 00:02:51.000]  我不會馬上生氣或打她
[00:02:51.000 --> 00:02:56.000]  我會等她玩完,再拿回來給自己玩
[00:02:56.000 --> 00:03:01.000]  愛是不再負你從前或到現在
[00:03:01.000 --> 00:03:03.000]  那些對不起我的事
[00:03:03.000 --> 00:03:06.000]  我會將那些事丟進垃圾桶
[00:03:06.000 --> 00:03:08.000]  永遠不再紀念
[00:03:08.000 --> 00:03:12.000]  愛是不喜歡看到大朋友欺負小朋友
[00:03:12.000 --> 00:03:14.000]  因為是不公義的
[00:03:14.000 --> 00:03:17.000]  愛是喜歡真實的事
[00:03:17.000 --> 00:03:20.000]  不喜歡說謊和虛假的事
[00:03:20.000 --> 00:03:24.000]  愛是雖然我弟弟的便便很臭
[00:03:24.000 --> 00:03:28.000]  但我都很願意幫他拉馬桶
[00:03:28.000 --> 00:03:33.000]  愛是哥哥今天對我的臉色不是很好
[00:03:33.000 --> 00:03:35.000]  不過我沒有怪他
[00:03:35.000 --> 00:03:38.000]  我想或許他在學校被老師罵
[00:03:38.000 --> 00:03:40.000]  或許他肚子痛
[00:03:40.000 --> 00:03:44.000]  愛是相信很多美好的事物
[00:03:45.000 --> 00:03:48.000]  愛是時時有一個想法在心裏
[00:03:48.000 --> 00:03:52.000]  就是一切都會越來越好
[00:03:52.000 --> 00:03:57.000]  愛是很多事情不會急到忍不住
[00:03:57.000 --> 00:04:00.000]  我拿去學習,等再等
[00:04:00.000 --> 00:04:04.000]  愛是永遠不會失敗
[00:04:04.000 --> 00:04:06.000]  永遠不會落空,永遠不會結束
[00:04:06.000 --> 00:04:09.000]  也永遠不會用完的
[00:04:09.000 --> 00:04:11.000]  愛是最偉大
[00:04:11.000 --> 00:04:13.000]  所以當我甚麼都沒有
[00:04:13.000 --> 00:04:15.000]  但如果我有愛
[00:04:15.000 --> 00:04:17.000]  我就有了全部
[00:04:17.000 --> 00:04:21.000]  所以當你愛我的時候
[00:04:21.000 --> 00:04:23.000]  你記住告訴我
[00:04:23.000 --> 00:04:25.000]  而當我愛你的時候
[00:04:25.000 --> 00:04:26.000]  我一定會告訴你
[00:04:26.000 --> 00:04:29.000]  我們就是這樣愛來愛去
[00:04:29.000 --> 00:04:32.000]  一直到永永遠遠
[00:04:32.000 --> 00:04:34.000]  我愛你
[00:04:34.000 --> 00:04:40.000]  小朋友能夠有這麼美好的愛
[00:04:41.000 --> 00:04:44.000]  很多時候是因為我們家裏
[00:04:44.000 --> 00:04:47.000]  有愛的維繫
[00:04:47.000 --> 00:04:49.000]  今天母親節
[00:04:49.000 --> 00:04:52.000]  我想代表教會
[00:04:52.000 --> 00:04:54.000]  代表每一個鼎姐妹
[00:04:54.000 --> 00:04:55.000]  在當中
[00:04:55.000 --> 00:04:57.000]  很想再一次謝謝
[00:04:57.000 --> 00:04:59.000]  在我們當中每一個母親
[00:04:59.000 --> 00:05:01.000]  鼎姐妹
[00:05:01.000 --> 00:05:03.000]  我們為這班母親禱告好嗎
[00:05:03.000 --> 00:05:07.000]  我們一起為這班母親禱告
[00:05:09.000 --> 00:05:11.000]  順帶你每一個侍女站在你面前
[00:05:11.000 --> 00:05:13.000]  何等榮耀
[00:05:13.000 --> 00:05:14.000]  何等尊崇
[00:05:14.000 --> 00:05:17.000]  多謝主呼召這班姐妹
[00:05:17.000 --> 00:05:20.000]  來到這個神聖的壇前
[00:05:20.000 --> 00:05:22.000]  領受這個母親的積分
[00:05:22.000 --> 00:05:24.000]  我不負多謝你揀選她們
[00:05:24.000 --> 00:05:25.000]  呼召她們
[00:05:25.000 --> 00:05:28.000]  並且加能賜力給她們
[00:05:28.000 --> 00:05:30.000]  下次我們見到的
[00:05:30.000 --> 00:05:31.000]  每一個母親那種的榮美
[00:05:31.000 --> 00:05:35.000]  她們頭上都帶著很美好的冠冕
[00:05:35.000 --> 00:05:37.000]  順帶我們感謝你
[00:05:38.000 --> 00:05:39.000]  感謝你
[00:05:39.000 --> 00:05:40.000]  感謝你
[00:05:40.000 --> 00:05:41.000]  為她們所做的一切
[00:05:41.000 --> 00:05:42.000]  願你堅諾她們
[00:05:42.000 --> 00:05:44.000]  為她們心靈裡懷抱的一切
[00:05:44.000 --> 00:05:46.000]  願你滿足她們
[00:05:46.000 --> 00:05:47.000]  為她們心所愛的
[00:05:47.000 --> 00:05:49.000]  上帝願你給她們所得的
[00:05:49.000 --> 00:05:52.000]  能夠比她們所想像的更豐盈
[00:05:52.000 --> 00:05:54.000]  因為神你是賜豐盛的主
[00:05:54.000 --> 00:05:57.000]  求主安慰她們的心
[00:05:57.000 --> 00:05:59.000]  求主加珍她們的體力
[00:05:59.000 --> 00:06:00.000]  求主給她們平安
[00:06:00.000 --> 00:06:03.000]  求主滿足她們每一個心懷
[00:06:03.000 --> 00:06:05.000]  上帝願你在她們生命所作的功勞
[00:06:05.000 --> 00:06:07.000]  在她們一生裡
[00:06:07.000 --> 00:06:09.000]  你能夠讓她們見到果效
[00:06:09.000 --> 00:06:11.000]  你讓她們能夠在主面前說
[00:06:11.000 --> 00:06:13.000]  上帝我走過這段路
[00:06:13.000 --> 00:06:14.000]  我愛過這段路
[00:06:14.000 --> 00:06:15.000]  是值得的
[00:06:15.000 --> 00:06:16.000]  是榮耀
[00:06:16.000 --> 00:06:17.000]  感謝耶穌
[00:06:17.000 --> 00:06:19.000]  我知道你要榮耀
[00:06:19.000 --> 00:06:21.000]  你親自要榮耀每一個姐妹
[00:06:21.000 --> 00:06:23.000]  並且藉著她們去榮耀你
[00:06:23.000 --> 00:06:24.000]  上帝將榮耀
[00:06:24.000 --> 00:06:25.000]  將讚美
[00:06:25.000 --> 00:06:27.000]  將她們每一個家托給你
[00:06:27.000 --> 00:06:29.000]  讓她們的家都見到亮光
[00:06:29.000 --> 00:06:31.000]  讚美你奉耶穌你得勝的名球
[00:06:31.000 --> 00:06:33.000]  母親你的名字是尊貴
[00:06:33.000 --> 00:06:36.000]  每一個姐妹都配得這個稱呼
[00:06:37.000 --> 00:06:38.000]  是一位尊貴的你
[00:06:38.000 --> 00:06:41.000]  有一個研究反映廣東省大城市
[00:06:41.000 --> 00:06:44.000]  任職管理階層的一個女性的狀況
[00:06:44.000 --> 00:06:47.000]  這是2000年的一個統計
