
[00:00:00.000 --> 00:00:05.500]  好,今天我們要繼續我們的旅程,我們會進入另外一本書。
[00:00:05.500 --> 00:00:13.000]  在進入另外一本書的時候,其實非常重要的就是記得前面的書到底說過什麼東西。
[00:00:13.000 --> 00:00:19.300]  當然我們的讀經計劃也不單只是看每一本書的一些歷史背景,
[00:00:19.300 --> 00:00:26.500]  更重要的是看見其實背後所有的東西都是指向主耶穌基督的。
[00:00:28.000 --> 00:00:34.800]  整本聖經的開始是《摩西五經》,這《摩西五經》可以說是一個非常重要的根基。
[00:00:34.800 --> 00:00:41.100]  我們千萬不要在讀到後面的時候忘記前面到底講過什麼東西。
[00:00:41.100 --> 00:00:46.200]  所以我想很快跟大家再回去看看《摩西五經》。
[00:00:46.200 --> 00:00:50.700]  《創世紀》講到創造、墮落、救贖的、散不去。
[00:00:50.700 --> 00:00:58.500]  《出埃及記》是《偶像之家》的逃生記,《立位記》是講到當上帝把他們拯救出來,
[00:00:58.500 --> 00:01:04.700]  聖潔的上帝如何可以跟帶着罪惡不潔淨的人可以相交。
[00:01:04.700 --> 00:01:11.300]  然後在《依昧記》裏面上帝預備了很多的禮儀,很多的一些祭祀,
[00:01:11.300 --> 00:01:16.100]  一個什麼獻祭來讓我們可以跟祂相交。
[00:01:16.100 --> 00:01:21.000]  在中間,這個祭祀、立位的工作非常重要,
[00:01:21.000 --> 00:01:23.300]  他們是要保守上帝的聖潔。
[00:01:23.300 --> 00:01:29.400]  他也是在保守上帝的聖潔的過程裏面,其實他也在保守我們的安全。
[00:01:29.400 --> 00:01:36.300]  這個是立位記的一箇中心,是聖潔、君王、保衛師。
[00:01:36.300 --> 00:01:40.100]  繼續下去就講到他們在曠野的故事。
[00:01:40.100 --> 00:01:47.400]  可惜,雖然上帝在出了埃及之後那一年把自己的聖潔啓示給他們聽,
[00:01:47.400 --> 00:01:50.300]  但是他們從來沒有把它放在心裏面,
[00:01:50.300 --> 00:01:58.000]  於是他在曠野四十年裏面不斷地去叛亂、叛逆上帝。
[00:01:58.000 --> 00:02:00.600]  這是民宿紀的故事。
[00:02:00.600 --> 00:02:08.200]  到了四十年之後,摩西在摩亞平原跟他們講最後的他的遺言,
[00:02:08.200 --> 00:02:12.400]  他最後的講道,總結四十年的經驗,
[00:02:12.400 --> 00:02:18.700]  鼓勵他們在進入迦南的時候必須要領受心裏面的割離,
[00:02:18.700 --> 00:02:24.300]  以致他們可以全能盡心儘性、盡一愛上帝。
[00:02:24.300 --> 00:02:30.800]  所有的東西其實不單只是一個歷史的故事,更是指向主耶穌基督。
[00:02:30.800 --> 00:02:35.100]  好,之後在進入迦南的過程裏面,
[00:02:35.100 --> 00:02:43.000]  我們看到摩西把他的領袖的地位傳給了約蘇亞。
[00:02:43.000 --> 00:02:48.400]  約蘇亞記,我們可以這樣說是書見恩仇進迦南。
[00:02:48.400 --> 00:02:52.100]  這個書是講到,這律法書不可以離開你的口,
[00:02:52.100 --> 00:02:58.900]  這個律法書是講到摩西五經,尤其是聖命記,摩西的遺言。
[00:02:58.900 --> 00:03:05.500]  在當中,他們要帶着這本書,帶着上帝的話語去打一場聖戰,
[00:03:05.500 --> 00:03:10.800]  所以是書見,在當中有上帝恩典,我們看到拉匣的故事,
[00:03:10.800 --> 00:03:20.100]  也有要上帝通過以色列人去審判那些在迦南里面的那些民族,
[00:03:20.100 --> 00:03:27.300]  那些非常暴力、非常黑暗、非常邪惡的民族,
[00:03:27.300 --> 00:03:29.100]  總的是進迦南。
[00:03:29.100 --> 00:03:33.000]  前兩個禮拜我們一直在讀,進了迦南之後又怎麼樣呢?
[00:03:33.000 --> 00:03:34.300]  原來一點都不好。
[00:03:34.300 --> 00:03:38.400]  進了迦南之後,他們進入一個非常混亂的時代。
[00:03:38.400 --> 00:03:45.400]  我們可以把十世紀跟路德紀說爲是亂世、逝世、正救主,
[00:03:45.400 --> 00:03:49.700]  在尋找一個真的救主。
[00:03:49.700 --> 00:03:52.700]  如果你記得這個四世紀的故事,
[00:03:52.700 --> 00:03:57.500]  無論是他們的逝世或者是以色列人,
[00:03:57.500 --> 00:04:02.100]  他們是在做自己眼睛看爲對的事情,
[00:04:02.100 --> 00:04:05.500]  在耶和華眼中看爲惡的事情。
[00:04:05.500 --> 00:04:12.600]  這個事情讓他們其實真的沒有辦法去跟隨上帝,
[00:04:12.600 --> 00:04:17.100]  所以在四世紀的背後一直有一個聲音說:
[00:04:17.100 --> 00:04:20.600]  那時以色列人沒有王,我們需要一個君王,
