
[00:00:00.000 --> 00:00:04.800]  我們一起來到主的面前,求主對我們說話。
[00:00:04.800 --> 00:00:08.800]  主我們求祢悅耐我們的敬拜。
[00:00:08.800 --> 00:00:12.000]  我們恭敬地來到祢的面前。
[00:00:12.000 --> 00:00:15.300]  求主祢自己親自對我們說話。
[00:00:15.300 --> 00:00:21.700]  我們這樣聆聽,仰望聖靈與我們同在。
[00:00:21.700 --> 00:00:24.900]  奉主耶穌基督的名禱告。
[00:00:24.900 --> 00:00:27.000]  Amen!
[00:00:27.000 --> 00:00:30.300]  常常有朋友問我,
[00:00:30.300 --> 00:00:34.500]  說這個以色列人有什麼特別?
[00:00:34.500 --> 00:00:41.000]  為什麼上帝選擇以色列人做祂的選民?
[00:00:41.000 --> 00:00:47.000]  每個民族都有祂的民族自豪感。
[00:00:47.000 --> 00:00:54.500]  不想覺得自己不如別人。
[00:00:54.500 --> 00:00:59.500]  我們中國人也不例外。
[00:00:59.500 --> 00:01:02.500]  我們總覺得我們自己是最好的。
[00:01:02.500 --> 00:01:06.000]  所以來摸道信主的時候,
[00:01:06.000 --> 00:01:12.500]  常常覺得為什麼上帝沒有選中國人呢?
[00:01:12.500 --> 00:01:18.000]  這個以色列人有什麼特別的可能?
[00:01:18.000 --> 00:01:22.500]  當然,當我們這樣問的時候,
[00:01:22.500 --> 00:01:27.500]  我們知道被上帝選到是一個榮耀。
[00:01:27.500 --> 00:01:31.500]  我們覺得我們要被選上就好了。
[00:01:31.500 --> 00:01:36.500]  被選上當然是一個榮寵。
[00:01:36.500 --> 00:01:41.500]  但是,我們常常忘記,
[00:01:41.500 --> 00:01:49.500]  被上帝選到的榮寵,伴隨來的是責任和使命。
[00:01:49.500 --> 00:01:53.500]  當上帝選擇阿伯拉罕的時候,
[00:01:53.500 --> 00:01:56.500]  需要阿伯拉罕和他的子孫,
[00:01:56.500 --> 00:02:01.500]  在天下萬國裡面為他來做見證,
[00:02:01.500 --> 00:02:04.500]  要榮耀上帝,
[00:02:04.500 --> 00:02:09.500]  要使萬民都因著他們得福。
[00:02:09.500 --> 00:02:14.500]  以色列這個地方有很多的果樹,
[00:02:14.500 --> 00:02:24.500]  所以以色列常常被譽為萬君之夜和華的葡萄園,
[00:02:24.500 --> 00:02:30.500]  有時候也被比作無花果樹,
[00:02:30.500 --> 00:02:36.500]  上帝常常通過先知告訴以色列人,
[00:02:36.500 --> 00:02:45.500]  你們要結出聖潔的果子來,
[00:02:45.500 --> 00:02:49.500]  但是我們知道以色列人很失敗,
[00:02:49.500 --> 00:02:52.500]  常常被修剪,
[00:02:52.500 --> 00:02:57.500]  甚至好幾次面臨被拔除的危險。
[00:02:57.500 --> 00:03:06.500]  當他們出埃及的時候,
[00:03:06.500 --> 00:03:12.500]  他們在曠野一再悖逆上帝,
[00:03:12.500 --> 00:03:18.500]  上帝差點就要把他們全部消滅了,
[00:03:18.500 --> 00:03:22.500]  因為摩西為他們代求,
[00:03:22.500 --> 00:03:27.500]  所以把他們留下來,
[00:03:27.500 --> 00:03:29.500]  當他們到了迦南的時候,
[00:03:29.500 --> 00:03:32.500]  他們也常常悖逆上帝,
[00:03:32.500 --> 00:03:35.500]  上帝忍耐,
[00:03:35.500 --> 00:03:39.500]  讓他們成為一個大國,
[00:03:39.500 --> 00:03:42.500]  但是後來還是悖逆上帝,
[00:03:42.500 --> 00:03:48.500]  常常隨迎周圍的外邦人行邪淫,
[00:03:48.500 --> 00:03:52.500]  於是上帝就審判他們,
[00:03:52.500 --> 00:03:56.500]  他們就被巴比倫,被亞述擄走,
[00:03:56.500 --> 00:03:59.500]  但是上帝還是憐憫他們,
[00:03:59.500 --> 00:04:03.500]  七十年之後把他們帶回來,
[00:04:03.500 --> 00:04:07.500]  帶回來之後重建聖殿,
[00:04:07.500 --> 00:04:12.500]  讓他們重建成一個群體,
[00:04:12.500 --> 00:04:18.500]  可是他們還是悖逆上帝,
[00:04:18.500 --> 00:04:21.500]  當耶穌來的時候,
[00:04:21.500 --> 00:04:27.500]  我們看到很多猶太人抗拒彌賽亞,
[00:04:27.500 --> 00:04:31.500]  所以我們剛才讀的這個故事,
[00:04:31.500 --> 00:04:36.500]  耶穌講這個故事之前,有人問他一個問題,
[00:04:36.500 --> 00:04:41.500]  當時以色列在羅馬的統治之下,
[00:04:41.500 --> 00:04:45.500]  羅馬人非常的殘暴地壓迫他們,
[00:04:45.500 --> 00:04:50.500]  但是這個常常以色列人起來起義反抗,
[00:04:50.500 --> 00:04:54.500]  他們被羅馬人鎮壓,
[00:04:54.500 --> 00:04:58.500]  羅馬人鎮壓是非常殘忍的,
[00:04:58.500 --> 00:05:02.500]  但是這個羅馬的總督比拉多,
[00:05:02.500 --> 00:05:05.500]  把這些反抗的人抓起來,
[00:05:05.500 --> 00:05:08.500]  然後把他們殺了,
[00:05:08.500 --> 00:05:12.500]  然後用他們的血給羅馬的神明獻祭,
[00:05:12.500 --> 00:05:17.500]  這是非常悲慘的事情,
[00:05:17.500 --> 00:05:20.500]  所以有人來問耶穌,
[00:05:20.500 --> 00:05:23.500]  問耶穌這個事情,
[00:05:23.500 --> 00:05:27.500]  說這個是不是上帝審判他們,
[00:05:27.500 --> 00:05:31.500]  耶穌說上帝不單單要審判這些人,
[00:05:31.500 --> 00:05:36.500]  上帝是要來審判整個國家,
