
[00:00:00.000 --> 00:00:02.000]  大興姐妹早上好
[00:00:02.000 --> 00:00:04.000]  主內平安
[00:00:04.000 --> 00:00:07.000]  最近天氣轉涼
[00:00:07.000 --> 00:00:10.000]  原來前幾天已經下了冬
[00:00:10.000 --> 00:00:13.000]  而且又有季後風的影響
[00:00:13.000 --> 00:00:16.000]  早晚的溫差非常大
[00:00:16.000 --> 00:00:18.000]  大家要保重身體
[00:00:18.000 --> 00:00:22.000]  有人把生命歷程
[00:00:22.000 --> 00:00:25.000]  以四季來做比喻
[00:00:25.000 --> 00:00:28.000]  不知道大家有沒有聽過呢
[00:00:29.000 --> 00:00:31.000]  心理學家勒賓森
[00:00:31.000 --> 00:00:33.000]  在他著作的那套書
[00:00:33.000 --> 00:00:35.000]  《生命的四季》裡
[00:00:35.000 --> 00:00:38.000]  他將每個人的生命階段
[00:00:38.000 --> 00:00:40.000]  包括生理、心理
[00:00:40.000 --> 00:00:42.000]  以及人際的社會關係
[00:00:42.000 --> 00:00:44.000]  分為四期
[00:00:44.000 --> 00:00:47.000]  雖然男女是會有差別
[00:00:47.000 --> 00:00:50.000]  但是原意相差是不遠的
[00:00:50.000 --> 00:00:53.000]  包括有0至22歲
[00:00:53.000 --> 00:00:55.000]  代表著春季
[00:00:55.000 --> 00:00:57.000]  即是成長前期
[00:00:57.000 --> 00:01:01.000]  是有生命盛況新鮮的意思
[00:01:01.000 --> 00:01:05.000]  順序就是22至45歲的夏季
[00:01:05.000 --> 00:01:09.000]  然後就是成年中期
[00:01:09.000 --> 00:01:12.000]  秋季的45至65歲
[00:01:12.000 --> 00:01:15.000]  以及有靜而不止
[00:01:15.000 --> 00:01:17.000]  生生不息意思的
[00:01:17.000 --> 00:01:20.000]  65歲以上的冬季老年期
[00:01:20.000 --> 00:01:23.000]  不知道你現在是處於
[00:01:23.000 --> 00:01:25.000]  人生的哪一個季節期呢
[00:01:26.000 --> 00:01:28.000]  是夏季的安頓期
[00:01:28.000 --> 00:01:31.000]  還是秋季的高峰期呢
[00:01:31.000 --> 00:01:35.000]  生老病死
[00:01:35.000 --> 00:01:38.000]  是一般人的生命經歷
[00:01:38.000 --> 00:01:41.000]  然而對於老這個字
[00:01:41.000 --> 00:01:43.000]  你有什麼感受呢
[00:01:43.000 --> 00:01:46.000]  你會不會認為年老
[00:01:46.000 --> 00:01:49.000]  就是孤單就是黑暗
[00:01:49.000 --> 00:01:50.000]  就是沒用呢
[00:01:50.000 --> 00:01:55.000]  我們會恭喜人長命百歲
[00:01:55.000 --> 00:01:57.000]  但是你有沒有恭喜人
[00:01:57.000 --> 00:01:59.000]  一日路過一日的
[00:01:59.000 --> 00:02:01.000]  不敢說是不是
[00:02:01.000 --> 00:02:07.000]  高齡化是世界的趨勢
[00:02:07.000 --> 00:02:09.000]  至於香港
