
[00:00:00.000 --> 00:00:02.000]  靜靜回平安
[00:00:02.000 --> 00:00:04.000]  我再次同心祈禱
[00:00:04.000 --> 00:00:09.960]  聖主耶穌我們感謝祢讓我們在祢面前一起敬拜
[00:00:09.960 --> 00:00:11.760]  願意在祢面前
[00:00:11.760 --> 00:00:14.360]  祢親自對我們講說話
[00:00:14.360 --> 00:00:15.680]  躺開我們的心
[00:00:15.680 --> 00:00:17.960]  聖靈親自去做我們的導師
[00:00:17.960 --> 00:00:19.840]  祢親自教導我們
[00:00:19.840 --> 00:00:21.600]  我將整個敬拜獻給祢
[00:00:21.600 --> 00:00:23.080]  求祢親自閱納
[00:00:23.080 --> 00:00:25.080]  聽我們祈禱奉主耶穌的命求
[00:00:25.080 --> 00:00:27.080]  阿門
[00:00:28.920 --> 00:00:33.560]  兩星期前我剛剛經過愉景新城
[00:00:33.560 --> 00:00:35.080]  經過愉景新城的時候
[00:00:35.080 --> 00:00:38.200]  我發覺很多人排隊
[00:00:38.200 --> 00:00:40.440]  排隊多到不斷打蛇餅
[00:00:40.440 --> 00:00:41.560]  多到不得了
[00:00:41.560 --> 00:00:45.040]  整個商場連街上都是人
[00:00:45.040 --> 00:00:46.840]  我不知道你們有沒有排隊
[00:00:46.840 --> 00:00:49.880]  還有不知道你們在排什麼
[00:00:49.880 --> 00:00:51.560]  我了解一下到底在排什麼
[00:00:51.560 --> 00:00:53.920]  為什麼排這麼多人
[00:00:53.920 --> 00:00:57.080]  聽說人們排六個小時
[00:00:57.080 --> 00:00:58.720]  都排
[00:00:58.720 --> 00:01:03.040]  了解下知道是大圍上蓋
[00:01:03.040 --> 00:01:07.760]  四鐵三隧的樓盤開
[00:01:07.760 --> 00:01:10.360]  很多人排隊
[00:01:10.360 --> 00:01:11.480]  我暫時沒有需要
[00:01:11.480 --> 00:01:13.240]  如果我有需要又有負擔能力
[00:01:13.240 --> 00:01:14.800]  可能我也會排
[00:01:14.800 --> 00:01:16.520]  不過這都是在沙田區
[00:01:16.520 --> 00:01:17.360]  建議城市
[00:01:17.360 --> 00:01:19.160]  我看到很多人排
[00:01:19.160 --> 00:01:22.080]  然後又有人說多錫街
[00:01:22.080 --> 00:01:25.080]  我不知道你們知不知道多錫街在哪裡
[00:01:25.080 --> 00:01:28.000]  我在沙田這麼久都不知道多錫街在哪裡
[00:01:28.000 --> 00:01:30.200]  我問人多錫街在哪裡
[00:01:30.200 --> 00:01:32.120]  你知不知道
[00:01:32.120 --> 00:01:33.880]  多錫街
[00:01:33.880 --> 00:01:35.800]  我都問了一輪才知道
[00:01:35.800 --> 00:01:38.360]  原來我每天搭地鐵回來
[00:01:38.360 --> 00:01:42.760]  在威爾斯的山頂上看上去
[00:01:42.760 --> 00:01:46.640]  現在有個叫龍柏山就在那裡
[00:01:46.640 --> 00:01:48.640]  龍柏山是一個樓盤
[00:01:48.640 --> 00:01:50.320]  我不是賣樓盤廣告
[00:01:50.320 --> 00:01:51.400]  我就是說
[00:01:51.400 --> 00:01:54.840]  在不同地方裡面都有人發展
[00:01:54.840 --> 00:01:56.760]  在不同地方都有人住
[00:01:56.760 --> 00:01:58.320]  在不同地方裡面
[00:01:58.320 --> 00:02:02.760]  都看到那些地方可以去擴展
[00:02:02.760 --> 00:02:04.200]  今天跟大家分享這個主題
[00:02:04.200 --> 00:02:05.360]  開展主義國
[00:02:05.360 --> 00:02:06.760]  其實稍後在經文裡面
[00:02:06.760 --> 00:02:09.080]  都提到一些荒蕪之地
[00:02:09.080 --> 00:02:12.440]  都有人在裡面居住
[00:02:12.440 --> 00:02:15.520]  經文一開始54章第一節
[00:02:15.520 --> 00:02:17.960]  你者不懷仁不生養的要歌唱
[00:02:17.960 --> 00:02:20.760]  你者未曾經過慘難的要發聲歌唱
[00:02:20.760 --> 00:02:22.240]  揚聲歡呼
