
[00:00:00.000 --> 00:00:02.000]  早晨,弟兄姐妹
[00:00:02.000 --> 00:00:05.000]  上次我跟大家分享了
[00:00:05.000 --> 00:00:07.000]  《羅馬書第二講》
[00:00:07.000 --> 00:00:10.000]  《生命的刺,屬靈恩賜》
[00:00:10.000 --> 00:00:15.000]  有個朋友上網去看
[00:00:15.000 --> 00:00:17.000]  他說睜開眼睛
[00:00:17.000 --> 00:00:19.000]  他以為我講《生命的腸》
[00:00:19.000 --> 00:00:25.000]  是,我都笑了很久
[00:00:25.000 --> 00:00:26.000]  他講給我聽
[00:00:26.000 --> 00:00:28.000]  睜開眼睛又好像是
[00:00:29.000 --> 00:00:31.000]  我亦都好想在這裏
[00:00:31.000 --> 00:00:33.000]  多謝一些網上的朋友
[00:00:33.000 --> 00:00:35.000]  很關心我,我經常做什麼
[00:00:35.000 --> 00:00:37.000]  其實我的喉嚨是有點患疾
[00:00:37.000 --> 00:00:39.000]  但是醫生給我的藥
[00:00:39.000 --> 00:00:41.000]  有很多副作用
[00:00:41.000 --> 00:00:43.000]  所以我不可以吃
[00:00:43.000 --> 00:00:45.000]  所以暫時你經常聽到
[00:00:45.000 --> 00:00:46.000]  我嘰嘰喬喬的時候
[00:00:46.000 --> 00:00:48.000]  就需要大家忍耐
[00:00:48.000 --> 00:00:51.000]  今天來到《羅馬書》十二章
[00:00:51.000 --> 00:00:53.000]  講到系列的最後一講
[00:00:53.000 --> 00:00:55.000]  《生命的刺,自力愛》
[00:00:55.000 --> 00:00:57.000]  愛到盡了
[00:00:57.000 --> 00:00:59.000]  我們先低頭祈禱
[00:00:59.000 --> 00:01:04.000]  親愛的父親感謝你對
[00:01:04.000 --> 00:01:06.000]  你兒女的愛
[00:01:06.000 --> 00:01:09.000]  主耶穌,我們感謝你的犧牲
[00:01:09.000 --> 00:01:12.000]  你的信服,聖靈
[00:01:12.000 --> 00:01:15.000]  感謝你無時無刻的提醒
[00:01:15.000 --> 00:01:17.000]  時常為我們禱告
[00:01:17.000 --> 00:01:20.000]  主耶穌,願你的話語
[00:01:20.000 --> 00:01:22.000]  是我們腳前的燈
[00:01:22.000 --> 00:01:24.000]  路上的光
[00:01:24.000 --> 00:01:26.000]  求你謙卑人的心
[00:01:26.000 --> 00:01:28.000]  領受你的話語
[00:01:28.000 --> 00:01:30.000]  祈禱犒托
