
[00:00:00.000 --> 00:00:02.260]  不如我們一起先有禱告,好嗎?
[00:00:02.260 --> 00:00:07.420]  祝一求祢的聖靈幫助我們
[00:00:07.420 --> 00:00:09.340]  幫我們帶到
[00:00:09.340 --> 00:00:10.800]  帶我們去到
[00:00:10.800 --> 00:00:13.800]  提比利亞加利利的海邊
[00:00:13.800 --> 00:00:16.260]  使我們感受到
[00:00:16.260 --> 00:00:19.680]  當日彼得和耶穌的對話
[00:00:19.680 --> 00:00:22.640]  更加讓我們知道
[00:00:22.640 --> 00:00:24.340]  這些經文
[00:00:24.340 --> 00:00:26.300]  怎樣來到我們的中間
[00:00:26.300 --> 00:00:27.300]  幫助我們
[00:00:27.920 --> 00:00:30.180]  與我口中的言語,心中的思念
[00:00:30.180 --> 00:00:32.760]  成為祢的導,幫助弟兄姊妹
[00:00:32.760 --> 00:00:35.640]  我們這樣禱告,加託祢奉主耶穌名字祈求
[00:00:35.640 --> 00:00:36.640]  阿們
[00:00:36.640 --> 00:00:42.980]  今天就是復活節後的第三主日
[00:00:42.980 --> 00:00:47.560]  福音經課是關於耶穌復活
[00:00:47.560 --> 00:00:50.980]  在海邊向門徒顯現
[00:00:52.980 --> 00:00:58.220]  約翰福音一直以來都經常運用一些
[00:00:58.220 --> 00:01:01.440]  希臘,古希臘劇場的方法
[00:01:01.440 --> 00:01:04.440]  譬如這裡就用了一個叫「相應場景」
[00:01:04.440 --> 00:01:06.740]  七個門徒
[00:01:06.740 --> 00:01:12.660]  彼得、多瑪、拿丹葉、西彼泰的兩個兒子
[00:01:12.660 --> 00:01:15.120]  即是約翰和雅各
[00:01:15.120 --> 00:01:18.620]  還有兩個沒有名字的門徒
[00:01:19.660 --> 00:01:24.660]  他們在船上第一眼望出去
[00:01:24.660 --> 00:01:29.000]  他們看到一個岸邊的陌生人
[00:01:29.000 --> 00:01:33.260]  但門徒聽從這個陌生人的吩咐
[00:01:33.260 --> 00:01:35.680]  向船的右邊下望
[00:01:35.680 --> 00:01:40.180]  從而打了一網,拉不上船的漁獲
[00:01:40.180 --> 00:01:43.560]  耶穌所愛的門徒
[00:01:43.560 --> 00:01:46.440]  就認出這個岸邊的陌生人
[00:01:46.440 --> 00:01:48.860]  不是別人,就是耶穌
[00:01:48.860 --> 00:01:51.240]  就是他們跟從了三年的主
[00:01:51.240 --> 00:01:57.440]  彼得二話不說就跳下海游上岸邊
[00:01:57.440 --> 00:02:02.620]  經文有個細節說他赤身,然後穿上衣服
[00:02:02.620 --> 00:02:06.520]  大家可能會想跳下海不是應該脫衣服
[00:02:06.520 --> 00:02:11.080]  戒經家說可能他當時把衣服綁在腰間
[00:02:11.080 --> 00:02:14.980]  方便游泳,所以就這樣套上身跳下海
[00:02:14.980 --> 00:02:17.900]  不過細節大家可以想像一下
[00:02:19.060 --> 00:02:23.280]  但是上岸之後,大家一言不發
[00:02:23.280 --> 00:02:27.360]  反而耶穌這個岸邊的陌生人
[00:02:27.360 --> 00:02:31.480]  不但殷勤地弄上炭火,烤魚和餅
