
[00:00:00.000 --> 00:00:03.640]  很感謝這群以雄運的歌星
[00:00:03.640 --> 00:00:05.880]  為我們唱出神的信實
[00:00:05.880 --> 00:00:07.400]  直到萬代
[00:00:07.400 --> 00:00:09.600]  正如歌詞裏面所說
[00:00:09.600 --> 00:00:14.680]  「真的,除你以外,在天我還有誰」
[00:00:14.680 --> 00:00:18.080]  神確實是我們生命中的力量
[00:00:18.080 --> 00:00:20.680]  是我們每一位
[00:00:20.680 --> 00:00:23.800]  跟從祂的人永遠的福分
[00:00:23.800 --> 00:00:26.480]  而這首歌獻在神的面前
[00:00:26.480 --> 00:00:28.480]  蒙神月立
[00:00:28.480 --> 00:00:32.040]  今年早上想和大家一起繼續思想
[00:00:32.040 --> 00:00:34.040]  路加福音
[00:00:34.040 --> 00:00:38.440]  路加福音在很多不同研究的人身上
[00:00:38.440 --> 00:00:43.040]  他們看到路加福音是一本很有特色的福音書
[00:00:43.040 --> 00:00:46.560]  明明有四卷福音書都用不同的角度
[00:00:46.560 --> 00:00:49.120]  去講到耶穌整個的生命
[00:00:49.120 --> 00:00:51.120]  整個的救贖工作
[00:00:51.120 --> 00:00:57.480]  慾望福音有它講到耶穌是一個神子
[00:00:57.480 --> 00:01:02.440]  馬太福音是講到耶穌是一個王的身份
[00:01:02.440 --> 00:01:08.360]  馬可福音是講到耶穌是一個切切實實的僕人
[00:01:08.360 --> 00:01:12.200]  而路加福音是特別講到
[00:01:12.200 --> 00:01:15.080]  耶穌是一個很完全的人
[00:01:15.080 --> 00:01:17.080]  走在這個世上
[00:01:17.080 --> 00:01:19.560]  所以有些人就說
[00:01:19.560 --> 00:01:22.160]  路加福音是講到
[00:01:22.160 --> 00:01:24.160]  比外邦人都適合看的
[00:01:24.160 --> 00:01:26.160]  適合聽的福音書
[00:01:26.160 --> 00:01:31.760]  更加在路加福音裏面看到很多關於窮人的事
[00:01:31.760 --> 00:01:33.760]  他們怎樣認識主
[00:01:33.760 --> 00:01:35.760]  因主而改變
[00:01:35.760 --> 00:01:37.760]  亦都有人告訴我們
[00:01:37.760 --> 00:01:40.960]  路加福音是提出讓我們看到
[00:01:40.960 --> 00:01:43.360]  它是一本避棄者
[00:01:43.360 --> 00:01:46.800]  被排擠者的人的福音書
[00:01:46.800 --> 00:01:48.800]  當生命歷程裏面
[00:01:48.800 --> 00:01:52.160]  經歷被人排擠或被人遺棄的時候
[00:01:52.160 --> 00:01:53.680]  到路加福音
[00:01:53.680 --> 00:01:55.680]  你會得到很大的鼓勵
[00:01:55.680 --> 00:02:00.800]  讓我們今早上一齊通過
[00:02:00.800 --> 00:02:03.280]  當耶穌一同坐直的時候
[00:02:03.280 --> 00:02:06.160]  祂怎樣帶回我們的生命
[00:02:06.160 --> 00:02:08.160]  亦都讓我們在當中
[00:02:08.160 --> 00:02:10.160]  有領受有學習
[00:02:10.160 --> 00:02:14.160]  我們一齊看路加福音第五章二十七至三十九節
[00:02:14.160 --> 00:02:16.160]  我們一齊同聲的讀出
[00:02:16.160 --> 00:02:18.160]  這幾節的經文
[00:02:18.160 --> 00:02:19.360]  我們一齊讀
[00:02:19.360 --> 00:02:27.360]  「這時以後,耶穌出去看見一個瑞麗,名叫利微,坐在瑞關上,
[00:02:27.360 --> 00:02:30.560]  就對她說:「你跟從我來。」
[00:02:30.560 --> 00:02:35.360]  她就撇下所有的喜來,跟從了耶穌。
[00:02:35.360 --> 00:02:39.360]  利微在自己家裡為耶穌帶大筵席,
[00:02:39.360 --> 00:02:44.560]  有許多瑞麗和別人與她一同坐直。
[00:02:44.560 --> 00:02:50.160]  法利塞人和文士就向耶穌的門徒發怨言說:
[00:02:50.160 --> 00:02:55.360]  「你們為什麼和瑞麗病人一同吃餓?」
[00:02:55.360 --> 00:02:57.360]  耶穌對他們說:
[00:02:57.360 --> 00:03:02.560]  「沒病的人用不著醫生,有病的人才用得著,
[00:03:02.560 --> 00:03:08.560]  我本來不是照義人,乃是照罪人悔改。」
[00:03:08.560 --> 00:03:09.760]  他們說:
[00:03:09.760 --> 00:03:13.360]  「約翰的門徒屢次禁食祈禱,
[00:03:13.360 --> 00:03:16.560]  法利塞人的門徒也是這樣,
[00:03:16.560 --> 00:03:19.760]  唯獨你的門徒又吃又喝。」
