
[00:00:00.000 --> 00:00:05.000]  讀一段聖經在約蘇亞紀第三章第四節
[00:00:05.000 --> 00:00:08.000]  約蘇亞紀第三章第四節
[00:00:08.000 --> 00:00:10.000]  這說只是你們和約貴相離
[00:00:10.000 --> 00:00:11.000]  要兩兩千走
[00:00:11.000 --> 00:00:13.000]  不可以約貴相近
[00:00:13.000 --> 00:00:15.000]  使你們知道所當走的路
[00:00:15.000 --> 00:00:17.000]  我們一同來唸最後這句話
[00:00:17.000 --> 00:00:21.000]  因爲這條路你們向來沒有走過
[00:00:21.000 --> 00:00:23.000]  我們就讀到這裏
[00:00:23.000 --> 00:00:24.000]  上個主日
[00:00:24.000 --> 00:00:29.000]  有人說牧師今天很激動
[00:00:29.000 --> 00:00:31.000]  其實也不是激動
[00:00:31.000 --> 00:00:34.000]  你們也不是沒見過牧師更激動過
[00:00:34.000 --> 00:00:37.000]  不要大驚小怪
[00:00:37.000 --> 00:00:40.000]  只是有點興奮
[00:00:40.000 --> 00:00:44.000]  因爲看見神所要做的事情
[00:00:44.000 --> 00:00:49.000]  當你聽見了神所託付我們的工作
[00:00:49.000 --> 00:00:53.000]  我再次說看見跟聽見太重要了
[00:00:53.000 --> 00:00:55.000]  看見跟聽見
[00:00:55.000 --> 00:01:00.000]  事實上是屬靈復興的一個起點
[00:01:00.000 --> 00:01:03.000]  當你看不見又聽不見的時候
[00:01:03.000 --> 00:01:06.000]  你的靈其實是死的
[00:01:06.000 --> 00:01:10.000]  沒有任何理由可以叫你動起來
[00:01:10.000 --> 00:01:12.000]  但什麼時候你開始看見
[00:01:12.000 --> 00:01:14.000]  看見神所要做的工作
[00:01:14.000 --> 00:01:18.000]  當你聽見神吩咐你要做的事情
[00:01:18.000 --> 00:01:21.000]  你的心就不能不火熱起來
[00:01:21.000 --> 00:01:25.000]  你就不能不起來跟隨神
[00:01:25.000 --> 00:01:28.000]  那你說要怎麼樣來跟隨呢
[00:01:28.000 --> 00:01:30.000]  道路在哪裏呢
[00:01:30.000 --> 00:01:32.000]  方法是什麼呢
[00:01:32.000 --> 00:01:34.000]  這就好像當年
[00:01:34.000 --> 00:01:38.000]  約瑟瑤帶領以色列人進入印史之地的時候
[00:01:38.000 --> 00:01:43.000]  神很清楚讓以色列人看見那個印史之地
[00:01:43.000 --> 00:01:44.000]  看見了沒有
[00:01:44.000 --> 00:01:46.000]  看見了
