
[00:00:00.000 --> 00:00:04.040]  戴燕姊妹們,讓我們先同心低頭禱告
[00:00:04.040 --> 00:00:09.680]  親愛的天父,感謝你招聚我們聽你的話語
[00:00:09.680 --> 00:00:13.840]  求你引導我們的心,讓我們作為基督徒
[00:00:13.840 --> 00:00:15.880]  作為你福音的使者
[00:00:15.880 --> 00:00:18.400]  讓我們對自己的身份、自己的責任
[00:00:18.400 --> 00:00:21.400]  有更加深刻、更加入心的理解
[00:00:21.400 --> 00:00:25.440]  我們這樣禱告,是奉主耶穌基督的明智祈求
[00:00:25.440 --> 00:00:26.280]  阿們
[00:00:27.680 --> 00:00:32.320]  記得去年7月,隔壁APM商場的大螢幕下
[00:00:32.320 --> 00:00:34.040]  曾經站滿了人
[00:00:34.040 --> 00:00:38.880]  站在那裡的人都很專心地看著這個大螢幕的直播
[00:00:38.880 --> 00:00:42.320]  當時是東京奧運
[00:00:42.320 --> 00:00:46.560]  一說到東京奧運,我想其中一個大家最深刻的片段
[00:00:46.560 --> 00:00:49.800]  應該就是我們的劍擊運動員張家朗
[00:00:49.800 --> 00:00:52.800]  在多年前滑浪風帆的李麗珊之後
[00:00:52.800 --> 00:00:57.080]  為香港贏得史上第二名的奧運金牌
[00:00:58.080 --> 00:01:01.600]  話說張家朗在比賽之後接受了很多不同的訪問
[00:01:01.600 --> 00:01:02.920]  可能大家都看過一些
[00:01:02.920 --> 00:01:06.160]  我記得在一次專訪裡面,他說了一件事
[00:01:06.160 --> 00:01:10.520]  他說比賽,其實技術,大家都有
[00:01:10.520 --> 00:01:14.760]  但是陣前的處理,是取決於心態
[00:01:14.760 --> 00:01:18.520]  譬如他說到他會帶著平常心去打比賽
[00:01:18.520 --> 00:01:21.240]  意思是,就算是打奧運
[00:01:21.240 --> 00:01:23.360]  他當好像打其他比賽一樣
[00:01:23.360 --> 00:01:26.360]  反正都是比賽,贏就贏,輸就輸
[00:01:27.320 --> 00:01:30.160]  這種就是心態,世界級運動員的心態
[00:01:30.160 --> 00:01:32.800]  我想大家都聽過一句說話
[00:01:32.800 --> 00:01:35.280]  叫做「態度決定你的高度」
[00:01:35.280 --> 00:01:38.880]  這句說話就是在強調態度有多重要
[00:01:38.880 --> 00:01:40.840]  因為我們的態度,我們的心態
[00:01:40.840 --> 00:01:43.160]  往往影響我們怎樣去做事
[00:01:43.160 --> 00:01:47.280]  今天我們講的題目是「全福音的內功心法」
[00:01:47.280 --> 00:01:49.200]  我想大家都明白的意思
[00:01:49.200 --> 00:01:51.840]  就是講我們全福音這件事上面
[00:01:51.840 --> 00:01:54.480]  應該有怎樣的態度,怎樣的心態
[00:01:56.000 --> 00:01:57.400]  講到全福音這件事
[00:01:57.400 --> 00:01:59.360]  不知道你對它有什麼感受呢
[00:01:59.360 --> 00:02:02.360]  可能你會覺得有愛有恨
[00:02:02.360 --> 00:02:05.800]  因為全福音都是一件值得做的事
[00:02:05.800 --> 00:02:07.880]  但是又怕吃檸檬
[00:02:07.880 --> 00:02:09.720]  又或者你會覺得
[00:02:09.720 --> 00:02:11.680]  全福音就是這些
[00:02:11.680 --> 00:02:13.880]  吃團年飯不要拿出來講的話題
[00:02:13.880 --> 00:02:16.480]  因為一拿出來講,大家會很尷尬
[00:02:16.480 --> 00:02:20.520]  又或者你反過來覺得全福音很開心
[00:02:20.520 --> 00:02:22.720]  因為只是將一些開心的東西,好的東西
[00:02:22.720 --> 00:02:24.160]  跟大家分享而已
[00:02:25.560 --> 00:02:27.720]  無論你對全福音有什麼感受
[00:02:27.720 --> 00:02:30.080]  我想我們大家都會同意
[00:02:30.080 --> 00:02:34.480]  全福音是我們信仰裡面最核心的事情之一
[00:02:34.480 --> 00:02:36.880]  所以你看到不少的基督徒
[00:02:36.880 --> 00:02:40.200]  或者基督教的機構都會搞盡腦汁
[00:02:40.200 --> 00:02:42.640]  去設計不同的全福音材料
[00:02:42.640 --> 00:02:44.960]  去方便我們跟其他人全福音
