
[00:00:00.000 --> 00:00:02.000]  第一節我們一起禱告
[00:00:02.000 --> 00:00:04.000]  天父我們感謝你
[00:00:04.000 --> 00:00:06.000]  讓我們不單止有生命氣息
[00:00:06.000 --> 00:00:09.000]  更加藉著你自己自身的真道
[00:00:09.000 --> 00:00:11.000]  願你不斷教導我們
[00:00:11.000 --> 00:00:14.000]  讓我們去教導那些聽從的人
[00:00:14.000 --> 00:00:16.000]  今天早上我們一同齊集
[00:00:16.000 --> 00:00:19.000]  懇求聖靈在裡面的工作
[00:00:19.000 --> 00:00:22.000]  懇求你自己說話的照明
[00:00:22.000 --> 00:00:25.000]  讓我們再次看到我們當盡的責任
[00:00:25.000 --> 00:00:27.000]  我們願一切榮耀歸給你
[00:00:27.000 --> 00:00:29.000]  願你自己自身的真道
[00:00:29.000 --> 00:00:31.000]  成為我們的引導方向
[00:00:31.000 --> 00:00:33.000]  誰聽我們的禱告
[00:00:33.000 --> 00:00:35.000]  憐憫我們每一個在你面前
[00:00:35.000 --> 00:00:38.000]  尋求你的人都能夠得蒙憐憫
[00:00:38.000 --> 00:00:40.000]  奉耶穌基督名字祈求
[00:00:40.000 --> 00:00:41.000]  阿們
[00:00:41.000 --> 00:00:44.000]  一講教育很多人以為是一個工作
[00:00:44.000 --> 00:00:46.000]  是一個事業
[00:00:46.000 --> 00:00:50.000]  很多人都知道我以前在學校工作了四十多年
[00:00:50.000 --> 00:00:53.000]  一講教育就以為這是學校教書
[00:00:53.000 --> 00:00:55.000]  是一份謀生的工作
[00:00:55.000 --> 00:00:58.000]  其實基督徒看教育是什麼事情呢
[00:00:58.000 --> 00:01:02.000]  如果講在現今這個世代
[00:01:02.000 --> 00:01:07.000]  我相信特別是父母對子女
[00:01:07.000 --> 00:01:10.000]  那個影響那個教導
[00:01:10.000 --> 00:01:12.000]  這是一個教育
[00:01:12.000 --> 00:01:15.000]  如果要問今時今日
[00:01:15.000 --> 00:01:18.000]  為人父母對子女的教育
[00:01:18.000 --> 00:01:20.000]  最注重什麼呢
[00:01:20.000 --> 00:01:24.000]  可能你說教會怎樣生存呢
[00:01:24.000 --> 00:01:26.000]  或者教會怎樣謀生呢
[00:01:26.000 --> 00:01:30.000]  甚至有說教會怎樣做人呢
